BRC names,BRC number,Woody
Abies alba,9202395,
Abies grandis,9202396,
Abies procera,9202397,
Abies sp.,9204658,
Acacia melanoxylon,9205415,
Acacia retinodes,9205416,
Acaena anserinifolia,9202528,
Acaena novae-zelandiae,9202527,
Acanthus mollis,9202,
Acaulon muticum,8201,
Acer campestre,9203,
Acer platanoides,9204,
Acer pseudoplatanus,9205,
Acer seedling/sp,9204661,
Acer sp.,200001601,
Aceras anthropophorum,9206,
Achillea millefolium,9207,
Achillea ptarmica,9209,
Aconitum napellus,92014,
Acorus calamus,92015,w
Acrobolbus wilsonii,810680,w
Actaea spicata,92016,w
Adelanthus decipiens,810681,
Adelanthus lindenbergianus,810682,
Adiantum capillus-veneris,91017,
Adonis annua,92018,
Adoxa moschatellina,92019,
Aegopodium podagraria,92020,
Aesculus hippocastanum,9202241,
Aethusa cynapium,92021,
Agapanthus praecox,9205417,
Agrimonia eupatoria,92022,
Agrimonia procera,92023,
Agrostemma githago,92034,
Agrostis canina sens.lat.,92035,
Agrostis canina sens.str.,92035,
Agrostis capillaris,92040,
Agrostis curtisii,92038,
Agrostis gigantea,92036,
Agrostis sp.,9204579,
Agrostis stolonifera,92039,
Agrostis stolonifera x Polypogon monspeliensis (x Agropogon littoralis),92025,
Agrostis vinealis,92035,
Ailanthus altissima,9204411,
Aira caryophyllea,92041,
Aira praecox,92042,
Aira sp.,9204676,
Ajuga chamaepitys,92043,
Ajuga pyramidalis,92045,
Ajuga reptans,92046,
Alcea rosea,92088,
Alchemilla acutiloba,92047,
Alchemilla alpina,92048,
Alchemilla conjuncta,92049,
Alchemilla filicaulis,9204480,
Alchemilla filicaulis subsp.filicaulis,92050,
Alchemilla glabra,92051,
Alchemilla glaucescens,92054,
Alchemilla glomerulans,92052,
Alchemilla gracilis,9202552,
Alchemilla minima,92053,
Alchemilla mollis,9202255,
Alchemilla monticola,92055,
Alchemilla sp.,9204679,
Alchemilla subcrenata,92056,
Alchemilla tytthantha,9202275,
Alchemilla vulgaris agg.,92058,
Alchemilla wichurae,92059,
Alchemilla xanthochlora,92060,
Alectoria bicolor,5505310,
Alectoria chalybeiformis,5505311,
Alectoria fuscescens,5505312,
Alectoria implexa,5505313,
Alectoria jubata,5505314,
Alectoria lanestris,5505315,
Alectoria nigricans,5502681,
Alectoria nitidula,5505316,
Alectoria ochroleuca,5502682,
Alectoria positiva,5505317,
Alectoria pubescens,5505318,
Alectoria sarmentosa,5502683,
Alectoria sp.,5505250,
Alectoria subcana,5505298,
Algae,200001623,
Algal mat,22,
Alisma gramineum,92061,
Alisma lanceolatum,92062,
Alisma plantago-aquatica,92063,
Alliaria petiolata,92064,
Allium ampeloprasum,9208283,
Allium ampeloprasum babingtonii,92066,
Allium ampeloprasum ssp ampeloprasum,92065,
Allium carinatum,92067,
Allium cepa,9209184,
Allium oleraceum,92068,
Allium paradoxum,92069,
Allium roseum,92070,
Allium schoenoprasum,92072,
Allium scorodoprasum,92071,
Allium sp.,200001675,
Allium sphaerocephalon,92073,
Allium triquetrum,92074,
Allium ursinum,92075,
Allium vineale,92076,
Alnus glutinosa,92077,
Alnus incana,92078,
Alnus sp.,200001602,
Aloina aloides var.aloides,8209,
Aloina aloides var.ambigua,82010,
Aloina brevirostris,82011,
Aloina rigida,82012,
Alopecurus aequalis,92079,
Alopecurus borealis,92080,
Alopecurus bulbosus,92081,
Alopecurus geniculatus,92082,
Alopecurus myosuroides,92084,
Alopecurus pratensis,92085,
Alopecurus sp.,9204682,
Althaea officinalis,92087,
Amaranthus albus,92090,
Amaranthus blitoides,9204421,
Amaranthus retroflexus,92092,
Amaranthus sp.,200001604,
Amblyodon dealbatus,82013,
Amblystegium compactum,82016,
Amblystegium fluviatile,820336,
Amblystegium humile,82018,
Amblystegium riparium,820366,
Amblystegium saxatile,820654,
Amblystegium serpens,82019,
Amblystegium sp.,8201085,
Amblystegium tenax,820337,
Amblystegium varium,82020,
Amelanchier lamarckii,92094,
Ammophila arenaria,92097,
Ammophila arenaria x Calamagrostis epigejos (x Calammophila baltica),92096,
Amphidium lapponicum,82021,
Amphidium mougeotii,82022,
Amsinckia lycopsoides,9204337,
Amsinckia micrantha,9202616,
Amsinckia sp.,200001605,
Anacamptis pyramidalis,92098,
Anagallis arvensis,92099,
Anagallis arvensis subsp.caerulea,92099,
Anagallis minima,920456,
Anagallis sp.,200001580,
Anagallis tenella,920100,
Anaphalis margaritacea,920101,
Anaptychia ciliaris,5502687,
Anaptychia fusca,5505329,
Anastrepta orcadensis,810683,
Anastrophyllum donnianum,810684,
Anastrophyllum hellerianum,810951,
Anastrophyllum joergensenii,810685,
Anastrophyllum minutum,810952,
Anastrophyllum saxicola,810953,
Anchusa arvensis,9201218,
Andraea sp,200001442,
Andreaea alpina,82023,
Andreaea crassinervia,8201061,
Andreaea nivalis,82024,
Andreaea obovata,8201087,
Andreaea rothii,8201067,
Andreaea rupestris,8201068,
Andromeda polifolia,920103,
Anemone nemorosa,920105,
Aneura pinguis,810901,
Angelica archangelica,920108,
Angelica sylvestris,920109,
Anisantha diandra,920110,
Anisantha madritensis,920111,
Anisantha rigida,920112,
Anisantha sterilis,920113,
Anisantha tectorum,920114,
Anoectangium aestivum,82027,w
Anogramma leptophylla,910115,w
Anomobryum filiforme var.concinnatum,82028,
Anomobryum filiforme var.filiforme,82029,
Anomodon attenuatus,82031,
Anomodon longifolius,82032,
Anomodon viticulosus,82033,
Antennaria dioica,920116,
Anthelia julacea,810686,
Anthelia juratzkana,810687,
Anthelia sp.,8101267,
Anthemis arvensis,920117,
Anthemis cotula,920118,
Anthemis sp.,9204698,
Anthemis tinctoria,920120,
Anthoceros agrestis,810690,
Anthoceros sp.,8101268,
Anthoxanthum aristatum,920122,
Anthoxanthum odoratum,920121,
Anthriscus caucalis,920123,
Anthriscus cerefolium,920124,
Anthriscus sylvestris,920125,
Anthyllis vulneraria,920126,
Antirrhinum majus,920127,
Antitrichia curtipendula,82034,
Aongstroemia longipes,820656,
Apera interrupta,920129,
Apera sp.,9204703,
Apera spica-venti,920130,
Aphanes arvensis agg.,920131,
Aphanes arvensis sens.str.,920132,
Aphanes inexspectata,920133,
Aphanes spp.,9204704,
Aphanolejeunea microscopica,810691,
Apium graveolens,920134,
Apium inundatum,920135,
Apium nodiflorum,920137,
Apium repens,920138,
Aplodon wormskjoldii,820327,
Apometzgeria pubescens,810847,
Aponogeton distachyos,920139,
Aquilegia vulgaris,920141,
Arabidopsis thaliana,920142,
Arabis alpina,920143,
Arabis glabra,9202108,
Arabis hirsuta,920146,
Arabis petraea,920332,
Arabis scabra,920147,
Arabis turrita,920148,
Arbutus unedo,920149,
Archidium alternifolium,82035,
Arctium agg.,920150,
Arctium lappa,920151,
Arctium minus,9202405,
Arctium minus subsp.nemorosum,920153,
Arctium minus subsp.pubens,920154,
Arctium tomentosum,9202252,
Arctoa fulvella,82036,
Arctostaphylos alpinus,920156,
Arctostaphylos sp.,200001678,
Arctostaphylos uva-ursi,920155,
Aremonia agrimonioides,92024,
Arenaria balearica,920157,
Arenaria ciliata,920158,
Arenaria norvegica subsp.norvegica,920160,
Arenaria serpyllifolia,920162,
Arenaria serpyllifolia subsp.leptoclados,920163,
Arenaria sp.,9204522,
Aristolochia clematitis,920164,
Armeria arenaria,920165,
Armeria maritima,920166,
Armeria pseudarmeria,9205418,
Armoracia rusticana,920167,
Arnoseris minima,920168,
Arrhenatherum elatius,920169,
Artemisia absinthium,920170,
Artemisia campestris,920171,
Artemisia norvegica,9202264,
Artemisia sp.,9204721,
Artemisia stelleriana,920173,
Artemisia verlotiorum,920174,
Artemisia vulgaris,920175,
Arum italicum,920177,
Arum maculatum,920176,
Asarum europaeum,920178,
Asparagus officinalis,920179,
Asparagus officinalis subsp.officinalis,920179,
Asparagus officinalis subsp.prostratus,920179,
Asperugo procumbens,920180,
Asperula cynanchica,9205472,
Asperula cynanchica subsp.occidentalis,9202634,
Asplenium adiantum-nigrum,910185,
Asplenium marinum,910189,
Asplenium obovatum,910191,
Asplenium onopteris,910185,
Asplenium ruta-muraria,910192,
Asplenium septentrionale,910193,
Asplenium sp.,9104623,
Asplenium trichomanes,910194,
Asplenium trichomanes-ramosum,910195,
Aster agg.,920201,
Aster laevis,920196,
Aster laevis x novi-belgii (A. x versicolor),920205,
Aster lanceolatus,920197,
Aster lanceolatus x novi-belgii (A. x salignus),920203,
Aster linosyris,9201166,
Aster novae-angliae,920200,
Aster novi-belgii,9204494,
Aster puniceus,920202,
Aster schreberi,920199,
Aster tripolium,920204,
Aster tripolium var. discoideus,920204,
Astragalus alpinus,920206,
Astragalus danicus,920207,
Astragalus glycyphyllos,920208,
Astrantia major,920209,
Athyrium distentifolium,910210,
Athyrium filix-femina,910211,
Athyrium flexile,910210,
Athyrium sp.,200001606,
Atrichum angustatum,82037,
Atrichum crispum,82038,
Atrichum sp.,200001537,
Atrichum tenellum,82039,
Atrichum undulatum,82040,
Atriplex glabriuscula,920212,
Atriplex hortensis,920215,
Atriplex laciniata,920216,
Atriplex littoralis,920217,
Atriplex longipes,9202286,
Atriplex patula,920218,
Atriplex pedunculata,920949,
Atriplex portulacoides,920950,
Atriplex praecox,9202287,
Atriplex prostrata agg.,9203311,
Atriplex sp.,9204582,
Atropa belladonna,920219,
Aubrieta deltoidea,9202622,
Aulacomnium androgynum,82041,
Aulacomnium palustre,82042,
Aulacomnium sp.,8201097,
Aulacomnium turgidum,82043,
Avena fatua,920220,
Avena sativa,9202988,
Avena sp.,9204734,
Avena sterilis ludoviciana,920221,
Avena strigosa,920222,
Avenula sp.,200001608,
Azalea spp.,200001691,
Azolla filiculoides,910223,
Bacidia lignaria,5505326,
Bacidia muscorum,5505242,
Baeomyces rufus,5501562,
Baldellia ranunculoides,920224,
Ballota nigra,920225,
Barbarea intermedia,920226,
Barbarea stricta,920227,
Barbarea verna,920228,
Barbarea vulgaris,920229,
Barbilophozia atlantica,810692,
Barbilophozia attenuata,810693,
Barbilophozia barbata,810694,
Barbilophozia floerkei,810695,
Barbilophozia hatcheri,810696,
Barbilophozia kunzeana,810697,
Barbilophozia lycopodioides,810698,
Barbilophozia quadriloba,810699,
Barbilophozia sp.,200001452,
Barbula acuta,82044,
Barbula convoluta,82045,
Barbula convoluta var.commutata,82045,
Barbula cordata,82046,
Barbula cylindrica,82047,
Barbula fallax,82048,
Barbula ferruginascens,82049,
Barbula glauca,82050,
Barbula hornschuchiana,82051,
Barbula icmadophila,82052,
Barbula mamillosa,820657,
Barbula maxima,82055,
Barbula nicholsonii,82053,
Barbula recurvirostra,82054,
Barbula reflexa,82055,
Barbula revoluta,82056,
Barbula rigidula,82057,
Barbula sinuosa,820627,
Barbula sp,200001005,
Barbula sp.,8201098,
Barbula spadicea,82059,
Barbula tophacea,82060,
Barbula trifaria,82061,
Barbula unguiculata,82062,
Barbula vinealis,82063,
