species,status
Abies alba,EcM
Abies alba,EcM
Abies amabilis,EcM
Abies lasiocarpa var. arizonica,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies cephalonica,EcM
Abies cilicica,EcM
Abies cilicica,EcM
Abies concolor,EcM
Abies concolor,EcM
Abies firma,EcM
Abies firma,EcM
Abies fraseri,EcM
Abies pindrow var. brevifolia,EcM
Abies grandis,EcM
Abies grandis,EcM
Abies holophylla,EcM
Abies holophylla,EcM
Abies holophylla,EcM
Abies homolepis,EcM
Abies koreana,EcM
Abies lasiocarpa,EcM
Abies magnifica,EcM
Abies sachalinensis var. mayriana,EcM
Abies nephrolepis,EcM
Abies nephrolepis,EcM
Abies nephrolepis,EcM
Abies procera,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies numidica,EcM
Abies pindrow,EcM
Abies pinsapo,EcM
Abies sachalinensis,EcM
Abies sachalinensis,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies veitchii,EcM
Abies sachalinensis var. nemorensis,EcM
Abutilon hybridum,AM
Acacia dealbata,AM
Acalypha wilkesiana,non-mycorrhizal (checked for all types)
Acanthophyllum elatius,non-mycorrhizal (checked for all types)
Acanthophyllum elatius,non-mycorrhizal (checked for all types)
Acanthophyllum korolkowii,non-mycorrhizal (checked for all types)
Acanthophyllum krascheninnikovii,non-mycorrhizal (checked for all types)
Allochrusa paniculata,non-mycorrhizal (checked for all types)
Acer barbinerve,EcM
Acer buergerianum,AM
Acer campestre,AM
Acer campestre,AM
Acer campestre,AM
Acer campestre,AM
Acer campestre,AM
Acer davidii,AM
Acer tataricum subginnala,AM
Acer tataricum subginnala,AM
Acer tataricum subginnala,AM
Acer cappadocicum,AM
Acer mandshuricum,EcM
Acer pictum,AM
Acer pictum,AM
Acer pictum,non-mycorrhizal (checked for all types)
Acer negundo,AM
Acer negundo,AM
Acer negundo,AM
Acer negundo,AM
Acer negundo,AM
Acer negundo,AM
Acer negundo,AM
Acer negundo,AM
Acer platanoides,AM
Acer platanoides,AM
Acer platanoides,AM
Acer platanoides,AM
Acer platanoides,non-mycorrhizal (checked for all types)
Acer pseudoplatanus,AM
Acer pseudoplatanus,AM
Acer pseudoplatanus,AM
Acer pseudoplatanus,non-mycorrhizal (checked for all types)
Acer pseudoplatanus,non-mycorrhizal (checked for all types)
Acer pseudosieboldianum,AM
Acer pseudosieboldianum,AM
Acer pseudosieboldianum,non-mycorrhizal (checked for all types)
Acer pentapomicum,AM
Acer rubrum,AM
Acer rubrum,AM
Acer saccharinum,AM
Acer saccharum,AM
Acer saccharum,AM
Acer tataricum subsemenovii,AM
Acer spicatum,AM
Acer spicatum,AM
Acer tataricum,AM
Acer tataricum,AM
Acer tataricum,AM
Acer tegmentosum,AM
Acer tegmentosum,non-mycorrhizal (checked for all types)
Acer platanoides subturkestanicum,AM
Acer caudatum subukurundense,EcM
Achillea macrocephala,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,non-mycorrhizal (checked for all types)
Achillea nobilis,AM
Achillea ptarmica,AM
Achillea salicifolia,AM
Achillea millefolium,AM
Achillea millefolium,AM
Achillea millefolium,AM
Acianthus caudatus,OM
Aconitum anthora,AM
