species,mycorrhiza
Aa achalensis,OM
Abarema jupunba,AM
Abelmoschus esculentus,AM
Abelmoschus esculentus,AM
Abelmoschus manihot,AM
Abies ,EcM
Abies ,EcM
Abies ,EcM
Abies alba,EcM
Abies alba,EcM
Abies alba,EcM
Abies alba,EcM
Abies alba,EcM
Abies amabilis,EcM
Abies amabilis,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea,EcM
Abies balsamea var. phanerolepis,EcM
Abies cephalonica,EcM
Abies cilicica,EcM
Abies cilicica,EcM
Abies concolor,EcM
Abies concolor,EcM
Abies concolor,EcM
Abies concolor,EcM
Abies concolor,EcM
Abies fargesii,EcM
Abies fargesii,EcM
Abies fargesii var. faxoniana,EcM
Abies firma,EcM
Abies firma,EcM
Abies firma,EcM
Abies firma,EcM
Abies firma,nm
Abies fraseri,EcM
Abies grandis,EcM
Abies grandis,EcM
Abies grandis,EcM
Abies grandis,EcM
Abies holophylla,EcM
Abies holophylla,EcM
Abies holophylla,EcM
Abies homolepis,EcM
Abies kawakamii,EcM
Abies koreana,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa,EcM
Abies lasiocarpa var. arizonica,EcM
Abies magnifica,EcM
Abies magnifica,EcM
Abies magnifica var. shastensis,EcM
Abies nephrolepis,EcM
Abies nephrolepis,EcM
Abies nephrolepis,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies nordmanniana,EcM
Abies numidica,EcM
Abies pindrow,EcM
Abies pindrow,EcM
Abies pindrow,EcM
Abies pindrow var. brevifolia,EcM
Abies pinsapo,EcM
Abies procera,EcM
Abies procera,EcM
Abies sachalinensis,EcM
Abies sachalinensis,EcM
Abies sachalinensis,EcM
Abies sachalinensis,EcM
Abies sachalinensis,EcM
Abies sachalinensis,EcM
Abies sachalinensis var. mayriana,EcM
Abies sachalinensis var. nemorensis,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies sibirica,EcM
Abies veitchii,EcM
Abies veitchii,EcM
Abronia maritima,AM
Abronia umbellata,AM
Abrus precatorius,AM
Abrus precatorius,AM
Abrus precatorius,AM
Abrus precatorius,AM
Abrus precatorius,AM
Abutilon,AM
Abutilon californicum,AM
Abutilon californicum,AM
Abutilon grandifolium,AM
Abutilon grandifolium,AM
Abutilon grandifolium,AM
Abutilon hybridum,AM
Abutilon indicum,AM
Abutilon indicum,AM
Abutilon indicum,nm
Abutilon indicum,AM
Abutilon indicum,AM
Abutilon indicum,AM
Abutilon indicum,AM
Abutilon indicum,AM
Abutilon indicum subalbescens,AM
Abutilon otocarpum,AM
Abutilon pannosum,AM
Abutilon pannosum,AM
Abutilon theophrasti,AM
Abutilon theophrasti,AM
Abutilon theophrasti,AM
Acacia alata,AM
Acacia alata,AM
Acacia alata,AM
Acacia alleniana,AM
Acacia ampliceps,AM
Acacia ancistrocarpa,AM
Acacia aneura,AM
Acacia aneura,EcM
Acacia aneura,dual
Acacia aneura,EcM
Acacia aneura,EcM
Acacia armata,non-EcM
Acacia armata,non-EcM
Acacia aulacocarpa,AM
Acacia aulacocarpa,AM
Acacia aulacocarpa,AM
Acacia aulacocarpa,dual
Acacia auriculiformis,non-AM
Acacia auriculiformis,non-AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,dual
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,EcM
Acacia auriculiformis,dual
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculiformis,AM
Acacia auriculijormis,dual
Acacia bivenosa,dual
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,AM
Acacia calligera,dual
Acacia calligera,AM
Acacia chisholmii,dual
Acacia cincinnata,AM
Acacia cochliacantha,AM
Acacia concurrens,AM
Acacia concurrens,AM
Acacia confusa,nm
Acacia confusa,AM
Acacia confusa,non-AM
Acacia coriacea,dual
Acacia cowleana,dual
Acacia crassicarpa,dual
Acacia cyclops,AM
Acacia dealbata,AM
Acacia dealbata,AM
Acacia dealbata,AM
Acacia dealbata,EcM
Acacia dealbata,EcM
Acacia dealbata,AM
Acacia dealbata,EcM
Acacia decurrens,EcM
Acacia decurrens,AM
Acacia decurrens,AM
Acacia decurrens,AM
Acacia decurrens,AM
Acacia decurrens,AM
Acacia decurrens,EcM
Acacia decurrens,EcM
Acacia difficilis,dual
Acacia difficilis,dual
Acacia dimidiata,dual
Acacia dimidiata,AM
Acacia dunnii,AM
Acacia extensa,AM
Acacia extensa,AM
Acacia extensa,AM
Acacia floribunda,AM
Acacia floribunda,AM
Acacia gonocarpa,dual
Acacia gonocarpa,AM
Acacia hemignosta,AM
Acacia hilliana,dual
Acacia hippuroides,dual
Acacia holosericea,AM
Acacia holosericea,dual
Acacia holosericea,AM
Acacia holosericea,AM
Acacia holosericea,EcM
Acacia holosericea,dual
Acacia holosericea,AM
Acacia holosericea,dual
Acacia holosericea,AM
Acacia holosericea,dual
Acacia holosericea,dual
Acacia holosericea,dual
Acacia holosericea,dual
Acacia implexa,dual
Acacia implexa,EcM
Acacia inaequilatera,AM
Acacia jamesiana,AM
Acacia koa,AM
Acacia koa,AM
Acacia lasiocarpa,AM
Acacia latescens,AM
Acacia latescens,AM
Acacia latescens,AM
Acacia latescens,dual
Acacia leptocarpa,AM
Acacia ligulata,AM
Acacia linifolia,dual
Acacia linifolia,AM
Acacia lysiphloia,dual
Acacia mangium,AM
Acacia mangium,AM
Acacia mangium,dual
Acacia mangium,dual
Acacia mangium,AM
Acacia mangium,dual
Acacia mangium,AM
Acacia mangium,AM
Acacia mangium,AM
Acacia mangium,EcM
Acacia mangium,EcM
Acacia mangium,AM
Acacia mangium,AM
Acacia mearnsii,AM
Acacia mearnsii,AM
Acacia mearnsii,dual
Acacia mearnsii,AM
Acacia melanoxylon,EcM
Acacia melanoxylon,dual
Acacia melanoxylon,EcM
Acacia melanoxylon,EcM
Acacia melanoxylon,non-EcM
Acacia melanoxylon,non-EcM
Acacia mimula,dual
Acacia mimula,dual
Acacia mimula,AM
Acacia mimula,dual
Acacia minutifolia,AM
Acacia mitchellii,EcM
Acacia mitchellii,EcM
Acacia mitchellii,EcM
Acacia monticola,dual
Acacia mountfordiae,dual
Acacia mountfordiae,AM
Acacia myrtifolia,dual
Acacia myrtifolia,dual
Acacia myrtifolia,EcM
Acacia myrtifolia,non-EcM
Acacia myrtifolia,non-EcM
Acacia notabilis,non-EcM
Acacia obtusifolia,dual
Acacia oncinocarpa,dual
Acacia oncinocarpa,dual
Acacia oncinocarpa,AM
Acacia oncinocarpa,AM
Acacia oncinocarpa,AM
Acacia oncinocarpa,AM
Acacia pellita,dual
Acacia platycarpa,EcM
Acacia platycarpa,AM
Acacia platycarpa,EcM
Acacia plectocarpa,dual
Acacia plectocarpa,dual
Acacia plectocarpa,AM
Acacia plectocarpa,EcM
Acacia pravissima,EcM
Acacia pulchella,AM
Acacia pulchella,AM
Acacia pulchella,AM
Acacia pulchella,AM
Acacia pulchella,AM
Acacia pulchella,AM
Acacia pulchella,dual
Acacia pycnantha,AM
Acacia pycnantha,AM
Acacia pycnantha,EcM
Acacia pycnantha,EcM
Acacia pyrifolia,AM
Acacia pyrifolia,AM
Acacia pyrifolia,AM
Acacia retinodes,EcM
Acacia retinodes,EcM
Acacia retinodes,EcM
Acacia retinodes,EcM
Acacia retinodes,non-EcM
Acacia retivenea,dual
Acacia rhodoxylon,dual
Acacia rhodoxylon,dual
Acacia richii,AM
Acacia richii,AM
Acacia rigens,dual
Acacia rothii,dual
Acacia rothii,dual
Acacia rubida,EcM
Acacia rubida,EcM
Acacia rubida,EcM
Acacia salicina,AM
Acacia salicina,EcM
Acacia salicina,EcM
Acacia salicina,EcM
Acacia saligna,AM
Acacia saligna,AM
Acacia saligna,AM
Acacia saligna,AM
Acacia saligna,AM
Acacia saligna,AM
Acacia saligna,AM
Acacia saligna,AM
