,species,mycorrhiza
0,Aa achalensis,OM
1,Abarema jupunba,AM
2,Abelmoschus esculentus,AM
3,Abelmoschus esculentus,AM
4,Abelmoschus manihot,AM
5,Abies ,EcM
6,Abies ,EcM
7,Abies ,EcM
8,Abies alba,EcM
9,Abies alba,EcM
10,Abies alba,EcM
11,Abies alba,EcM
12,Abies alba,EcM
13,Abies amabilis,EcM
14,Abies amabilis,EcM
15,Abies balsamea,EcM
16,Abies balsamea,EcM
17,Abies balsamea,EcM
18,Abies balsamea,EcM
19,Abies balsamea,EcM
20,Abies balsamea,EcM
21,Abies balsamea,EcM
22,Abies balsamea var. phanerolepis,EcM
23,Abies cephalonica,EcM
24,Abies cilicica,EcM
25,Abies cilicica,EcM
26,Abies concolor,EcM
27,Abies concolor,EcM
28,Abies concolor,EcM
29,Abies concolor,EcM
30,Abies concolor,EcM
31,Abies fargesii,EcM
32,Abies fargesii,EcM
33,Abies fargesii var. faxoniana,EcM
34,Abies firma,EcM
35,Abies firma,EcM
36,Abies firma,EcM
37,Abies firma,EcM
38,Abies firma,nm
39,Abies fraseri,EcM
40,Abies grandis,EcM
41,Abies grandis,EcM
42,Abies grandis,EcM
43,Abies grandis,EcM
44,Abies holophylla,EcM
45,Abies holophylla,EcM
46,Abies holophylla,EcM
47,Abies homolepis,EcM
48,Abies kawakamii,EcM
49,Abies koreana,EcM
50,Abies lasiocarpa,EcM
51,Abies lasiocarpa,EcM
52,Abies lasiocarpa,EcM
53,Abies lasiocarpa,EcM
54,Abies lasiocarpa,EcM
55,Abies lasiocarpa,EcM
56,Abies lasiocarpa,EcM
57,Abies lasiocarpa var. arizonica,EcM
58,Abies magnifica,EcM
59,Abies magnifica,EcM
60,Abies magnifica var. shastensis,EcM
61,Abies nephrolepis,EcM
62,Abies nephrolepis,EcM
63,Abies nephrolepis,EcM
64,Abies nordmanniana,EcM
65,Abies nordmanniana,EcM
66,Abies nordmanniana,EcM
67,Abies nordmanniana,EcM
68,Abies nordmanniana,EcM
69,Abies nordmanniana,EcM
70,Abies nordmanniana,EcM
71,Abies numidica,EcM
72,Abies pindrow,EcM
73,Abies pindrow,EcM
74,Abies pindrow,EcM
75,Abies pindrow var. brevifolia,EcM
76,Abies pinsapo,EcM
77,Abies procera,EcM
78,Abies procera,EcM
79,Abies sachalinensis,EcM
80,Abies sachalinensis,EcM
81,Abies sachalinensis,EcM
82,Abies sachalinensis,EcM
83,Abies sachalinensis,EcM
84,Abies sachalinensis,EcM
85,Abies sachalinensis var. mayriana,EcM
86,Abies sachalinensis var. nemorensis,EcM
87,Abies sibirica,EcM
88,Abies sibirica,EcM
89,Abies sibirica,EcM
90,Abies sibirica,EcM
91,Abies sibirica,EcM
92,Abies sibirica,EcM
93,Abies sibirica,EcM
94,Abies sibirica,EcM
95,Abies sibirica,EcM
96,Abies sibirica,EcM
97,Abies sibirica,EcM
