SITE,PLOT,NVC,Yr
1,1,W10d,1
1,2,W10,1
1,3,W25,1
1,4,W10c,1
1,5,W10d,1
1,6,W8d,1
1,7,W10a,1
1,8,W10,1
1,9,W10,1
1,10,W10,1
1,11,W10a,1
1,12,W10,1
1,13,W10,1
1,14,W8d,1
1,15,W10c,1
1,16,W10c,1
2,1,W10,1
2,2,W10c,1
2,3,W10c,1
2,4,W10,1
2,5,W16b,1
2,6,W10,1
2,7,W10,1
2,8,W10a,1
2,9,W16,1
2,10,W16b,1
2,11,W16b,1
2,12,W10d,1
2,13,W16a,1
2,14,W16b,1
2,15,W10d,1
2,16,W16b,1
3,1,W10d,1
3,2,OV27,1
3,3,W10d,1
3,4,W16a,1
3,5,OV27,1
3,6,W10d,1
3,7,W16a,1
3,8,OV27d,1
3,9,W21,1
3,10,W10d,1
3,11,OV27,1
3,12,W10d,1
3,13,W10d,1
3,14,W10d,1
3,15,W10d,1
3,16,W10d,1
4,1,W8d,1
4,2,W8d,1
4,3,W8d,1
4,4,W10c,1
4,5,W21,1
4,6,W8d,1
4,7,W8d,1
4,8,W21,1
4,9,OV27,1
4,10,W10,1
4,11,W8d,1
4,12,W8d,1
4,13,W8d,1
4,14,W10c,1
4,15,W10c,1
4,16,W10c,1
5,1,W8d,1
5,2,W8d,1
5,3,W10c,1
5,4,W10a,1
5,5,W8e,1
5,6,W10,1
5,7,W8d,1
5,8,W8e,1
5,9,W8d,1
5,10,W21,1
5,11,W8d,1
5,12,OV27,1
5,13,W8d,1
5,14,W8d,1
5,15,W8d,1
5,16,W10,1
6,1,W10,1
6,2,W8e,1
6,3,W10c,1
6,4,W10,1
6,5,W8d,1
6,6,OV27d,1
6,7,W10a,1
6,8,W8e,1
6,9,W8d,1
6,10,W10c,1
6,11,W10c,1
6,12,W8d,1
6,13,W8d,1
6,14,W10a,1
6,15,W10c,1
6,16,W10c,1
7,1,W8d,1
7,2,W21,1
7,3,W21,1
7,4,W8d,1
7,5,OV27d,1
7,6,W21,1
7,7,OV27d,1
7,8,W10a,1
7,9,W10,1
7,10,MG1b,1
7,11,OV27d,1
7,12,W10,1
7,13,OV27,1
7,14,W10,1
7,15,W10,1
7,16,W8d,1
8,1,W21,1
8,2,W8d,1
8,3,W8d,1
8,4,W21,1
8,5,W8d,1
8,6,W8d,1
8,7,W8d,1
8,8,W21,1
8,9,W8d,1
8,10,W8d,1
8,12,W8d,1
8,13,W8d,1
8,14,W8d,1
8,15,W21,1
8,16,W8d,1
9,1,W8d,1
9,2,OV27d,1
9,3,W6,1
9,4,W21,1
9,5,W10,1
9,6,W8d,1
9,7,OV27d,1
9,8,OV27d,1
9,9,W8d,1
9,10,W8d,1
9,11,W8d,1
9,12,OV27d,1
9,13,W8d,1
9,14,W12,1
9,15,W12,1
9,16,W12,1
10,1,W10a,1
10,2,W8d,1
10,3,W8d,1
10,4,OV27d,1
10,5,W13,1
10,6,W21,1
10,7,W14,1
10,8,W21,1
10,9,W8d,1
10,10,OV27,1
10,11,W21,1
10,12,W10c,1
10,13,OV27,1
10,14,W21,1
10,15,OV27d,1
10,16,W12,1
11,1,W8d,1
11,2,W8d,1
11,3,W10a,1
11,4,W10a,1
11,5,W10,1
11,6,W10a,1
11,7,W10a,1
11,8,W10,1
11,9,W10a,1
11,10,W10c,1
11,11,W8d,1
11,12,W21,1
11,13,W10a,1
11,14,W10a,1
11,15,W10,1
11,16,W8d,1
12,1,W21,1
12,2,W13,1
12,3,W8d,1
12,4,W8d,1
12,5,W13,1
12,6,W21,1
12,7,W8d,1
12,8,W8d,1
