,SITE,PLOT,NVC,Yr,shortcodes
0,1,1,W10d,1,W10
1,1,2,W10,1,W10
2,1,3,W25,1,W25
3,1,4,W10c,1,W10
4,1,5,W10d,1,W10
5,1,6,W8d,1,W8
6,1,7,W10a,1,W10
7,1,8,W10,1,W10
8,1,9,W10,1,W10
9,1,10,W10,1,W10
10,1,11,W10a,1,W10
11,1,12,W10,1,W10
12,1,13,W10,1,W10
13,1,14,W8d,1,W8
14,1,15,W10c,1,W10
15,1,16,W10c,1,W10
16,2,1,W10,1,W10
17,2,2,W10c,1,W10
18,2,3,W10c,1,W10
19,2,4,W10,1,W10
20,2,5,W16b,1,W16
21,2,6,W10,1,W10
22,2,7,W10,1,W10
23,2,8,W10a,1,W10
24,2,9,W16,1,W16
25,2,10,W16b,1,W16
26,2,11,W16b,1,W16
27,2,12,W10d,1,W10
28,2,13,W16a,1,W16
29,2,14,W16b,1,W16
30,2,15,W10d,1,W10
31,2,16,W16b,1,W16
32,3,1,W10d,1,W10
33,3,2,OV27,1,OV27
34,3,3,W10d,1,W10
35,3,4,W16a,1,W16
36,3,5,OV27,1,OV27
37,3,6,W10d,1,W10
38,3,7,W16a,1,W16
39,3,8,OV27d,1,OV27
40,3,9,W21,1,W21
41,3,10,W10d,1,W10
42,3,11,OV27,1,OV27
43,3,12,W10d,1,W10
44,3,13,W10d,1,W10
45,3,14,W10d,1,W10
46,3,15,W10d,1,W10
47,3,16,W10d,1,W10
48,4,1,W8d,1,W8
49,4,2,W8d,1,W8
50,4,3,W8d,1,W8
51,4,4,W10c,1,W10
52,4,5,W21,1,W21
53,4,6,W8d,1,W8
54,4,7,W8d,1,W8
55,4,8,W21,1,W21
56,4,9,OV27,1,OV27
57,4,10,W10,1,W10
58,4,11,W8d,1,W8
59,4,12,W8d,1,W8
60,4,13,W8d,1,W8
61,4,14,W10c,1,W10
62,4,15,W10c,1,W10
63,4,16,W10c,1,W10
64,5,1,W8d,1,W8
65,5,2,W8d,1,W8
66,5,3,W10c,1,W10
67,5,4,W10a,1,W10
68,5,5,W8e,1,W8
69,5,6,W10,1,W10
70,5,7,W8d,1,W8
71,5,8,W8e,1,W8
72,5,9,W8d,1,W8
73,5,10,W21,1,W21
74,5,11,W8d,1,W8
75,5,12,OV27,1,OV27
76,5,13,W8d,1,W8
77,5,14,W8d,1,W8
78,5,15,W8d,1,W8
79,5,16,W10,1,W10
80,6,1,W10,1,W10
81,6,2,W8e,1,W8
82,6,3,W10c,1,W10
83,6,4,W10,1,W10
84,6,5,W8d,1,W8
85,6,6,OV27d,1,OV27
86,6,7,W10a,1,W10
87,6,8,W8e,1,W8
88,6,9,W8d,1,W8
89,6,10,W10c,1,W10
90,6,11,W10c,1,W10
91,6,12,W8d,1,W8
92,6,13,W8d,1,W8
93,6,14,W10a,1,W10
94,6,15,W10c,1,W10
95,6,16,W10c,1,W10
96,7,1,W8d,1,W8
97,7,2,W21,1,W21
98,7,3,W21,1,W21
99,7,4,W8d,1,W8
100,7,5,OV27d,1,OV27
101,7,6,W21,1,W21
102,7,7,OV27d,1,OV27
103,7,8,W10a,1,W10
104,7,9,W10,1,W10
105,7,10,MG1b,1,MG1
106,7,11,OV27d,1,OV27
107,7,12,W10,1,W10
108,7,13,OV27,1,OV27
109,7,14,W10,1,W10
110,7,15,W10,1,W10
111,7,16,W8d,1,W8
112,8,1,W21,1,W21
113,8,2,W8d,1,W8
114,8,3,W8d,1,W8
115,8,4,W21,1,W21
116,8,5,W8d,1,W8
117,8,6,W8d,1,W8
118,8,7,W8d,1,W8
119,8,8,W21,1,W21
120,8,9,W8d,1,W8
121,8,10,W8d,1,W8
122,8,12,W8d,1,W8
123,8,13,W8d,1,W8
124,8,14,W8d,1,W8
125,8,15,W21,1,W21
126,8,16,W8d,1,W8
127,9,1,W8d,1,W8
128,9,2,OV27d,1,OV27
129,9,3,W6,1,W6
130,9,4,W21,1,W21
131,9,5,W10,1,W10
132,9,6,W8d,1,W8
