site,plot,BRC,DBH_class,Count,Yr,species,ms,flag,dbhcounts
60,13,9202039.0,5,1,2,Taxus baccata,am,1,5
60,13,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
60,13,9202039.0,7,1,2,Taxus baccata,am,1,7
60,13,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
60,14,920841.0,1,2,2,Fraxinus excelsior (c),am,0,2
60,14,9204526.0,1,4,2,Cotoneaster sp.,am,0,4
60,14,9202039.0,1,6,2,Taxus baccata,am,1,6
60,14,920557.0,1,92,2,Corylus avellana,em,0,92
60,14,920557.0,2,10,2,Corylus avellana,em,0,20
60,14,920841.0,3,1,2,Fraxinus excelsior (c),am,0,3
60,14,9204442.0,3,1,2,Larix sp.,em,0,3
60,14,9202039.0,3,2,2,Taxus baccata,am,1,6
60,14,9202039.0,4,2,2,Taxus baccata,am,1,8
60,14,9202119.0,5,1,2,Ulmus glabra,am,0,5
60,14,9202039.0,5,2,2,Taxus baccata,am,1,10
60,14,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
60,14,9204446.0,10,1,2,Quercus seedling/sp,em,0,10
60,15,9201967.0,1,4,2,Sorbus lancastriensis,am,0,4
60,15,920557.0,1,104,2,Corylus avellana,em,0,104
60,15,9201960.0,2,1,2,Sorbus aucuparia,am,0,2
60,15,9201967.0,2,1,2,Sorbus lancastriensis,am,0,2
60,15,9201967.0,3,1,2,Sorbus lancastriensis,am,0,3
60,15,9204446.0,6,2,2,Quercus seedling/sp,em,0,12
60,15,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
60,16,920841.0,1,6,2,Fraxinus excelsior (c),am,0,6
60,16,920841.0,1,9,2,Fraxinus excelsior (c),am,0,9
60,16,920557.0,1,50,2,Corylus avellana,em,0,50
60,16,920569.0,2,1,2,Crataegus monogyna,em,0,2
60,16,9202039.0,2,1,2,Taxus baccata,am,1,2
60,16,9204445.0,2,4,2,Betula seedling/sp,em,0,8
60,16,920841.0,2,5,2,Fraxinus excelsior (c),am,0,10
60,16,9201230.0,2,5,2,Malus sylvestris,am,0,10
60,16,920557.0,2,10,2,Corylus avellana,em,0,20
60,16,920569.0,3,1,2,Crataegus monogyna,em,0,3
60,16,920841.0,3,1,2,Fraxinus excelsior (c),am,0,3
60,16,9201230.0,3,1,2,Malus sylvestris,am,0,3
60,16,920841.0,4,4,2,Fraxinus excelsior (c),am,0,16
60,16,920841.0,5,1,2,Fraxinus excelsior (c),am,0,5
66,1,920569.0,1,1,2,Crataegus monogyna,em,0,1
66,1,920557.0,1,4,2,Corylus avellana,em,0,4
66,1,920569.0,1,4,2,Crataegus monogyna,em,0,4
66,1,920569.0,2,3,2,Crataegus monogyna,em,0,6
66,1,920841.0,3,1,2,Fraxinus excelsior (c),am,0,3
66,1,92077.0,9,1,2,Alnus glutinosa,d,0,9
66,1,920841.0,9,1,2,Fraxinus excelsior (c),am,0,9
66,2,92077.0,1,2,2,Alnus glutinosa,d,0,2
66,2,920557.0,1,2,2,Corylus avellana,em,0,2
66,2,200001670.0,1,6,2,Ulex sp.,am,0,6
66,2,920841.0,4,1,2,Fraxinus excelsior (c),am,0,4
66,2,92077.0,5,1,2,Alnus glutinosa,d,0,5
66,2,920841.0,5,1,2,Fraxinus excelsior (c),am,0,5
66,2,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
66,2,9204558.0,7,1,2,Salix seedling/sp,u,0,7
66,3,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
66,3,9204446.0,3,1,2,Quercus seedling/sp,em,0,3
66,3,9204446.0,4,1,2,Quercus seedling/sp,em,0,4
66,3,9201788.0,5,1,2,Salix caprea,em,0,5
66,3,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
66,3,92077.0,6,1,2,Alnus glutinosa,d,0,6
66,3,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
66,4,920557.0,1,2,2,Corylus avellana,em,0,2
66,4,920557.0,2,2,2,Corylus avellana,em,0,4
66,4,920557.0,3,2,2,Corylus avellana,em,0,6
66,4,92077.0,7,1,2,Alnus glutinosa,d,0,7
66,4,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
66,4,9204446.0,10,1,2,Quercus seedling/sp,em,0,10
66,5,9201023.0,1,4,2,Ilex aquifolium,am,1,4
66,5,920569.0,1,8,2,Crataegus monogyna,em,0,8
66,5,920557.0,1,24,2,Corylus avellana,em,0,24
66,5,92077.0,2,1,2,Alnus glutinosa,d,0,2
66,5,920557.0,2,6,2,Corylus avellana,em,0,12
66,5,9201788.0,3,4,2,Salix caprea,em,0,12
66,5,9201788.0,4,3,2,Salix caprea,em,0,12
66,5,9201788.0,5,3,2,Salix caprea,em,0,15
66,5,92077.0,7,1,2,Alnus glutinosa,d,0,7
66,5,9201788.0,8,1,2,Salix caprea,em,0,8
66,6,920569.0,1,2,2,Crataegus monogyna,em,0,2
66,6,9201023.0,1,6,2,Ilex aquifolium,am,1,6
66,6,920557.0,1,24,2,Corylus avellana,em,0,24
66,6,920569.0,2,2,2,Crataegus monogyna,em,0,4
66,6,920557.0,2,4,2,Corylus avellana,em,0,8
66,6,9201023.0,3,1,2,Ilex aquifolium,am,1,3
66,6,9205178.0,3,1,2,Pseudotsuga spp.,em,0,3
66,6,9204446.0,4,2,2,Quercus seedling/sp,em,0,8
66,6,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
66,6,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
66,6,920841.0,8,1,2,Fraxinus excelsior (c),am,0,8
66,6,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
66,6,9204446.0,9,2,2,Quercus seedling/sp,em,0,18
66,7,9205.0,1,2,2,Acer pseudoplatanus,am,0,2
66,7,920841.0,1,6,2,Fraxinus excelsior (c),am,0,6
66,7,920557.0,1,28,2,Corylus avellana,em,0,28
66,7,9205178.0,2,1,2,Pseudotsuga spp.,em,0,2
66,7,920557.0,2,2,2,Corylus avellana,em,0,4
66,7,92077.0,3,1,2,Alnus glutinosa,d,0,3
66,7,9205178.0,3,1,2,Pseudotsuga spp.,em,0,3
66,7,920841.0,4,1,2,Fraxinus excelsior (c),am,0,4
66,7,9201788.0,4,1,2,Salix caprea,em,0,4
66,7,92077.0,5,1,2,Alnus glutinosa,d,0,5
66,7,9205178.0,5,1,2,Pseudotsuga spp.,em,0,5
66,7,920841.0,6,2,2,Fraxinus excelsior (c),am,0,12
66,7,920841.0,10,1,2,Fraxinus excelsior (c),am,0,10
66,8,920569.0,1,2,2,Crataegus monogyna,em,0,2
66,8,9205.0,2,1,2,Acer pseudoplatanus,am,0,2
66,8,920569.0,2,1,2,Crataegus monogyna,em,0,2
66,8,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
66,8,920810.0,5,1,2,Fagus sylvatica,em,0,5
66,8,920810.0,7,1,2,Fagus sylvatica,em,0,7
66,8,920810.0,13,1,2,Fagus sylvatica,em,0,13
66,9,92077.0,1,2,2,Alnus glutinosa,d,0,2
66,9,92077.0,2,1,2,Alnus glutinosa,d,0,2
66,9,920841.0,4,1,2,Fraxinus excelsior (c),am,0,4
66,9,92077.0,5,1,2,Alnus glutinosa,d,0,5
66,9,920841.0,5,1,2,Fraxinus excelsior (c),am,0,5
66,9,920841.0,11,1,2,Fraxinus excelsior (c),am,0,11
66,11,92077.0,7,1,2,Alnus glutinosa,d,0,7
66,11,92077.0,8,1,2,Alnus glutinosa,d,0,8
66,11,920841.0,9,1,2,Fraxinus excelsior (c),am,0,9
66,11,92077.0,9,3,2,Alnus glutinosa,d,0,27
66,12,920569.0,1,2,2,Crataegus monogyna,em,0,2
66,12,920557.0,1,32,2,Corylus avellana,em,0,32
66,12,92077.0,2,1,2,Alnus glutinosa,d,0,2
66,12,920557.0,2,2,2,Corylus avellana,em,0,4
66,12,920557.0,3,4,2,Corylus avellana,em,0,12
66,12,92077.0,4,1,2,Alnus glutinosa,d,0,4
66,12,9205.0,5,1,2,Acer pseudoplatanus,am,0,5
66,12,92077.0,5,2,2,Alnus glutinosa,d,0,10
66,12,92077.0,7,1,2,Alnus glutinosa,d,0,7
66,12,92077.0,8,1,2,Alnus glutinosa,d,0,8
66,13,9205.0,1,2,2,Acer pseudoplatanus,am,0,2
66,13,9204558.0,1,2,2,Salix seedling/sp,u,0,2
66,13,920841.0,1,3,2,Fraxinus excelsior (c),am,0,3
66,13,920557.0,1,10,2,Corylus avellana,em,0,10
66,14,9201611.0,1,2,2,Prunus avium,am,0,2
66,14,200001670.0,1,16,2,Ulex sp.,am,0,16
66,14,9204558.0,1,46,2,Salix seedling/sp,u,0,46
66,15,9204558.0,1,2,2,Salix seedling/sp,u,0,2
66,15,920557.0,1,8,2,Corylus avellana,em,0,8
66,15,9201023.0,1,8,2,Ilex aquifolium,am,1,8
66,15,920841.0,1,16,2,Fraxinus excelsior (c),am,0,16
66,15,9201023.0,2,1,2,Ilex aquifolium,am,1,2
66,15,9201023.0,3,2,2,Ilex aquifolium,am,1,6
66,15,9204446.0,24,1,2,Quercus seedling/sp,em,0,24
66,16,9201023.0,1,1,2,Ilex aquifolium,am,1,1
66,16,920569.0,1,2,2,Crataegus monogyna,em,0,2
66,16,920841.0,1,2,2,Fraxinus excelsior (c),am,0,2
66,16,9205.0,1,4,2,Acer pseudoplatanus,am,0,4
66,16,920841.0,1,6,2,Fraxinus excelsior (c),am,0,6
66,16,920557.0,1,58,2,Corylus avellana,em,0,58
66,16,9201023.0,2,1,2,Ilex aquifolium,am,1,2
66,16,920557.0,2,2,2,Corylus avellana,em,0,4
66,16,920841.0,2,12,2,Fraxinus excelsior (c),am,0,24
66,16,920841.0,3,1,2,Fraxinus excelsior (c),am,0,3
66,16,920841.0,4,2,2,Fraxinus excelsior (c),am,0,8
66,16,920841.0,5,1,2,Fraxinus excelsior (c),am,0,5
66,16,9205.0,6,1,2,Acer pseudoplatanus,am,0,6
66,16,92077.0,6,1,2,Alnus glutinosa,d,0,6
66,16,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
66,16,920841.0,6,2,2,Fraxinus excelsior (c),am,0,12
66,16,92077.0,7,2,2,Alnus glutinosa,d,0,14
72,1,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
72,1,9204446.0,4,1,2,Quercus seedling/sp,em,0,4
72,1,9204446.0,10,1,2,Quercus seedling/sp,em,0,10
72,1,9204446.0,11,1,2,Quercus seedling/sp,em,0,11
72,1,9204446.0,12,1,2,Quercus seedling/sp,em,0,12
72,2,9204445.0,3,1,2,Betula seedling/sp,em,0,3
72,2,9204445.0,4,2,2,Betula seedling/sp,em,0,8
72,2,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
72,2,9204446.0,8,2,2,Quercus seedling/sp,em,0,16
72,3,9204445.0,3,1,2,Betula seedling/sp,em,0,3
72,3,9204446.0,3,1,2,Quercus seedling/sp,em,0,3
72,3,9204445.0,4,1,2,Betula seedling/sp,em,0,4
72,3,9204445.0,5,1,2,Betula seedling/sp,em,0,5
72,3,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
72,3,9204446.0,8,2,2,Quercus seedling/sp,em,0,16
72,3,920810.0,12,1,2,Fagus sylvatica,em,0,12
72,4,9201614.0,1,2,2,Prunus domestica,am,0,2
72,4,9201960.0,1,6,2,Sorbus aucuparia,am,0,6
72,4,9204445.0,1,6,2,Betula seedling/sp,em,0,6
72,4,9204446.0,1,12,2,Quercus seedling/sp,em,0,12
72,4,9204445.0,4,3,2,Betula seedling/sp,em,0,12
