,SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names,Woody
0,60,13,9202039,5,1,2,Taxus baccata,w
1,60,13,9204446,5,2,2,Quercus seedling/sp,w
2,60,13,9202039,7,1,2,Taxus baccata,w
3,60,13,9204446,8,1,2,Quercus seedling/sp,w
4,60,14,920841,1,2,2,Fraxinus excelsior (c),w
5,60,14,9204526,1,4,2,Cotoneaster sp.,w
6,60,14,9202039,1,6,2,Taxus baccata,w
7,60,14,920557,1,92,2,Corylus avellana,w
8,60,14,920557,2,10,2,Corylus avellana,w
9,60,14,920841,3,1,2,Fraxinus excelsior (c),w
10,60,14,9204442,3,1,2,Larix sp.,w
11,60,14,9202039,3,2,2,Taxus baccata,w
12,60,14,9202039,4,2,2,Taxus baccata,w
13,60,14,9202119,5,1,2,Ulmus glabra,w
14,60,14,9202039,5,2,2,Taxus baccata,w
15,60,14,9204446,6,1,2,Quercus seedling/sp,w
16,60,14,9204446,10,1,2,Quercus seedling/sp,w
17,60,15,9201967,1,4,2,Sorbus lancastriensis,w
18,60,15,920557,1,104,2,Corylus avellana,w
19,60,15,9201960,2,1,2,Sorbus aucuparia,w
20,60,15,9201967,2,1,2,Sorbus lancastriensis,w
21,60,15,9201967,3,1,2,Sorbus lancastriensis,w
22,60,15,9204446,6,2,2,Quercus seedling/sp,w
23,60,15,9204446,7,1,2,Quercus seedling/sp,w
24,60,16,920841,1,6,2,Fraxinus excelsior (c),w
25,60,16,920841,1,9,2,Fraxinus excelsior (c),w
26,60,16,920557,1,50,2,Corylus avellana,w
27,60,16,920569,2,1,2,Crataegus monogyna,w
28,60,16,9202039,2,1,2,Taxus baccata,w
29,60,16,9204445,2,4,2,Betula seedling/sp,w
30,60,16,920841,2,5,2,Fraxinus excelsior (c),w
31,60,16,9201230,2,5,2,Malus sylvestris,
32,60,16,920557,2,10,2,Corylus avellana,w
33,60,16,920569,3,1,2,Crataegus monogyna,w
34,60,16,920841,3,1,2,Fraxinus excelsior (c),w
35,60,16,9201230,3,1,2,Malus sylvestris,
36,60,16,920841,4,4,2,Fraxinus excelsior (c),w
37,60,16,920841,5,1,2,Fraxinus excelsior (c),w
38,66,1,920569,1,1,2,Crataegus monogyna,w
39,66,1,920557,1,4,2,Corylus avellana,w
40,66,1,920569,1,4,2,Crataegus monogyna,w
41,66,1,920569,2,3,2,Crataegus monogyna,w
42,66,1,920841,3,1,2,Fraxinus excelsior (c),w
43,66,1,92077,9,1,2,Alnus glutinosa,w
44,66,1,920841,9,1,2,Fraxinus excelsior (c),w
45,66,2,92077,1,2,2,Alnus glutinosa,w
46,66,2,920557,1,2,2,Corylus avellana,w
47,66,2,200001670,1,6,2,Ulex sp.,w
48,66,2,920841,4,1,2,Fraxinus excelsior (c),w
49,66,2,92077,5,1,2,Alnus glutinosa,w
50,66,2,920841,5,1,2,Fraxinus excelsior (c),w
51,66,2,9204446,6,1,2,Quercus seedling/sp,w
52,66,2,9204558,7,1,2,Salix seedling/sp,w
53,66,3,9204446,2,1,2,Quercus seedling/sp,w
54,66,3,9204446,3,1,2,Quercus seedling/sp,w
55,66,3,9204446,4,1,2,Quercus seedling/sp,w
56,66,3,9201788,5,1,2,Salix caprea,w
57,66,3,9204446,5,1,2,Quercus seedling/sp,w
58,66,3,92077,6,1,2,Alnus glutinosa,w
59,66,3,9204446,6,1,2,Quercus seedling/sp,w
60,66,4,920557,1,2,2,Corylus avellana,w
61,66,4,920557,2,2,2,Corylus avellana,w
62,66,4,920557,3,2,2,Corylus avellana,w
63,66,4,92077,7,1,2,Alnus glutinosa,w
64,66,4,9204446,8,1,2,Quercus seedling/sp,w
65,66,4,9204446,10,1,2,Quercus seedling/sp,w
66,66,5,9201023,1,4,2,Ilex aquifolium,w
67,66,5,920569,1,8,2,Crataegus monogyna,w
68,66,5,920557,1,24,2,Corylus avellana,w
69,66,5,92077,2,1,2,Alnus glutinosa,w
70,66,5,920557,2,6,2,Corylus avellana,w
71,66,5,9201788,3,4,2,Salix caprea,w
72,66,5,9201788,4,3,2,Salix caprea,w
73,66,5,9201788,5,3,2,Salix caprea,w
74,66,5,92077,7,1,2,Alnus glutinosa,w
75,66,5,9201788,8,1,2,Salix caprea,w
76,66,6,920569,1,2,2,Crataegus monogyna,w
77,66,6,9201023,1,6,2,Ilex aquifolium,w
78,66,6,920557,1,24,2,Corylus avellana,w
79,66,6,920569,2,2,2,Crataegus monogyna,w
80,66,6,920557,2,4,2,Corylus avellana,w
81,66,6,9201023,3,1,2,Ilex aquifolium,w
82,66,6,9205178,3,1,2,Pseudotsuga spp.,w
83,66,6,9204446,4,2,2,Quercus seedling/sp,w
84,66,6,9204446,5,2,2,Quercus seedling/sp,w
85,66,6,9204446,6,1,2,Quercus seedling/sp,w
86,66,6,920841,8,1,2,Fraxinus excelsior (c),w
87,66,6,9204446,8,1,2,Quercus seedling/sp,w
88,66,6,9204446,9,2,2,Quercus seedling/sp,w
89,66,7,9205,1,2,2,Acer pseudoplatanus,w
90,66,7,920841,1,6,2,Fraxinus excelsior (c),w
91,66,7,920557,1,28,2,Corylus avellana,w
92,66,7,9205178,2,1,2,Pseudotsuga spp.,w
93,66,7,920557,2,2,2,Corylus avellana,w
94,66,7,92077,3,1,2,Alnus glutinosa,w
95,66,7,9205178,3,1,2,Pseudotsuga spp.,w
96,66,7,920841,4,1,2,Fraxinus excelsior (c),w
97,66,7,9201788,4,1,2,Salix caprea,w
98,66,7,92077,5,1,2,Alnus glutinosa,w
99,66,7,9205178,5,1,2,Pseudotsuga spp.,w
100,66,7,920841,6,2,2,Fraxinus excelsior (c),w
101,66,7,920841,10,1,2,Fraxinus excelsior (c),w
102,66,8,920569,1,2,2,Crataegus monogyna,w
103,66,8,9205,2,1,2,Acer pseudoplatanus,w
104,66,8,920569,2,1,2,Crataegus monogyna,w
105,66,8,9205,3,1,2,Acer pseudoplatanus,w
106,66,8,920810,5,1,2,Fagus sylvatica,w
107,66,8,920810,7,1,2,Fagus sylvatica,w
108,66,8,920810,13,1,2,Fagus sylvatica,w
109,66,9,92077,1,2,2,Alnus glutinosa,w
110,66,9,92077,2,1,2,Alnus glutinosa,w
111,66,9,920841,4,1,2,Fraxinus excelsior (c),w
112,66,9,92077,5,1,2,Alnus glutinosa,w
