Site,Plot,Yr,alpha,percentamtree,percentinvtree,herbcover,percentamshrub,percentinvshrub,percentinvherb,lba,som,pH,shortcodes
1,1,1,8,,0.9457364341085271,360.0,0.6078431372549019,0.7843137254901961,0.3888888888888889,0.500691329,8.582,4.4,W10
1,1,2,12,,,576.0,0.32894736842105265,0.32894736842105265,0.3055555555555556,0.539961237,17.2,3.8,W10
1,2,1,12,,0.24468085106382978,585.0,0.6296296296296297,0.5925925925925926,0.38461538461538464,0.502654825,9.622,4.3,W10
1,2,2,12,,,565.0,0.3333333333333333,0.6666666666666666,0.39823008849557523,4.80663676,17.4,3.9,W10
1,3,1,4,,0.3142857142857143,230.0,1.0,0.5,0.7608695652173914,0.467311907,9.544,4.2,W25
1,3,2,13,0.75,0.75,800.0,0.6774193548387096,0.6774193548387096,0.4875,1.537416905,11.3,4.3,W10
1,4,1,13,,0.3333333333333333,710.0,0.5454545454545454,0.045454545454545456,0.2746478873239437,0.512472302,7.415,4.3,W10
1,4,2,8,,0.043859649122807015,415.0,1.0,0.6666666666666666,0.5180722891566265,1.083849465,19.5,3.9,W10
1,5,1,11,,0.803921568627451,675.0,0.23076923076923078,0.9230769230769231,0.4666666666666667,0.834485549,11.294,3.9,W10
1,5,2,16,0.6901408450704225,0.6901408450704225,890.0,1.0,0.7560975609756098,0.39325842696629215,1.462804079,8.4,4.5,W10
1,6,1,15,,0.3684210526315789,1050.0,0.3939393939393939,0.6363636363636364,0.2857142857142857,1.005309649,9.39,4.1,W8
1,6,2,19,,0.5274725274725275,645.0,0.8333333333333334,0.5,0.13953488372093023,1.502073987,42.2,4.1,W10
1,7,1,10,,0.5686274509803921,555.0,0.5833333333333334,0.9166666666666666,0.5405405405405406,0.714712329,9.956,4.3,W10
1,7,2,25,,,1320.0,0.967741935483871,0.6451612903225806,0.3560606060606061,1.3155419240000001,14.7,4.2,W10
1,8,1,6,,0.59,380.0,1.0,0.5,0.5921052631578947,1.1545353,7.474,4.1,W10
1,8,2,16,0.1834862385321101,0.1834862385321101,900.0,0.8214285714285714,0.4642857142857143,0.3888888888888889,1.743583923,33.2,4.2,W10
1,9,1,15,0.03870967741935484,0.2645161290322581,770.0,1.0,0.3548387096774194,0.37012987012987014,0.520326283,4.453,4.8,W10
