Site,Plot,Yr,alpha,herbcover,amtreeprop,invtreeprop,lba,som,pH,shortcodes,percentamcover,percentinvcover
1,1,1,8,112.5,,,0.500691329,8.582,4.4,W10,0.9824561403508771,0.8771929824561403
1,1,2,12,81.0,,,0.539961237,17.2,3.8,W10,0.14285714285714285,
1,2,1,12,139.5,,,0.502654825,9.622,4.3,W10,0.9861111111111112,0.8333333333333334
1,2,2,12,119.5,,,4.80663676,17.4,3.9,W10,0.3333333333333333,
1,3,1,4,180.5,,,0.467311907,9.544,4.2,W25,1.0,0.5
1,3,2,13,107.0,0.75,,1.537416905,11.3,4.3,W10,0.9230769230769231,0.7692307692307693
1,4,1,13,116.0,,,0.512472302,7.415,4.3,W10,0.9545454545454546,0.45454545454545453
1,4,2,8,19.0,,,1.083849465,19.5,3.9,W10,1.0,0.6666666666666666
1,5,1,11,81.0,,,0.834485549,11.294,3.9,W10,0.967741935483871,0.6451612903225806
1,5,2,16,98.0,0.6901408450704225,,1.462804079,8.4,4.5,W10,1.0,0.7857142857142857
1,6,1,15,60.0,,0.042105263157894736,1.005309649,9.39,4.1,W8,0.9393939393939394,0.30303030303030304
1,6,2,19,100.5,,,1.502073987,42.2,4.1,W10,0.8333333333333334,0.5
1,7,1,10,109.5,,,0.714712329,9.956,4.3,W10,0.9761904761904762,0.5
1,7,2,25,82.5,,,1.3155419240000001,14.7,4.2,W10,0.23076923076923078,0.15384615384615385
1,8,1,6,132.5,,,1.1545353,7.474,4.1,W10,1.0,0.5
1,8,2,16,9.0,0.1834862385321101,,1.743583923,33.2,4.2,W10,0.9939024390243902,0.975609756097561
1,9,1,15,126.5,0.03870967741935484,,0.520326283,4.453,4.8,W10,1.0,0.7692307692307693
1,9,2,29,97.0,0.3597122302158273,,0.960149255,16.3,5.3,W10,0.8333333333333334,0.1111111111111111
1,10,1,16,97.0,,0.01990049751243781,1.10348442,5.329,4.5,W10,0.975609756097561,0.7317073170731707
1,10,2,17,31.5,0.4576271186440678,,1.470658061,11.8,4.8,W10,0.875,0.75
1,11,1,9,104.5,,,0.9012443920000001,6.621,4.4,W10,1.0,0.9090909090909091
1,11,2,18,18.5,,,0.675442421,27.1,4.2,W10,0.6666666666666666,0.16666666666666666
1,12,1,12,130.0,,0.1340782122905028,0.600829595,7.745,3.9,W10,0.9285714285714286,0.7142857142857143
1,12,2,21,53.5,0.4084507042253521,0.056338028169014086,1.072068493,12.8,5.2,W8,0.6,
1,13,1,10,101.0,,,0.50461832,6.361000000000001,4.2,W10,1.0,0.9090909090909091
1,13,2,15,97.0,,,1.0033461540000002,16.4,4.0,W10,0.8,0.6666666666666666
1,14,1,18,114.5,0.2677165354330709,,0.484983366,8.899,6.1,W8,0.8,0.4
1,14,2,14,63.5,,,1.5747233180000002,20.0,4.1,W10,0.5714285714285714,0.14285714285714285
1,15,1,15,59.5,,0.028985507246376812,0.41037054,8.524,4.4,W10,1.0,0.975609756097561
1,15,2,13,76.5,,,1.6238107030000002,35.5,4.0,W10,0.6666666666666666,0.3333333333333333
1,16,1,12,124.0,,0.17543859649122806,0.6774059159999999,6.8020000000000005,4.3,W10,1.0,0.967741935483871
1,16,2,9,89.0,0.08035714285714286,0.03571428571428571,0.6459899889999999,12.2,4.3,W21,1.0,
2,1,1,14,26.0,0.011627906976744186,,1.3607023180000002,6.547000000000001,5.1,W10,1.0,0.6111111111111112
2,1,2,20,16.0,,,1.280199006,6.7,5.0,W10,0.9285714285714286,0.75
2,2,1,10,10.0,0.027624309392265192,,2.155917959,9.65,4.4,W10,0.975,0.775
2,2,2,8,48.0,0.06779661016949153,,1.5217089419999998,12.9,4.2,W10,0.9714285714285714,0.6
2,3,1,8,6.5,0.012552301255230125,,1.5217089419999998,6.032,4.0,W10,0.9555555555555556,0.6888888888888889
2,3,2,13,8.0,,,0.567450173,7.9,4.2,W10,0.7272727272727273,0.36363636363636365
2,4,1,34,28.0,0.1773049645390071,,0.549778714,5.247000000000001,4.6,W10,0.9764705882352941,0.7058823529411765
2,4,2,12,12.0,0.03669724770642202,,1.3842642630000002,8.9,4.2,W10,0.9642857142857143,0.7321428571428571
2,5,1,3,26.0,0.06493506493506493,0.06493506493506493,1.682715565,7.949,3.6,W16,0.9787234042553191,0.8936170212765957
2,5,2,2,16.0,,,0.49087385200000005,10.4,4.3,W10,0.6,0.4
2,6,1,11,8.5,0.043478260869565216,,0.805033117,7.132999999999999,4.0,W10,0.9444444444444444,0.2777777777777778
2,6,2,27,41.0,0.23684210526315788,0.23684210526315788,1.694496538,5.9,8.5,W10,0.925,0.8
2,7,1,32,41.5,,,0.261144889,5.632999999999999,4.8,W10,0.95,0.8333333333333334
2,7,2,13,12.5,0.4794520547945205,,3.581415625,7.3,5.5,W10,0.875,0.25
2,8,1,11,26.0,0.050359712230215826,,0.675442421,7.005,4.0,W10,1.0,0.14285714285714285
2,9,1,3,81.5,0.06382978723404255,,0.078539816,16.877,3.8,W16,0.42857142857142855,0.2857142857142857
2,9,2,1,10.0,0.16230366492146597,0.16230366492146597,2.326742059,17.7,4.1,W15,0.75,0.75
2,10,1,2,15.5,,,0.045160394000000006,12.357999999999999,3.8,W16,0.9574468085106383,0.10638297872340426
2,10,2,3,6.5,0.012618296529968454,,0.255254403,11.2,4.4,W16,1.0,0.5
2,11,1,4,42.5,0.052980132450331126,,1.3017974559999999,12.878,3.6,W16,1.0,0.8461538461538461
2,11,2,16,19.5,0.37446808510638296,0.3404255319148936,0.746128255,17.2,4.5,W10,0.7,0.4
2,12,1,9,5.0,,,1.712167996,10.942,3.5,W10,0.9848484848484849,0.9242424242424242
2,12,2,24,59.0,0.04,0.05333333333333334,2.238384766,12.6,5.3,W10,0.5,0.5
2,13,1,6,92.5,,0.03278688524590164,3.603014075,35.925,3.5,W16,0.9166666666666666,0.08333333333333333
2,13,2,26,117.0,,,,6.3,4.9,OV27,0.4166666666666667,0.16666666666666666
2,14,1,1,60.0,0.27472527472527475,0.27472527472527475,2.3110340959999998,8.64,3.6,W16,1.0,0.875
2,14,2,20,115.0,0.3103448275862069,,2.0518527019999997,20.2,4.3,W10,0.5,0.375
2,15,1,12,10.0,0.23728813559322035,0.23728813559322035,3.638356992,5.4510000000000005,4.0,W10,0.5925925925925926,0.4074074074074074
2,15,2,2,5.5,,0.12093023255813953,0.206167018,7.8,4.4,W10,1.0,1.0
2,16,1,1,1.0,0.047619047619047616,,0.190459055,8.907,4.0,W16,0.8333333333333334,0.3333333333333333
2,16,2,3,16.0,,,1.663080611,14.5,4.2,W16,0.9880952380952381,0.9880952380952381
3,1,1,16,93.5,0.971830985915493,,0.10602875199999999,11.807,4.8,W10,0.96,0.84
3,1,2,4,2.5,1.0,,0.8855364290000001,7.629428,5.472,OV27,1.0,
3,2,1,35,37.0,,,,6.0760000000000005,5.8,OV27,1.0,0.9929078014184397
3,2,2,22,62.5,0.95,,0.720602815,7.686926,5.505,OV27,1.0,0.3333333333333333
3,3,1,8,104.0,1.0,,0.017671459,33.773,4.6,W10,0.8333333333333334,0.3333333333333333
3,3,2,11,87.5,0.1927710843373494,,1.307687942,10.09634,4.439,W10,0.9230769230769231,0.8461538461538461
3,4,1,11,105.5,0.08450704225352113,0.5070422535211268,0.170824101,27.233,3.8,W16,0.36363636363636365,0.2727272727272727
3,4,2,12,42.0,,,1.093666943,7.9275970000000004,4.611000000000001,W10,0.5,0.45454545454545453
3,5,1,32,69.0,0.5573770491803278,,0.594939109,8.773,4.8,OV27,0.9910714285714286,0.9017857142857143
3,5,2,19,67.0,0.8813559322033898,0.11864406779661017,1.178097245,10.672989999999999,5.397,OV27,1.0,0.5
3,6,1,6,63.5,,0.7391304347826086,0.168860605,13.599,3.9,W10,0.2857142857142857,0.5714285714285714
3,6,2,16,93.5,,,0.750055246,10.21175,4.861000000000001,W10,0.56,0.4
3,7,1,9,70.0,0.8791208791208791,,0.041233404,14.686,4.4,W16,0.75,0.6875
3,7,2,15,44.5,0.16666666666666666,,0.056941367,16.323729999999998,4.678,W10,0.6666666666666666,0.09523809523809523
3,8,1,14,17.5,0.9117647058823529,0.08823529411764706,0.895353906,10.47,5.0,OV27,1.0,0.05847953216374269
3,8,2,8,14.5,0.6296296296296297,0.07407407407407407,0.404480054,13.05068,4.053,W10,1.0,0.5
3,9,1,21,63.0,0.961038961038961,,0.524253274,12.190999999999999,5.2,W21,0.9897435897435898,0.2564102564102564
3,9,2,7,4.5,0.4716981132075472,,1.3685563,8.425761999999999,4.877,OV27,0.8333333333333334,0.3333333333333333
3,10,1,10,102.0,1.0,,0.001963495,11.115,3.8,W10,0.3333333333333333,0.5
3,10,2,3,80.5,,,0.33183072399999997,10.086969999999999,3.888,W10,0.5454545454545454,0.5
3,11,1,25,57.5,,,,9.627,5.3,OV27,0.9876543209876543,0.9876543209876543
3,11,2,8,6.5,0.640625,0.03125,2.915790682,10.652239999999999,5.517,W10,1.0,0.14285714285714285
3,12,1,8,68.5,0.17647058823529413,,0.5811946410000001,18.565,5.1,W10,0.984375,0.15625
3,12,2,12,17.5,0.4473684210526316,,2.446515279,8.378712,5.41,W10,1.0,0.3333333333333333
3,13,1,5,98.0,,,0.017671459,10.685,3.6,W10,0.42857142857142855,0.2857142857142857
3,13,2,4,121.5,,,0.891426915,11.09014,4.144,W16,0.8888888888888888,0.5555555555555556
3,14,1,6,98.5,,,,9.751,4.1,W10,0.625,0.375
3,14,2,1,100.0,,,,,,W10,,
3,15,1,5,157.0,0.6,,0.090320789,13.019,3.8,W10,1.0,1.0
3,15,2,9,94.0,,0.06451612903225806,1.288052988,12.35835,4.72,W10,1.0,0.6666666666666666
3,16,1,9,100.5,0.11428571428571428,,0.08639379800000001,38.152,3.8,W10,0.5,0.25
3,16,2,5,112.5,,,0.402516559,10.17873,4.167,W16,0.3888888888888889,0.3055555555555556
4,1,1,27,33.5,0.3888888888888889,,0.428041999,15.357999999999999,6.0,W8,0.5833333333333334,0.16666666666666666
4,1,2,15,88.0,0.10526315789473684,,1.270381529,9.513527,6.462000000000001,W8,1.0,0.3225806451612903
4,2,1,25,32.5,0.3633633633633634,,0.25721789899999997,13.862,6.5,W8,0.6666666666666666,0.2222222222222222
4,2,2,15,63.5,0.10840108401084012,0.005420054200542005,0.918915851,9.966352,5.646,W10,1.0,0.9523809523809523
