,nvc,ms,flag
0,OV28,am,o
1,W25,am,a
2,U20,a,a
3,M23,am,w
4,S7,am,w
5,SD5,am,d
6,S4,am,w
7,M15,am,w
8,W23,am,o
9,H2,am,o
10,U16,er,o
11,W15,em,t
12,OV27,am,o
13,OV10,am,o
14,W21,am,o
15,M16,er,o
16,W2,d,w
17,W13,am,t
18,W4,em,t
19,M27,am,w
20,H12,er,o
21,S28,am,w
22,OV41,am,o
23,W8,am,t
24,MG7,am,o
25,W22,am,a
26,S5,am,w
27,W7,am,t
28,OV20,am,o
29,W14,em,t
30,W10,em,t
31,MG9,am,w
32,W1,am,t
33,S11,am,w
34,OV24,am,o
35,U2,am,a
36,MG10,am,o
37,W12,am,t
38,W16,em,t
39,W24,am,o
40,OV21,am,o
41,CG4,am,o
42,S26,am,o
43,H10,er,o
44,W6,d,w
45,MG1,am,o
46,OV26,am,o
47,U1,am,o
48,M6,u,w
49,M25,am,w
