species,mycorrhiza type,
Abarema jupunba,AM; others not addressed,
Abelmoschus esculentus,AM; others not addressed,
Abelmoschus esculentus,AM; others not addressed,
Abelmoschus manihot,AM; others not addressed,
Abies ,EcM; others not addressed,
Abies ,EcM; others not addressed,
Abies ,EcM; others not addressed,
Abies alba,EcM; others not addressed,
Abies alba,EcM; others not addressed,
Abies alba,EcM; no others,
Abies alba,EcM; others not addressed,
Abies alba,EcM; no others,
Abies amabilis,EcM; others not addressed,
Abies amabilis,EcM; no others,
Abies balsamea,EcM; others not addressed,
Abies balsamea,EcM; others not addressed,
Abies balsamea,EcM; others not addressed,
Abies balsamea,EcM; no others,
Abies balsamea,EcM; no others,
Abies balsamea,EcM; no others,
Abies balsamea,EcM; no others,
Abies balsamea var. phanerolepis,EcM; others not addressed,
Abies cephalonica,EcM; others not addressed,
Abies cilicica,EcM; others not addressed,
Abies cilicica,EcM; others not addressed,
Abies concolor,EcM; others not addressed,
Abies concolor,EcM; others not addressed,
Abies concolor,EcM; others not addressed,
Abies concolor,EcM; no others,
Abies concolor,EcM; no others,
Abies fargesii,EcM; others not addressed,
Abies fargesii,EcM; others not addressed,
Abies fargesii var. faxoniana,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,EcM; others not addressed,
Abies firma,non-mycorrhizal (checked for all types),
Abies fraseri,EcM; others not addressed,
Abies grandis,EcM; others not addressed,
Abies grandis,EcM; others not addressed,
Abies grandis,EcM; others not addressed,
Abies grandis,EcM; no others,
Abies holophylla,EcM; others not addressed,
Abies holophylla,EcM; others not addressed,
Abies holophylla,EcM; others not addressed,
Abies homolepis,EcM; others not addressed,
Abies kawakamii,EcM; no others,
Abies koreana,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; no others,
Abies lasiocarpa,EcM; others not addressed,
Abies lasiocarpa,EcM; no others,
Abies lasiocarpa var. arizonica,EcM; others not addressed,
Abies magnifica,EcM; others not addressed,
Abies magnifica,EcM; no others,
Abies magnifica var. shastensis,EcM; no others,
Abies nephrolepis,EcM; others not addressed,
Abies nephrolepis,EcM; others not addressed,
Abies nephrolepis,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; others not addressed,
Abies nordmanniana,EcM; no others,
Abies numidica,EcM; others not addressed,
Abies pindrow,EcM; others not addressed,
Abies pindrow,EcM; others not addressed,
Abies pindrow,EcM; no others,
Abies pindrow var. brevifolia,EcM; others not addressed,
Abies pinsapo,EcM; others not addressed,
Abies procera,EcM; others not addressed,
Abies procera,EcM; no others,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis,EcM; others not addressed,
Abies sachalinensis var. mayriana,EcM; others not addressed,
Abies sachalinensis var. nemorensis,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies sibirica,EcM; others not addressed,
Abies veitchii,EcM; others not addressed,
Abies veitchii,EcM; others not addressed,
Abronia maritima,AM; others not addressed,
Abronia umbellata,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; others not addressed,
Abrus precatorius,AM; no others,
Abutilon,AM; others not addressed,
Abutilon californicum,AM; others not addressed,
Abutilon californicum,AM; no others,
Abutilon grandifolium,AM; no others,
Abutilon grandifolium,AM; no others,
Abutilon grandifolium,AM; others not addressed,
Abutilon hybridum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,non-mycorrhizal (checked for all types),
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; others not addressed,
Abutilon indicum,AM; no others,
Abutilon indicum,AM; others not addressed,
Abutilon indicum subalbescens,AM; others not addressed,
Abutilon otocarpum,AM; others not addressed,
Abutilon pannosum,AM; no others,
Abutilon pannosum,AM; no others,
Abutilon theophrasti,AM; no others,
Abutilon theophrasti,AM; others not addressed,
Abutilon theophrasti,AM; others not addressed,
Acacia alata,AM; no others,
Acacia alata,AM; no others,
Acacia alata,AM; no others,
Acacia alleniana,AM; no others,
Acacia ampliceps,AM; others not addressed,
Acacia ancistrocarpa,AM; no others,
Acacia aneura,AM; others not addressed,
Acacia aneura,EcM; no others,
Acacia aneura,"EcM,AM",
Acacia aneura,EcM; no others,
Acacia aneura,EcM; others not addressed,
Acacia armata,non-EcM; others not addressed,
Acacia armata,non-EcM; others not addressed,
Acacia aulacocarpa,AM; no others,
Acacia aulacocarpa,AM; no others,
Acacia aulacocarpa,AM; no others,
Acacia aulacocarpa,"EcM,AM",
Acacia auriculiformis,non-AM; others not addressed,
Acacia auriculiformis,non-AM; others not addressed,
