BRCcode,Taxon name,P1,LF1,W,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S
9202527,Acaena novae-zelandiae,p,Ch,w,3.8,15.2,831,"3, 10, 18, 19",8,3,6,3,0
9203,Acer campestre,p,Ph,w,3.6,15.7,839,"1, 3",5,5,7,6,0
9204,Acer platanoides,p,Ph,w,3.4,15.2,903,"1, 3, 17",4,5,7,7,0
9205,Acer pseudoplatanus,p,Ph,w,3.6,14.6,1083,"1, 3, 17",4,5,6,6,0
9206,Aceras anthropophorum,p,Gn,h,3.6,16.3,690,7,7,4,8,3,0
9207,Achillea millefolium,p,Ch,h,3.5,14.5,1103,"5, 6",7,5,6,4,1
9209,Achillea ptarmica,p,hc,h,3.3,14.3,1146,11,7,7,5,3,0
92014,Aconitum napellus,p,Gn,h,4.0,15.8,964,"1, 3, 14, 17",5,7,7,6,0
9203305,Aconitum napellus sens. lat.,p,Gn,h,4.0,15.8,964,"1, 3, 14, 17",5,7,7,6,0
92015,Acorus calamus,p,Hy,h,3.6,15.8,770,"13, 14",8,10,7,7,0
92016,Actaea spicata,p,Gn,h,2.5,14.3,1054,16,3,5,8,6,0
91017,Adiantum capillus-veneris,p,hc,h,5.2,15.2,1101,16,4,7,8,3,0
92018,Adonis annua,a,Th,h,3.8,16.0,745,4,7,4,7,4,0
92019,Adoxa moschatellina,p,Gn,h,3.3,14.9,1005,1,4,5,6,5,0
92020,Aegopodium podagraria,p,hc,h,3.6,14.6,1064,"3, 17",6,5,6,7,0
9202241,Aesculus hippocastanum,p,Ph,w,3.6,14.8,1014,"3, 17",5,5,7,7,0
92021,Aethusa cynapium,a,Th,h,3.6,15.5,863,"3, 4, 17",6,4,7,6,0
92022,Agrimonia eupatoria,p,hc,h,3.8,15.1,953,6,7,4,7,4,0
92023,Agrimonia procera,p,hc,h,3.9,15.1,1026,"1, 3, 6",5,6,7,5,0
92034,Agrostemma githago,a,Th,h,3.9,15.6,852,4,7,5,6,5,0
92035.2,Agrostis canina,p,hc,h,3.5,14.5,1128,"11, 13",7,7,3,3,0
92035,Agrostis canina sens.lat.,p,hc,h,3.4,14.3,1145,"8, 11",7,6,3,3,0
92040,Agrostis capillaris,p,hc,h,3.5,14.5,1104,8,6,5,4,4,0
92038,Agrostis curtisii,p,hc,h,4.9,15.8,1082,"8, 10",7,6,2,1,0
92036,Agrostis gigantea,p,hc,h,3.6,15.3,889,"3, 4",7,6,6,7,0
92039,Agrostis stolonifera,p,hc,h,3.6,14.5,1101,"4, 5, 6",7,6,7,6,1
92035.1,Agrostis vinealis,p,hc,h,3.3,14.0,1200,"8, 10",7,6,3,2,0
92041,Aira caryophyllea,a,Th,h,3.7,14.6,1087,"10, 16",8,2,5,2,0
92042,Aira praecox,a,Th,h,3.5,14.3,1149,"8, 16",8,2,4,2,0
92043,Ajuga chamaepitys,p,hc,h,3.8,16.5,713,"4, 7",7,4,8,2,0
92045,Ajuga pyramidalis,p,hc,h,3.3,12.6,1425,"10, 16",7,5,5,2,0
92046,Ajuga reptans,p,hc,h,3.4,14.6,1095,1,5,7,5,5,0
92047,Alchemilla acutiloba,p,hc,h,1.6,13.2,969,6,7,4,6,5,0
92048,Alchemilla alpina,p,hc,h,1.6,12.1,1843,"7, 15, 16",7,5,4,3,0
9204480,Alchemilla filicaulis,p,hc,h,2.9,14.1,1185,"7, 15, 16",8,6,6,3,0
92051,Alchemilla glabra,p,hc,h,2.6,13.4,1338,"6, 15, 16",7,6,6,4,0
92054,Alchemilla glaucescens,p,hc,h,2.0,13.3,1408,7,7,5,7,5,0
92052,Alchemilla glomerulans,p,hc,h,0.4,11.5,1978,"8, 15",7,5,5,4,0
9202552,Alchemilla micans,p,hc,h,2.0,13.5,1056,7,7,5,7,5,0
92053,Alchemilla minima,p,hc,h,1.7,13.5,1667,7,7,6,8,3,0
9202255,Alchemilla mollis,p,hc,h,3.5,15.0,1009,"3, 17",6,5,7,6,0
92055,Alchemilla monticola,p,hc,h,1.3,13.0,1084,6,7,4,6,4,0
92056,Alchemilla subcrenata,p,hc,h,0.9,12.6,1125,6,7,4,6,5,0
92058,Alchemilla vulgaris agg.,p,hc,h,3.1,14.1,1179,"6, 7, 15, 16",7,5,6,4,0
92059,Alchemilla wichurae,p,hc,h,0.9,12.0,1992,7,7,5,5,3,0
92060,Alchemilla xanthochlora,p,hc,h,2.8,13.9,1174,"6, 7",6,5,6,4,0
92061,Alisma gramineum,p,Hy,h,3.5,16.2,612,13,7,11,7,4,0
92062,Alisma lanceolatum,p,Hy,h,3.7,16.0,757,13,8,10,7,7,0
92063,Alisma plantago-aquatica,p,Hy,h,3.8,15.2,950,"11, 13",7,10,7,7,0
92064,Alliaria petiolata,b,hc,h,3.6,15.1,935,3,5,6,7,8,0
9208283,Allium ampeloprasum,p,Gb,h,5.5,15.5,1068,3,8,4,6,5,0
92067,Allium carinatum,p,Gb,h,3.5,14.9,920,"3, 17",8,4,7,2,0
9209184,Allium cepa,p,Gb,h,3.9,15.8,823,4,7,4,7,8,0
92068,Allium oleraceum,p,Gb,h,3.4,15.4,827,7,7,5,7,4,0
92069,Allium paradoxum,p,Gb,h,3.2,15.1,810,"1, 3",6,5,5,7,1
92070,Allium roseum,p,Gb,h,4.9,16.1,878,"3, 16",7,4,6,5,0
92072,Allium schoenoprasum,p,Gb,h,4.0,14.9,1052,16,8,6,5,1,0
92071,Allium scorodoprasum,p,Gb,h,3.0,14.5,1000,"1, 3, 6",6,6,7,7,0
92073,Allium sphaerocephalon,p,Gb,h,5.6,16.8,850,"16, 17",9,3,8,2,0
92074,Allium triquetrum,p,Gb,h,4.9,15.7,956,3,6,4,6,5,0
92075,Allium ursinum,p,Gb,h,3.5,14.8,1065,1,4,6,7,7,0
92076,Allium vineale,p,Gb,h,4.0,15.6,884,"3, 6, 7",7,5,8,6,0
92077,Alnus glutinosa,p,Ph,w,3.5,14.5,1100,"1, 14",5,8,6,6,0
92078,Alnus incana,p,Ph,w,3.4,15.0,984,"1, 3",6,7,6,4,0
92079,Alopecurus aequalis,a,Th,h,3.5,16.0,717,13,8,9,4,7,0
92080,Alopecurus borealis,p,hc,h,-0.6,11.0,1514,11,8,9,5,3,0
92081,Alopecurus bulbosus,p,hc,h,4.6,16.4,826,6,8,7,7,5,3
92082,Alopecurus geniculatus,p,hc,h,3.5,14.5,1087,6,8,7,6,6,1
92084,Alopecurus myosuroides,a,Th,h,3.7,15.9,765,4,6,5,7,6,0
92085,Alopecurus pratensis,p,hc,h,3.5,14.7,1032,6,7,5,6,7,0
92086,Althaea hirsuta,a,Th,h,4.1,16.1,804,"1, 7",9,4,8,3,0
92087,Althaea officinalis,p,hc,h,4.4,16.4,774,"13, 21",7,7,8,4,2
92090,Amaranthus albus,a,Th,h,4.0,16.1,743,17,8,5,8,7,0
92092,Amaranthus retroflexus,a,Th,h,4.0,16.0,787,"3, 4, 17",7,4,7,7,0
92097,Ammophila arenaria,p,hc,h,4.4,14.4,1083,19,9,4,6,3,3
9202616,Amsinckia micrantha,a,Th,h,3.4,15.4,701,4,9,3,3,3,0
92098,Anacamptis pyramidalis,p,Gn,h,4.1,15.5,861,7,8,4,8,3,0
92099,Anagallis arvensis,a,Th,h,4.0,15.2,962,4,7,4,6,5,0
920456,Anagallis minima,a,Th,h,4.2,14.8,1155,3,8,7,5,3,0
920100,Anagallis tenella,p,hc,h,4.0,14.6,1139,11,8,8,5,3,0
920101,Anaphalis margaritacea,p,hc,h,3.6,14.8,1167,"1, 3",8,5,6,3,0
9201218,Anchusa arvensis,a,Th,h,3.7,15.0,874,4,7,4,6,5,0
920103,Andromeda polifolia,p,Ch,w,3.3,14.4,1159,12,9,9,1,1,0
920105,Anemone nemorosa,p,Gn,h,3.3,14.5,1113,"1, 16",5,6,5,4,0
920109,Angelica sylvestris,p,hc,h,3.5,14.4,1109,"11, 16",7,8,6,5,0
920110,Anisantha diandra,a,Th,h,3.9,16.0,728,"3, 4, 19",7,4,5,4,0
920112,Anisantha rigida,a,Th,h,4.1,16.1,709,"3, 4, 19",8,4,8,7,0
920113,Anisantha sterilis,a,Th,h,3.8,15.3,893,"3, 4, 17",7,5,8,7,0
910115,Anogramma leptophylla,a,Th,h,6.2,16.7,832,3,7,2,8,1,0
920116,Antennaria dioica,p,Ch,h,2.9,13.3,1379,"7, 10",8,5,4,2,0
920117,Anthemis arvensis,a,Th,h,3.7,15.6,797,"3, 4",7,4,7,6,0
920118,Anthemis cotula,a,Th,h,3.8,15.7,809,4,7,5,6,6,0
920122,Anthoxanthum aristatum,a,Th,h,3.9,16.0,775,"4, 17",7,4,4,5,0
920121,Anthoxanthum odoratum,p,hc,h,3.5,14.4,1106,6,7,6,4,3,0
920123,Anthriscus caucalis,a,Th,h,3.9,15.7,747,"3, 4, 8",7,5,6,5,0
920125,Anthriscus sylvestris,p,hc,h,3.6,14.6,1039,3,6,5,7,7,0
920126,Anthyllis vulneraria,p,hc,h,3.7,14.6,1030,7,8,4,7,2,0
920127,Antirrhinum majus,p,Ch,h,3.9,15.7,837,"3, 17",8,3,7,5,0
920129,Apera interrupta,a,Th,h,3.4,15.9,671,"3, 4, 16",9,5,8,6,3
920130,Apera spica-venti,a,Th,h,3.7,16.0,726,"3, 4",7,4,5,5,0
920132,Aphanes arvensis,a,Th,h,3.7,15.0,956,"4, 16",8,4,6,4,0
920131,Aphanes arvensis agg.,a,Th,h,3.6,14.7,1038,"4, 8, 16",7,4,6,4,0
920133,Aphanes australis,a,Th,h,3.5,14.6,1070,"8, 16",7,4,5,4,0
920134,Apium graveolens,b,hc,h,4.3,15.8,849,13,8,8,7,7,2
920135,Apium inundatum,p,Hy,h,3.8,14.8,1023,"11, 13",7,10,6,4,0
920137,Apium nodiflorum,p,Hy,h,4.0,15.2,961,14,7,10,7,7,0
