BRC,species,,ms,flag
9202039,Taxus baccata,,am,a
9204446,Quercus seedling/sp,,em,
920841,Fraxinus excelsior (c),,am,
9204526,Cotoneaster sp.,,am,
920557,Corylus avellana,,em,
9204442,Larix sp.,,em,
9202119,Ulmus glabra,,am,
9201967,Sorbus lancastriensis,,am,
9201960,Sorbus aucuparia,,am,
920569,Crataegus monogyna,,u,
9204445,Betula seedling/sp,,em,
9201230,Malus sylvestris,,am,
92077,Alnus glutinosa,,d,
200001670,Ulex sp.,,am,
9204558,Salix seedling/sp,,u,
9201788,Salix caprea,,em,
9201023,Ilex aquifolium,,u,
9205178,Pseudotsuga spp.,,em,
9205,Acer pseudoplatanus,,am,
920810,Fagus sylvatica,,em,
9201611,Prunus avium,,am,
9201614,Prunus domestica,,am,
9201470,Picea abies,,em,
9204407,Nothofagus nervosa,,em,
9204546,Pinus sp./seedling,,em,
9201616,Prunus padus,,am,
9201815,Sambucus nigra,,u,a
9205194,Rhododendron spp.,,er,
920432,Castanea sativa,,em,
9201484,Pinus sylvestris,,em,
9202063,Tilia cordata,,em,
9201482,Pinus nigra,,em,
920239,Betula pendula,,em,
920240,Betula pubescens,,em,
9201555,Populus tremula,,d,
9201617,Prunus spinosa,,am,
920568,Crataegus laevigata x monogyna (C. x macrocarpa),,u,
9203,Acer campestre,,am,
9201635,Quercus cerris,,em,
200001651,Populus sp.,,d,
9201789,Salix cinerea,,d,
920428,Carpinus betulus,,em,
9201615,Prunus laurocerasus,,u,a
9201687,Rhododendron ponticum,,er,
9205313,Ulex sp./seedling,,am,
9201637,Quercus ilex,,em,
9204552,Prunus sp.,,am,
9201705,Rosa seedling/sp,,am,
9204314,Ulmus sp.,,am,
920548,Cornus sanguinea,,am,
9202185,Viburnum opulus,,am,
9202184,Viburnum lantana,,am,
920762,Euonymus europaeus,,am,
9204658,Abies sp.,,em,
9202022,Symphoricarpos albus,,am,
9201958,Sorbus aria,,am,
9202401,Picea sitchensis,,em,
9202398,Chamaecyparis lawsoniana,,am,
9202122,Ulmus procera,,am,
920570,Crataegus laevigata,,u,
9201144,Ligustrum vulgare,,am,
920839,Frangula alnus,,am,
9201675,Rhamnus cathartica,,am,a
9204561,Sorbus sp.,,am,
9201188,Lonicera periclymenum,,am,
9201802,Salix repens agg.,,d,
9201551,Populus canescens,,d,
9202065,Tilia x vulgaris,,em,
9202241,Aesculus hippocastanum,,am,
9205289,Tilia sp.,,em,
9201697,Ribes uva-crispa,,am,
9202404,Tsuga heterophylla,,em,
9205155,Picea sp,,em,
9204,Acer platanoides,,am,
9201640,Quercus robur,,em,
200001691,Azalea spp.,,er,
9201613,Prunus cerasus,,am,
9201708,Rosa canina agg.,,am,
9202112,Ulex europaeus,,am,
9201977,Sorbus torminalis,,am,
9202115,Ulmus minor (c),,am,
920528,Clematis vitalba,,am,
9201707,Rosa arvensis,,am,
9201230.1,Malus domestica,,am,
9204313,Populus nigra,,d,
920277,Buddleja davidii,,am,
9201698,Robinia pseudoacacia,,am,a
9202403,Thuja plicata,,am,a
9201822,Cytisus scoparius,,am,
9201080,Juniperus communis,,am,
9204550,Populus deltoides,,d,
200001596,Ribes sp.,,am,
9201805,Salix viminalis,,d,
9201816,Sambucus racemosa,,u,a
9201787,Salix aurita,,em,
9201793,Salix fragilis,,em,
9201049,Juglans regia,,am,a
9201794,Salix herbacea,,d,
9205288,Thuja spp.,,am,
9201549,Populus alba,,d,
200001601,Acer sp.,,am,
9201091,Laburnum anagyroides,,u,
9202029,Syringa vulgaris,,am,
200001656,Pyrus sp.,,am,
