"","coefs","index","count","overall","flag"
"Pteridium aquilinum",-0.10677088560005,1,853,-91.075565416843,2
"Mercurialis perennis",-0.148022058462851,2,605,-89.5533453700248,2
"Luzula sylvatica",-0.264122913673041,3,232,-61.2765159721455,2
"Deschampsia cespitosa",-0.604428485936565,4,56,-33.8479952124476,2
"Molinia caerulea",-0.470796460176982,5,67,-31.5433628318578,2
"Agrostis stolonifera",-1.99999999999999,6,12,-23.9999999999999,2
"Holcus mollis",-0.136849070183179,7,150,-20.5273605274768,2
"Dryopteris filix-mas",-0.67105263157895,8,26,-17.4473684210527,2
"Hyacinthoides non-scripta",-0.0742650069609363,9,203,-15.0757964130701,2
"Agrostis capillaris",-0.176861808044604,10,83,-14.6795300677021,2
"Poa nemoralis/trivialis",-0.403274534645744,11,35,-14.114608712601,2
"Agrostis canina sens.lat.",-0.37039055404178,12,35,-12.9636693914623,2
"Allium ursinum",-0.448672566371683,13,23,-10.3194690265487,2
"Holcus lanatus",-0.453359683794468,14,21,-9.52055335968382,2
"Deschampsia flexuosa",-0.0556527034668758,15,144,-8.01398929923012,2
"Milium effusum",-0.333333333333334,16,12,-4.00000000000001,2
"Anthriscus sylvestris",-0.157557095201437,17,15,-2.36335642802155,2
"Geranium robertianum",-0.107438016528926,18,15,-1.61157024793388,2
"Chrysosplenium oppositifolium",-0.0345668629100082,19,33,-1.14070647603027,2
"Glechoma hederacea",-0.060227272727273,20,12,-0.722727272727276,2
"Filipendula ulmaria",0.0058011049723757,21,15,0.0870165745856355,2
"Carex remota",0.14,22,7,0.979999999999999,2
"Lamiastrum galeobdolon",0.144827586206897,23,9,1.30344827586207,2
"Chamerion angustifolium",0.276190476190476,24,10,2.76190476190476,2
"Urtica dioica",0.0541081659636092,25,78,4.22043694516152,2
"Arrhenatherum elatius",0.938235294117648,26,5,4.69117647058824,2
"Carex pendula",0.5,27,12,6,2
"Dryopteris dilatata/carthusiana",0.0953890489913543,28,65,6.20028818443803,2
"Athyrium filix-femina",0.811009174311926,29,10,8.11009174311926,2
"Juncus effusus",0.666666666666667,30,19,12.6666666666667,2
"Luzula campestris/multiflora",1.13333333333333,31,14,15.8666666666667,2
