year,Plot,Nest,Site,Cove,BRC,BRC names,Woody
1,1,1,1,15.0,920816.0,Festuca gigantea,
1,1,1,1,90.0,9101619.0,Pteridium aquilinum,
1,1,1,1,5.0,9201188.0,Lonicera periclymenum,w
1,1,1,1,50.0,9201728.0,Rubus fruticosus agg.,
1,1,2,1,1.0,9205.0,Acer pseudoplatanus,w
1,1,2,1,0.5,920878.0,Galium saxatile,
1,1,2,1,5.0,9202010.0,Stellaria holostea,
1,1,2,1,0.5,9204445.0,Betula seedling/sp,w
1,1,3,1,0.5,920607.0,Dactylis glomerata,
1,1,3,1,0.5,200001595.0,Viola riviniana/reichenbiana,
1,1,4,1,0.5,920432.0,Castanea sativa,w
1,1,4,1,0.5,920984.0,Holcus mollis,
1,1,5,1,0.5,920862.0,Lamiastrum galeobdolon,
1,2,1,1,60.0,920984.0,Holcus mollis,
1,2,1,1,65.0,9101619.0,Pteridium aquilinum,
1,2,1,1,5.0,9201188.0,Lonicera periclymenum,w
1,2,1,1,30.0,9201728.0,Rubus fruticosus agg.,
1,2,2,1,1.0,92046.0,Ajuga reptans,
1,2,2,1,0.5,9201207.0,Luzula pilosa,
1,2,2,1,0.5,9201705.0,Rosa seedling/sp,w
1,2,2,1,5.0,9202010.0,Stellaria holostea,
1,2,3,1,5.0,920816.0,Festuca gigantea,
1,2,3,1,0.5,9204445.0,Betula seedling/sp,w
1,2,4,1,0.5,92035.0,Agrostis canina sens.lat.,
1,2,4,1,0.5,920607.0,Dactylis glomerata,
1,2,4,1,0.5,920873.0,Galium aparine,
1,2,4,1,0.5,200001595.0,Viola riviniana/reichenbiana,
1,2,5,1,0.5,920628.0,Deschampsia flexuosa,
1,2,5,1,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,3,1,1,80.0,920984.0,Holcus mollis,
1,3,1,1,95.0,9101619.0,Pteridium aquilinum,
1,3,1,1,5.0,9201188.0,Lonicera periclymenum,w
1,3,2,1,5.0,9201728.0,Rubus fruticosus agg.,
1,3,2,1,5.0,9202010.0,Stellaria holostea,
1,3,3,1,0.5,920816.0,Festuca gigantea,
1,4,1,1,45.0,92040.0,Agrostis capillaris,
1,4,1,1,0.5,920250.0,Brachypodium sylvaticum,
1,4,1,1,0.5,920878.0,Galium saxatile,
1,4,1,1,45.0,920984.0,Holcus mollis,
1,4,1,1,5.0,9101619.0,Pteridium aquilinum,
1,4,1,1,15.0,9202010.0,Stellaria holostea,
1,4,2,1,0.5,920925.0,Geum urbanum,
1,4,2,1,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,4,3,1,1.0,92046.0,Ajuga reptans,
1,4,3,1,1.0,920816.0,Festuca gigantea,
1,4,3,1,5.0,9201188.0,Lonicera periclymenum,w
1,4,3,1,5.0,9201728.0,Rubus fruticosus agg.,
1,4,3,1,0.5,9202185.0,Viburnum opulus,w
1,4,3,1,0.5,9204446.0,Quercus seedling/sp,w
1,4,4,1,1.0,920627.0,Deschampsia cespitosa,
1,4,4,1,0.5,200001595.0,Viola riviniana/reichenbiana,
1,4,5,1,0.5,9201207.0,Luzula pilosa,
1,5,1,1,40.0,920984.0,Holcus mollis,
1,5,1,1,25.0,9101619.0,Pteridium aquilinum,
1,5,1,1,5.0,9201188.0,Lonicera periclymenum,w
1,5,1,1,10.0,9201728.0,Rubus fruticosus agg.,
1,5,1,1,10.0,9202010.0,Stellaria holostea,
1,5,2,1,1.0,910665.0,Dryopteris filix-mas,
1,5,2,1,1.0,200001595.0,Viola riviniana/reichenbiana,
1,5,3,1,0.5,920607.0,Dactylis glomerata,
1,5,3,1,1.0,920627.0,Deschampsia cespitosa,
1,5,3,1,1.0,920816.0,Festuca gigantea,
1,5,3,1,0.5,9201207.0,Luzula pilosa,
1,5,4,1,0.5,92035.0,Agrostis canina sens.lat.,
1,5,4,1,0.5,920569.0,Crataegus monogyna,w
1,5,5,1,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,6,1,1,1.0,920627.0,Deschampsia cespitosa,
1,6,1,1,35.0,920862.0,Lamiastrum galeobdolon,
1,6,1,1,10.0,9201188.0,Lonicera periclymenum,w
1,6,1,1,10.0,9201259.0,Silene dioica,
1,6,1,1,5.0,9201728.0,Rubus fruticosus agg.,
1,6,1,1,5.0,200001583.0,Dryopteris dilatata/carthusiana,
1,6,2,1,1.0,92035.0,Agrostis canina sens.lat.,
1,6,2,1,0.5,9202126.0,Urtica dioica,
1,6,2,1,1.0,200001595.0,Viola riviniana/reichenbiana,
1,6,3,1,1.0,92046.0,Ajuga reptans,
1,6,4,1,1.0,920513.0,Circaea lutetiana,
1,6,4,1,1.0,9201607.0,Primula vulgaris,
1,6,4,1,0.5,9202172.0,Veronica montana,
1,6,4,1,0.5,9204446.0,Quercus seedling/sp,w
1,6,5,1,1.0,92039.0,Agrostis stolonifera,
1,6,5,1,0.5,920467.0,Cerastium fontanum,
1,6,5,1,0.5,920569.0,Crataegus monogyna,w
1,6,5,1,0.5,920816.0,Festuca gigantea,
1,6,5,1,0.5,920841.0,Fraxinus excelsior (c),w
1,6,5,1,1.0,9201207.0,Luzula pilosa,
1,7,1,1,10.0,92035.0,Agrostis canina sens.lat.,
1,7,1,1,5.0,92039.0,Agrostis stolonifera,
1,7,1,1,75.0,920984.0,Holcus mollis,
1,7,1,1,10.0,9201188.0,Lonicera periclymenum,w
1,7,1,1,1.0,9201207.0,Luzula pilosa,
1,7,1,1,10.0,9201728.0,Rubus fruticosus agg.,
1,7,2,1,1.0,920627.0,Deschampsia cespitosa,
1,7,2,1,10.0,9101619.0,Pteridium aquilinum,
1,7,2,1,5.0,200001583.0,Dryopteris dilatata/carthusiana,
1,7,3,1,1.0,910665.0,Dryopteris filix-mas,
1,7,3,1,0.5,9201011.0,Hypericum humifusum,
1,7,4,1,1.0,9202010.0,Stellaria holostea,
1,7,5,1,0.5,920569.0,Crataegus monogyna,w
1,7,5,1,0.5,9201023.0,Ilex aquifolium,w
1,8,1,1,50.0,920984.0,Holcus mollis,
1,8,1,1,75.0,9101619.0,Pteridium aquilinum,
1,8,1,1,5.0,9201728.0,Rubus fruticosus agg.,
1,8,1,1,5.0,9202010.0,Stellaria holostea,
1,8,2,1,5.0,9201188.0,Lonicera periclymenum,w
1,8,3,1,1.0,92035.0,Agrostis canina sens.lat.,
1,8,4,1,1.0,920183.0,Galium odoratum,
1,8,5,1,0.5,920816.0,Festuca gigantea,
1,9,1,1,0.5,920183.0,Galium odoratum,
1,9,1,1,1.0,920816.0,Festuca gigantea,
1,9,1,1,15.0,920862.0,Lamiastrum galeobdolon,
1,9,1,1,80.0,920984.0,Holcus mollis,
