Site,Plot,Nest,cover,Amalgams,Yr
1,1,2,100.0,9205.0,1
1,1,4,50.0,920432.0,1
1,1,3,50.0,920607.0,1
1,1,1,15.0,920816.0,1
1,1,5,50.0,920862.0,1
1,1,2,50.0,920878.0,1
1,1,4,50.0,920984.0,1
1,1,1,90.0,9101619.0,1
1,1,1,5.0,9201188.0,1
1,1,1,50.0,9201728.0,1
1,1,2,5.0,9202010.0,1
1,1,2,50.0,9204445.0,1
1,1,3,50.0,200001595.0,1
1,2,4,50.0,92035.0,1
1,2,2,100.0,92046.0,1
1,2,4,50.0,920607.0,1
1,2,5,50.0,920628.0,1
1,2,3,5.0,920816.0,1
1,2,4,50.0,920873.0,1
1,2,1,60.0,920984.0,1
1,2,1,65.0,9101619.0,1
1,2,1,5.0,9201188.0,1
1,2,2,50.0,9201207.0,1
1,2,2,50.0,9201705.0,1
1,2,1,30.0,9201728.0,1
1,2,2,5.0,9202010.0,1
1,2,3,50.0,9204445.0,1
1,2,5,50.0,200001583.0,1
1,2,4,50.0,200001595.0,1
1,3,3,50.0,920816.0,1
1,3,1,80.0,920984.0,1
1,3,1,95.0,9101619.0,1
1,3,1,5.0,9201188.0,1
1,3,2,5.0,9201728.0,1
1,3,2,5.0,9202010.0,1
1,4,1,45.0,92040.0,1
1,4,3,100.0,92046.0,1
1,4,1,50.0,920250.0,1
1,4,4,100.0,920627.0,1
1,4,3,100.0,920816.0,1
1,4,1,50.0,920878.0,1
1,4,2,50.0,920925.0,1
1,4,1,45.0,920984.0,1
1,4,1,5.0,9101619.0,1
1,4,3,5.0,9201188.0,1
1,4,5,50.0,9201207.0,1
1,4,3,5.0,9201728.0,1
1,4,1,15.0,9202010.0,1
1,4,3,50.0,9202185.0,1
1,4,3,50.0,9204446.0,1
1,4,2,50.0,200001583.0,1
1,4,4,50.0,200001595.0,1
1,5,4,50.0,92035.0,1
1,5,2,100.0,910665.0,1
1,5,4,50.0,920569.0,1
1,5,3,50.0,920607.0,1
1,5,3,100.0,920627.0,1
1,5,3,100.0,920816.0,1
1,5,1,40.0,920984.0,1
1,5,1,25.0,9101619.0,1
1,5,1,5.0,9201188.0,1
1,5,3,50.0,9201207.0,1
1,5,1,10.0,9201728.0,1
1,5,1,10.0,9202010.0,1
1,5,5,50.0,200001583.0,1
1,5,2,100.0,200001595.0,1
1,6,2,100.0,92035.0,1
1,6,5,100.0,92039.0,1
1,6,3,100.0,92046.0,1
1,6,5,50.0,920467.0,1
1,6,4,100.0,920513.0,1
1,6,5,50.0,920569.0,1
1,6,1,100.0,920627.0,1
1,6,5,50.0,920816.0,1
1,6,5,50.0,920841.0,1
1,6,1,35.0,920862.0,1
1,6,1,10.0,9201188.0,1
1,6,5,100.0,9201207.0,1
1,6,1,10.0,9201259.0,1
1,6,4,100.0,9201607.0,1
1,6,1,5.0,9201728.0,1
1,6,2,50.0,9202126.0,1
1,6,4,50.0,9202172.0,1
1,6,4,50.0,9204446.0,1
1,6,1,5.0,200001583.0,1
1,6,2,100.0,200001595.0,1
1,7,1,10.0,92035.0,1
1,7,1,5.0,92039.0,1
1,7,3,100.0,910665.0,1
1,7,5,50.0,920569.0,1
1,7,2,100.0,920627.0,1
1,7,1,75.0,920984.0,1
1,7,2,10.0,9101619.0,1
1,7,3,50.0,9201011.0,1
1,7,5,50.0,9201023.0,1
1,7,1,10.0,9201188.0,1
1,7,1,100.0,9201207.0,1
1,7,1,10.0,9201728.0,1
1,7,4,100.0,9202010.0,1
1,7,2,5.0,200001583.0,1
1,8,3,100.0,92035.0,1
1,8,4,100.0,920183.0,1
1,8,5,50.0,920816.0,1
1,8,1,50.0,920984.0,1
1,8,1,75.0,9101619.0,1
1,8,2,5.0,9201188.0,1
1,8,1,5.0,9201728.0,1
1,8,1,5.0,9202010.0,1
1,9,2,100.0,92040.0,1
1,9,3,100.0,910665.0,1
1,9,1,50.0,920183.0,1
1,9,3,50.0,920607.0,1
1,9,1,100.0,920816.0,1
1,9,4,50.0,920841.0,1
1,9,1,15.0,920862.0,1
1,9,1,80.0,920984.0,1
1,9,2,5.0,9101619.0,1
1,9,1,100.0,9201188.0,1
1,9,4,50.0,9201207.0,1
1,9,2,5.0,9201263.0,1
1,9,1,10.0,9201413.0,1
1,9,1,5.0,9201728.0,1
1,9,2,5.0,9202010.0,1
1,9,1,50.0,9202172.0,1
1,9,2,100.0,200001583.0,1
1,9,4,50.0,200001595.0,1
1,10,1,100.0,92035.0,1
1,10,2,5.0,910665.0,1
1,10,2,50.0,920569.0,1
1,10,1,100.0,920607.0,1
1,10,4,100.0,920627.0,1
1,10,1,5.0,920816.0,1
1,10,1,10.0,920862.0,1
1,10,4,50.0,920868.0,1
1,10,3,45.0,920984.0,1
1,10,5,15.0,9101619.0,1
1,10,1,5.0,9201188.0,1
1,10,5,50.0,9201207.0,1
1,10,1,5.0,9201413.0,1
1,10,1,15.0,9201728.0,1
1,10,2,5.0,9202010.0,1
1,10,4,50.0,9202126.0,1
1,10,3,50.0,9202172.0,1
1,10,5,100.0,200001583.0,1
1,10,2,100.0,200001595.0,1
1,11,1,100.0,92040.0,1
1,11,5,50.0,920627.0,1
1,11,2,100.0,920816.0,1
1,11,1,90.0,920984.0,1
1,11,1,5.0,9101619.0,1
1,11,3,100.0,9201188.0,1
1,11,3,100.0,9201207.0,1
1,11,4,50.0,9201607.0,1
1,11,1,10.0,9201728.0,1
1,11,1,5.0,9202010.0,1
1,11,4,50.0,200001595.0,1
1,12,5,50.0,92046.0,1
1,12,4,50.0,920607.0,1
1,12,5,50.0,920627.0,1
1,12,5,50.0,920816.0,1
1,12,1,95.0,920984.0,1
1,12,1,25.0,9101619.0,1
1,12,4,50.0,9201067.0,1
1,12,3,100.0,9201188.0,1
1,12,1,100.0,9201207.0,1
1,12,2,50.0,9201617.0,1
1,12,3,50.0,9201660.0,1
1,12,2,5.0,9201728.0,1
1,12,1,5.0,9202010.0,1
1,12,4,50.0,9204446.0,1
1,12,3,50.0,200001583.0,1
1,12,5,50.0,200001595.0,1
1,13,1,100.0,92046.0,1
1,13,2,50.0,920607.0,1
1,13,4,50.0,920627.0,1
1,13,3,100.0,920816.0,1
1,13,3,100.0,920878.0,1
1,13,1,80.0,920984.0,1
1,13,3,5.0,9101619.0,1
1,13,2,100.0,9201188.0,1
1,13,2,100.0,9201207.0,1
1,13,1,10.0,9201728.0,1
1,13,1,10.0,9202010.0,1
1,13,2,100.0,200001595.0,1
1,14,1,5.0,92039.0,1
1,14,1,10.0,92046.0,1
1,14,3,50.0,910665.0,1
1,14,1,100.0,920109.0,1
1,14,5,100.0,920250.0,1
1,14,1,60.0,920412.0,1
1,14,3,100.0,920421.0,1
1,14,1,100.0,920513.0,1
1,14,5,50.0,920569.0,1
1,14,1,5.0,920607.0,1
1,14,3,100.0,920816.0,1
1,14,2,50.0,920873.0,1
1,14,1,100.0,920882.0,1
1,14,4,50.0,920925.0,1
1,14,3,100.0,920931.0,1
1,14,3,100.0,9201188.0,1
1,14,4,5.0,9201259.0,1
1,14,3,5.0,9201607.0,1
1,14,4,100.0,9201728.0,1
1,14,2,100.0,9202010.0,1
1,14,1,15.0,9202126.0,1
1,15,1,5.0,92046.0,1
1,15,1,10.0,910665.0,1
1,15,3,50.0,920109.0,1
1,15,2,50.0,920513.0,1
1,15,1,5.0,920687.0,1
1,15,1,5.0,920816.0,1
1,15,3,5.0,920862.0,1
1,15,1,50.0,920878.0,1
1,15,2,50.0,920931.0,1
1,15,1,20.0,920984.0,1
1,15,3,100.0,9201188.0,1
1,15,2,50.0,9201607.0,1
1,15,1,40.0,9201728.0,1
1,15,1,5.0,9202010.0,1
1,15,5,50.0,9202126.0,1
1,15,2,50.0,200001583.0,1
1,15,1,100.0,200001595.0,1
1,16,1,5.0,92035.0,1
1,16,2,100.0,920183.0,1
1,16,5,100.0,920687.0,1
1,16,1,10.0,920816.0,1
1,16,1,10.0,920862.0,1
1,16,3,50.0,920878.0,1
1,16,1,60.0,920984.0,1
1,16,1,30.0,9101619.0,1
1,16,3,50.0,9201188.0,1
1,16,3,50.0,9201259.0,1
1,16,1,15.0,9201728.0,1
1,16,1,5.0,9202010.0,1
1,16,2,50.0,200001583.0,1
1,16,3,50.0,200001595.0,1
2,1,4,50.0,92040.0,1
2,1,1,50.0,92046.0,1
2,1,1,10.0,920183.0,1
2,1,3,50.0,920421.0,1
2,1,1,5.0,920513.0,1
2,1,2,50.0,920627.0,1
2,1,1,50.0,920838.0,1
2,1,1,50.0,920841.0,1
2,1,5,50.0,920931.0,1
2,1,1,100.0,920952.0,1
2,1,5,50.0,9201023.0,1
2,1,2,100.0,9201188.0,1
2,1,1,100.0,9201596.0,1
2,1,4,100.0,9201705.0,1
2,1,1,5.0,9201728.0,1
2,1,3,50.0,9201748.0,1
2,1,1,50.0,9201819.0,1
2,1,1,50.0,9202168.0,1
2,1,5,50.0,200001583.0,1
2,1,1,5.0,200001595.0,1
2,2,3,50.0,92046.0,1
2,2,1,5.0,920183.0,1
2,2,3,50.0,920421.0,1
2,2,5,50.0,920513.0,1
2,2,4,50.0,920544.0,1
2,2,1,100.0,920627.0,1
2,2,2,50.0,920687.0,1
2,2,5,50.0,920810.0,1
2,2,1,100.0,920841.0,1
2,2,1,100.0,920952.0,1
2,2,3,50.0,9201023.0,1
2,2,2,100.0,9201188.0,1
2,2,3,50.0,9201413.0,1
2,2,4,50.0,9201694.0,1
2,2,4,50.0,9201696.0,1
2,2,1,15.0,9201728.0,1
2,2,2,50.0,9201951.0,1
2,2,2,50.0,200001595.0,1
2,3,3,50.0,92040.0,1
2,3,2,50.0,92046.0,1
2,3,3,100.0,920183.0,1
2,3,2,100.0,920513.0,1
2,3,2,50.0,920810.0,1
2,3,1,50.0,920841.0,1
2,3,1,5.0,920952.0,1
2,3,2,50.0,9201023.0,1
2,3,1,50.0,9201188.0,1
2,3,3,100.0,9201413.0,1
2,3,2,50.0,9201596.0,1
2,3,1,15.0,9201728.0,1
2,3,5,100.0,9201951.0,1
2,3,4,50.0,9204445.0,1
2,3,1,100.0,200001595.0,1
2,4,3,50.0,92039.0,1
2,4,5,100.0,92040.0,1
2,4,2,100.0,92046.0,1
2,4,2,50.0,910665.0,1
2,4,2,100.0,920183.0,1
2,4,3,50.0,920421.0,1
2,4,2,100.0,920477.0,1
2,4,1,50.0,920513.0,1
2,4,5,50.0,920515.0,1
2,4,5,50.0,920569.0,1
2,4,5,100.0,920627.0,1
