BRC,BRC names
9202230,Wahlenbergia hederacea
9202226,Vulpia bromoides
9202220,Viola tricolor
200001595,Viola riviniana/reichenbiana
9202215,Viola palustris
9202214,Viola odorata
9202210,Viola hirta
9202206,Viola arvensis
9202202,Vicia tetrasperma
9202199,Vicia sylvatica
9202198,Vicia sepium
9204564,Vicia seedling/sp
9202516,Vicia sativa
9202196,Vicia orobus
9202191,Vicia hirsuta
9202189,Vicia cracca
9202185,Viburnum opulus
9202184,Viburnum lantana
9202180,Veronica serpyllifolia
9204563,Veronica seedling/sp
9202179,Veronica scutellata
9202175,Veronica persica
9202173,Veronica officinalis
9202172,Veronica montana
9202171,Veronica hederifolia
9202168,Veronica chamaedrys
9202166,Veronica beccabunga
9202165,Veronica arvensis
9202163,Veronica anagallis-aquatica
9202162,Veronica alpina
9202161,Veronica agrestis
9202157,Verbascum thapsus
200001671,Valeriana sp.
9202140,Valeriana officinalis
9202138,Vaccinium vitis-idaea
9202137,Vaccinium uliginosum
9201419,Vaccinium oxycoccos
9202136,Vaccinium myrtillus
9202126,Urtica dioica
9202125,Umbilicus rupestris
9204314,Ulmus sp.
9202122,Ulmus procera
9202115,Ulmus minor (c)
9202119,Ulmus glabra
200001670,Ulex sp.
9202109,Tussilago farfara
9202106,Trollius europaeus
9205303,Triticum sp.
9204367,Triticum aestivum
9202105,Trisetum flavescens
9201241,Tripleurospermum maritimum sens.lat.
9202102,Triglochin palustre
9205298,Trifolium seedling/sp
9202092,Trifolium repens
9202091,Trifolium pratense
9202081,Trifolium dubium
9202076,Trientalis europaea
9201858,Trichophorum cespitosum
8201255,Tortula sp.
820607,Tortella tortuosa
9202069,Torilis japonica
9202063,Tilia cordata
9202060,Thymus polytrichus
9202403,Thuja plicata
820599,Thuidium tamariscinum
820593,Thamnobryum angustifolium
820592,Thamnobryum alopecurum
9202049,Thalictrum minus
9202046,Teucrium scorodonia
9202045,Teucrium scordium
9202039,Taxus baccata
9205454,Taraxacum sect. vulgaria
9203908,Taraxacum pseudolacistophyllum (ery)
9202034,Taraxacum agg.
9202033,Tanacetum vulgare
920503,Tanacetum parthenium
9202032,Tamus communis
9205273,Symphytum sp.
9202024,Symphytum officinale
200001587,Symphoricarpus sp.
9202021,Succisa pratensis
9202007,Stellaria uliginosa
9205266,Stellaria seedling/sp
9202015,Stellaria palustris
9202014,Stellaria nemorum
9202012,Stellaria media
9202010,Stellaria holostea
9202009,Stellaria graminea
9202005,Stachys sylvatica
9202003,Stachys palustris
920237,Stachys officinalis
820575,Sphagnum squarrosum
8201243,Sphagnum sp.
820571,Sphagnum recurvum
820567,Sphagnum papillosum
820566,Sphagnum palustre
820559,Sphagnum girgensohnii
820557,Sphagnum fimbriatum
820564,Sphagnum capillifolium
9205262,Spergularia sp.
9201981,Sparganium erectum
9201977,Sorbus torminalis
9201960,Sorbus aucuparia
9201958,Sorbus aria
9204560,Sonchus sp.
9201954,Sonchus oleraceus
9201953,Sonchus asper
9201952,Sonchus arvensis
9201951,Solidago virgaurea
9201947,Solanum dulcamara
9201944,Sium latifolium
20000407,Sinapis arvensis/alba
9201930,Silybum marianum
9201258,Silene latifolia
9201260,Silene dioica x latifolia (S. x hampeana)
9201259,Silene dioica
9201917,Silene acaulis
9201916,Silaum silaus
9201908,Sesleria caerulea
9201906,Serratula tinctoria
920172,Seriphidium maritimum
9201905,Senecio vulgaris
9201899,Senecio jacobaea
9201896,Senecio erucifolius
9201891,Senecio aquaticus
9201885,Sedum telephium
9205234,Sedum sp.
9201877,Sedum anglicum
9201875,Sedum acre
9205232,Scutellaria sp.
9201874,Scutellaria minor
9201872,Scutellaria galericulata
9201870,Scrophularia vernalis
9201867,Scrophularia nodosa
9201865,Scrophularia auriculata
9201861,Scirpus sylvaticus
810927,Scapania gracilis
9201846,Scabiosa columbaria
9201844,Saxifraga umbrosa
9201837,Saxifraga oppositifolia
9201826,Saxifraga aizoides
9201819,Sanicula europaea
9201818,Sanguisorba officinalis
9201816,Sambucus racemosa
9201815,Sambucus nigra
9204558,Salix seedling/sp
9201802,Salix repens agg.
9201789,Salix cinerea
9201788,Salix caprea
9201787,Salix aurita
9205207,Sagina sp.
9201767,Sagina procumbens
9202559,Sagina apetala
9201760,Ruscus aculeatus
9201753,Rumex sanguineus
9201748,Rumex obtusifolius
9201745,Rumex hydrolapathum
9201742,Rumex crispus
9201741,Rumex conglomeratus
9201735,Rumex acetosella
9201734,Rumex acetosa
9205203,Rubus seedling
9201730,Rubus saxatilis
9201729,Rubus idaeus
9201728,Rubus fruticosus agg.
9201726,Rubus caesius
9201725,Rubia peregrina
9201705,Rosa seedling/sp
9201719,Rosa pimpinellifolia
9201708,Rosa canina agg.
9201707,Rosa arvensis
9201348,Rorippa nasturtium-aquaticum agg.
9201698,Robinia pseudoacacia
9201697,Ribes uva-crispa
200001596,Ribes sp.
9201696,Ribes rubrum
9201694,Ribes nigrum
820534,Rhytidiadelphus triquetrus
