Site,Plot,Nest,cover,Amalgams,Yr,species,flag,alpha
1,1,3,50.0,920607.0,1,Dactylis glomerata,0.0,8
1,2,4,50.0,920607.0,1,Dactylis glomerata,0.0,12
1,5,3,50.0,920607.0,1,Dactylis glomerata,0.0,11
1,9,3,50.0,920607.0,1,Dactylis glomerata,0.0,15
1,10,1,100.0,920607.0,1,Dactylis glomerata,0.0,16
1,12,4,50.0,920607.0,1,Dactylis glomerata,0.0,12
1,13,2,50.0,920607.0,1,Dactylis glomerata,0.0,10
1,14,1,5.0,920607.0,1,Dactylis glomerata,0.0,18
3,1,5,50.0,920607.0,1,Dactylis glomerata,0.0,16
3,2,3,50.0,920607.0,1,Dactylis glomerata,0.0,35
3,5,1,50.0,920607.0,1,Dactylis glomerata,0.0,32
3,9,5,50.0,920607.0,1,Dactylis glomerata,0.0,21
3,11,1,50.0,920607.0,1,Dactylis glomerata,0.0,25
4,1,3,100.0,920607.0,1,Dactylis glomerata,0.0,27
4,2,4,100.0,920607.0,1,Dactylis glomerata,0.0,25
4,3,2,100.0,920607.0,1,Dactylis glomerata,0.0,21
4,6,3,100.0,920607.0,1,Dactylis glomerata,0.0,30
4,10,5,50.0,920607.0,1,Dactylis glomerata,0.0,27
4,11,2,5.0,920607.0,1,Dactylis glomerata,0.0,40
5,5,3,50.0,920607.0,1,Dactylis glomerata,0.0,21
7,9,3,5.0,920607.0,1,Dactylis glomerata,0.0,25
7,10,2,100.0,920607.0,1,Dactylis glomerata,0.0,27
7,12,4,5.0,920607.0,1,Dactylis glomerata,0.0,33
7,13,1,20.0,920607.0,1,Dactylis glomerata,0.0,21
7,14,3,10.0,920607.0,1,Dactylis glomerata,0.0,19
9,5,5,50.0,920607.0,1,Dactylis glomerata,0.0,24
9,6,1,10.0,920607.0,1,Dactylis glomerata,0.0,19
9,9,2,50.0,920607.0,1,Dactylis glomerata,0.0,28
10,11,5,50.0,920607.0,1,Dactylis glomerata,0.0,24
10,13,3,100.0,920607.0,1,Dactylis glomerata,0.0,32
11,1,3,100.0,920607.0,1,Dactylis glomerata,0.0,29
11,5,4,50.0,920607.0,1,Dactylis glomerata,0.0,30
11,16,5,50.0,920607.0,1,Dactylis glomerata,0.0,17
12,1,5,100.0,920607.0,1,Dactylis glomerata,0.0,23
13,8,2,50.0,920607.0,1,Dactylis glomerata,0.0,23
13,11,5,50.0,920607.0,1,Dactylis glomerata,0.0,26
15,1,5,50.0,920607.0,1,Dactylis glomerata,0.0,15
15,2,5,50.0,920607.0,1,Dactylis glomerata,0.0,17
15,7,4,50.0,920607.0,1,Dactylis glomerata,0.0,26
15,10,4,50.0,920607.0,1,Dactylis glomerata,0.0,25
17,1,3,100.0,920607.0,1,Dactylis glomerata,0.0,38
