Site,Plot,Yr,alpha
1,1,1,8
1,1,2,12
1,2,1,12
1,2,2,12
1,3,1,4
1,3,2,13
1,4,1,13
1,4,2,8
1,5,1,11
1,5,2,16
1,6,1,15
1,6,2,19
1,7,1,10
1,7,2,25
1,8,1,6
1,8,2,16
1,9,1,15
1,9,2,29
1,10,1,16
1,10,2,17
1,11,1,9
1,11,2,18
1,12,1,12
1,12,2,21
1,13,1,10
1,13,2,15
1,14,1,18
1,14,2,14
1,15,1,15
1,15,2,13
1,16,1,12
1,16,2,9
2,1,1,14
2,1,2,20
2,2,1,10
2,2,2,8
2,3,1,8
2,3,2,13
2,4,1,34
2,4,2,12
2,5,1,3
2,5,2,2
2,6,1,11
2,6,2,27
2,7,1,32
2,7,2,13
2,8,1,11
2,9,1,3
2,9,2,1
2,10,1,2
2,10,2,3
2,11,1,4
2,11,2,16
2,12,1,9
2,12,2,24
2,13,1,6
2,13,2,26
2,14,1,1
2,14,2,20
2,15,1,12
2,15,2,2
2,16,1,1
2,16,2,3
3,1,1,16
3,1,2,4
3,2,1,35
3,2,2,22
3,3,1,8
3,3,2,11
3,4,1,11
3,4,2,12
3,5,1,32
3,5,2,19
3,6,1,6
3,6,2,16
3,7,1,9
3,7,2,15
3,8,1,14
3,8,2,8
3,9,1,21
3,9,2,7
3,10,1,10
3,10,2,3
3,11,1,25
3,11,2,8
3,12,1,8
3,12,2,12
3,13,1,5
3,13,2,4
3,14,1,6
3,14,2,1
3,15,1,5
3,15,2,9
3,16,1,9
3,16,2,5
4,1,1,27
4,1,2,15
4,2,1,25
4,2,2,15
4,3,1,21
4,3,2,14
4,4,1,10
4,4,2,6
4,5,1,29
4,5,2,12
4,6,1,30
4,6,2,10
4,7,1,24
4,7,2,6
4,8,1,24
4,8,2,13
4,9,1,23
4,9,2,9
4,10,1,27
4,10,2,13
4,11,1,40
4,11,2,14
4,12,1,24
4,12,2,13
4,13,1,18
4,13,2,9
4,14,1,28
4,14,2,8
4,15,1,22
4,15,2,10
4,16,1,17
4,16,2,7
5,1,1,22
5,1,2,6
5,2,1,26
5,2,2,51
5,3,1,15
5,3,2,10
5,4,1,7
5,4,2,3
5,5,1,21
5,5,2,13
5,6,1,22
5,6,2,47
5,7,1,16
5,7,2,34
5,8,1,12
5,8,2,11
5,9,1,16
5,9,2,13
5,10,1,13
5,10,2,12
5,11,1,19
5,11,2,3
5,12,1,29
5,12,2,16
5,13,1,33
5,13,2,29
5,14,1,17
5,14,2,4
5,15,1,17
5,15,2,25
5,16,1,36
5,16,2,16
6,1,1,18
6,1,2,13
6,2,1,18
6,2,2,20
6,3,1,11
6,3,2,23
6,4,1,10
6,4,2,13
6,5,1,8
6,5,2,17
6,6,1,10
6,6,2,11
6,7,1,13
6,7,2,13
6,8,1,23
6,8,2,11
6,9,1,11
6,9,2,20
6,10,1,5
6,10,2,16
6,11,1,6
6,11,2,38
6,12,1,7
6,12,2,15
6,13,1,7
6,13,2,11
6,14,1,9
6,14,2,16
6,15,1,26
6,15,2,24
6,16,1,16
6,16,2,23
7,1,1,19
7,1,2,10
7,2,1,17
7,2,2,15
7,3,1,19
7,3,2,10
7,4,1,12
7,4,2,11
7,5,1,8
7,5,2,11
7,6,1,14
7,6,2,8
7,7,1,14
7,7,2,9
7,8,1,16
7,8,2,12
7,9,1,25
7,9,2,14
7,10,1,27
7,10,2,7
7,11,1,9
7,11,2,8
7,12,1,33
7,12,2,11
7,13,1,21
7,13,2,8
7,14,1,19
7,14,2,14
7,15,1,20
7,15,2,11
7,16,1,23
7,16,2,15
8,1,1,27
8,1,2,45
8,2,1,23
8,2,2,26
8,3,1,29
8,3,2,31
8,4,1,26
8,4,2,42
8,5,1,32
8,5,2,26
8,6,1,30
8,6,2,32
8,7,1,27
8,7,2,33
8,8,1,21
8,8,2,30
8,9,1,34
8,9,2,31
8,10,1,24
8,10,2,26
8,11,2,28
8,12,1,34
8,12,2,30
8,13,1,30
8,13,2,32
8,14,1,25
8,14,2,20
8,15,1,8
8,15,2,16
8,16,1,22
8,16,2,35
9,1,1,21
9,1,2,8
9,2,1,12
9,2,2,5
9,3,1,11
9,3,2,11
9,4,1,13
9,4,2,6
9,5,1,24
9,5,2,12
9,6,1,19
9,6,2,8
9,7,1,19
9,7,2,8
9,8,1,7
9,8,2,7
9,9,1,28
9,9,2,6
9,10,1,27
9,10,2,6
9,11,1,22
9,11,2,10
9,12,1,17
9,12,2,9
9,13,1,19
9,13,2,6
9,14,1,19
9,14,2,9
9,15,1,19
9,15,2,18
9,16,1,20
9,16,2,5
10,1,1,11
