Site,Plot,Nest,cover,Amalgams,Yr,species,flag
1,1,3,0.5,920607.0,1,Dactylis glomerata,0.0
1,2,4,0.5,920607.0,1,Dactylis glomerata,0.0
1,5,3,0.5,920607.0,1,Dactylis glomerata,0.0
1,9,3,0.5,920607.0,1,Dactylis glomerata,0.0
1,10,1,1.0,920607.0,1,Dactylis glomerata,0.0
1,12,4,0.5,920607.0,1,Dactylis glomerata,0.0
1,13,2,0.5,920607.0,1,Dactylis glomerata,0.0
1,14,1,5.0,920607.0,1,Dactylis glomerata,0.0
3,1,5,0.5,920607.0,1,Dactylis glomerata,0.0
3,2,3,0.5,920607.0,1,Dactylis glomerata,0.0
3,5,1,0.5,920607.0,1,Dactylis glomerata,0.0
3,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
3,11,1,0.5,920607.0,1,Dactylis glomerata,0.0
4,1,3,1.0,920607.0,1,Dactylis glomerata,0.0
4,2,4,1.0,920607.0,1,Dactylis glomerata,0.0
4,3,2,1.0,920607.0,1,Dactylis glomerata,0.0
4,6,3,1.0,920607.0,1,Dactylis glomerata,0.0
4,10,5,0.5,920607.0,1,Dactylis glomerata,0.0
4,11,2,5.0,920607.0,1,Dactylis glomerata,0.0
5,5,3,0.5,920607.0,1,Dactylis glomerata,0.0
7,9,3,5.0,920607.0,1,Dactylis glomerata,0.0
7,10,2,1.0,920607.0,1,Dactylis glomerata,0.0
7,12,4,5.0,920607.0,1,Dactylis glomerata,0.0
7,13,1,20.0,920607.0,1,Dactylis glomerata,0.0
7,14,3,10.0,920607.0,1,Dactylis glomerata,0.0
9,5,5,0.5,920607.0,1,Dactylis glomerata,0.0
9,6,1,10.0,920607.0,1,Dactylis glomerata,0.0
9,9,2,0.5,920607.0,1,Dactylis glomerata,0.0
10,11,5,0.5,920607.0,1,Dactylis glomerata,0.0
10,13,3,1.0,920607.0,1,Dactylis glomerata,0.0
11,1,3,1.0,920607.0,1,Dactylis glomerata,0.0
11,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
11,16,5,0.5,920607.0,1,Dactylis glomerata,0.0
12,1,5,1.0,920607.0,1,Dactylis glomerata,0.0
13,8,2,0.5,920607.0,1,Dactylis glomerata,0.0
13,11,5,0.5,920607.0,1,Dactylis glomerata,0.0
15,1,5,0.5,920607.0,1,Dactylis glomerata,0.0
15,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
15,7,4,0.5,920607.0,1,Dactylis glomerata,0.0
15,10,4,0.5,920607.0,1,Dactylis glomerata,0.0
17,1,3,1.0,920607.0,1,Dactylis glomerata,0.0
17,3,2,1.0,920607.0,1,Dactylis glomerata,0.0
17,8,3,0.5,920607.0,1,Dactylis glomerata,0.0
17,12,3,1.0,920607.0,1,Dactylis glomerata,0.0
17,15,5,0.5,920607.0,1,Dactylis glomerata,0.0
18,7,5,0.5,920607.0,1,Dactylis glomerata,0.0
18,15,4,0.5,920607.0,1,Dactylis glomerata,0.0
19,3,1,1.0,920607.0,1,Dactylis glomerata,0.0
20,8,1,1.0,920607.0,1,Dactylis glomerata,0.0
20,10,1,0.5,920607.0,1,Dactylis glomerata,0.0
20,16,1,1.0,920607.0,1,Dactylis glomerata,0.0
21,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
21,4,2,0.5,920607.0,1,Dactylis glomerata,0.0
22,4,1,0.5,920607.0,1,Dactylis glomerata,0.0
22,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
23,1,4,0.5,920607.0,1,Dactylis glomerata,0.0
23,4,4,0.5,920607.0,1,Dactylis glomerata,0.0
23,11,3,0.5,920607.0,1,Dactylis glomerata,0.0
23,13,5,0.5,920607.0,1,Dactylis glomerata,0.0
24,15,2,1.0,920607.0,1,Dactylis glomerata,0.0
25,1,4,0.5,920607.0,1,Dactylis glomerata,0.0
28,12,3,1.0,920607.0,1,Dactylis glomerata,0.0
28,14,3,0.5,920607.0,1,Dactylis glomerata,0.0
31,16,1,1.0,920607.0,1,Dactylis glomerata,0.0
34,7,5,1.0,920607.0,1,Dactylis glomerata,0.0
35,1,5,0.5,920607.0,1,Dactylis glomerata,0.0
37,4,2,0.5,920607.0,1,Dactylis glomerata,0.0
37,6,3,0.5,920607.0,1,Dactylis glomerata,0.0
37,8,4,0.5,920607.0,1,Dactylis glomerata,0.0
37,9,4,0.5,920607.0,1,Dactylis glomerata,0.0
37,13,5,0.5,920607.0,1,Dactylis glomerata,0.0
37,14,4,1.0,920607.0,1,Dactylis glomerata,0.0
38,1,3,0.5,920607.0,1,Dactylis glomerata,0.0
38,6,5,0.5,920607.0,1,Dactylis glomerata,0.0
38,7,1,0.5,920607.0,1,Dactylis glomerata,0.0
38,10,1,1.0,920607.0,1,Dactylis glomerata,0.0
38,14,2,0.5,920607.0,1,Dactylis glomerata,0.0
38,15,3,0.5,920607.0,1,Dactylis glomerata,0.0
38,16,4,0.5,920607.0,1,Dactylis glomerata,0.0
39,3,4,0.5,920607.0,1,Dactylis glomerata,0.0
40,3,4,5.0,920607.0,1,Dactylis glomerata,0.0
40,4,1,25.0,920607.0,1,Dactylis glomerata,0.0
40,5,1,5.0,920607.0,1,Dactylis glomerata,0.0
40,6,3,1.0,920607.0,1,Dactylis glomerata,0.0
40,7,3,1.0,920607.0,1,Dactylis glomerata,0.0
40,8,1,5.0,920607.0,1,Dactylis glomerata,0.0
40,10,5,0.5,920607.0,1,Dactylis glomerata,0.0
40,11,4,0.5,920607.0,1,Dactylis glomerata,0.0
40,12,5,0.5,920607.0,1,Dactylis glomerata,0.0
40,16,2,0.5,920607.0,1,Dactylis glomerata,0.0
41,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
41,3,3,1.0,920607.0,1,Dactylis glomerata,0.0
41,4,3,0.5,920607.0,1,Dactylis glomerata,0.0
41,5,2,0.5,920607.0,1,Dactylis glomerata,0.0
41,9,4,0.5,920607.0,1,Dactylis glomerata,0.0
41,11,3,1.0,920607.0,1,Dactylis glomerata,0.0
41,13,5,0.5,920607.0,1,Dactylis glomerata,0.0
41,16,2,1.0,920607.0,1,Dactylis glomerata,0.0
43,4,1,1.0,920607.0,1,Dactylis glomerata,0.0
43,5,3,0.5,920607.0,1,Dactylis glomerata,0.0
43,6,1,1.0,920607.0,1,Dactylis glomerata,0.0
43,8,1,1.0,920607.0,1,Dactylis glomerata,0.0
43,9,2,1.0,920607.0,1,Dactylis glomerata,0.0
43,10,5,0.5,920607.0,1,Dactylis glomerata,0.0
43,14,5,0.5,920607.0,1,Dactylis glomerata,0.0
44,4,1,5.0,920607.0,1,Dactylis glomerata,0.0
44,7,4,0.5,920607.0,1,Dactylis glomerata,0.0
45,1,4,1.0,920607.0,1,Dactylis glomerata,0.0
45,2,2,1.0,920607.0,1,Dactylis glomerata,0.0
45,7,1,5.0,920607.0,1,Dactylis glomerata,0.0
45,16,5,0.5,920607.0,1,Dactylis glomerata,0.0
46,1,1,0.5,920607.0,1,Dactylis glomerata,0.0
46,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
46,6,2,1.0,920607.0,1,Dactylis glomerata,0.0
46,8,2,1.0,920607.0,1,Dactylis glomerata,0.0
46,10,3,1.0,920607.0,1,Dactylis glomerata,0.0
46,12,1,0.5,920607.0,1,Dactylis glomerata,0.0
46,13,1,1.0,920607.0,1,Dactylis glomerata,0.0
46,15,4,1.0,920607.0,1,Dactylis glomerata,0.0
47,16,4,0.5,920607.0,1,Dactylis glomerata,0.0
48,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
48,4,5,0.5,920607.0,1,Dactylis glomerata,0.0
48,14,2,0.5,920607.0,1,Dactylis glomerata,0.0
50,6,4,1.0,920607.0,1,Dactylis glomerata,0.0
50,7,4,1.0,920607.0,1,Dactylis glomerata,0.0
50,16,5,0.5,920607.0,1,Dactylis glomerata,0.0
52,15,3,0.5,920607.0,1,Dactylis glomerata,0.0
53,1,2,0.5,920607.0,1,Dactylis glomerata,0.0
53,2,1,1.0,920607.0,1,Dactylis glomerata,0.0
53,8,2,0.5,920607.0,1,Dactylis glomerata,0.0
54,7,1,20.0,920607.0,1,Dactylis glomerata,0.0
54,12,4,10.0,920607.0,1,Dactylis glomerata,0.0
54,14,4,5.0,920607.0,1,Dactylis glomerata,0.0
55,1,1,1.0,920607.0,1,Dactylis glomerata,0.0
55,2,1,5.0,920607.0,1,Dactylis glomerata,0.0
55,3,5,1.0,920607.0,1,Dactylis glomerata,0.0
55,4,2,1.0,920607.0,1,Dactylis glomerata,0.0
55,5,4,0.5,920607.0,1,Dactylis glomerata,0.0
55,7,3,1.0,920607.0,1,Dactylis glomerata,0.0
55,9,2,1.0,920607.0,1,Dactylis glomerata,0.0
55,11,2,1.0,920607.0,1,Dactylis glomerata,0.0
55,12,1,10.0,920607.0,1,Dactylis glomerata,0.0
55,14,1,15.0,920607.0,1,Dactylis glomerata,0.0
55,15,5,1.0,920607.0,1,Dactylis glomerata,0.0
56,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
57,1,5,1.0,920607.0,1,Dactylis glomerata,0.0
57,2,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,6,1,5.0,920607.0,1,Dactylis glomerata,0.0
57,7,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,9,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,12,1,1.0,920607.0,1,Dactylis glomerata,0.0
57,16,5,1.0,920607.0,1,Dactylis glomerata,0.0
58,1,1,5.0,920607.0,1,Dactylis glomerata,0.0
58,2,1,1.0,920607.0,1,Dactylis glomerata,0.0
58,3,4,0.5,920607.0,1,Dactylis glomerata,0.0
58,4,3,0.5,920607.0,1,Dactylis glomerata,0.0
58,7,4,1.0,920607.0,1,Dactylis glomerata,0.0
58,8,3,1.0,920607.0,1,Dactylis glomerata,0.0
58,9,5,0.5,920607.0,1,Dactylis glomerata,0.0
58,12,4,0.5,920607.0,1,Dactylis glomerata,0.0
58,13,1,0.5,920607.0,1,Dactylis glomerata,0.0
58,15,2,0.5,920607.0,1,Dactylis glomerata,0.0
59,2,5,0.5,920607.0,1,Dactylis glomerata,0.0
59,8,3,0.5,920607.0,1,Dactylis glomerata,0.0
60,1,5,0.5,920607.0,1,Dactylis glomerata,0.0
60,4,5,0.5,920607.0,1,Dactylis glomerata,0.0
60,7,4,0.5,920607.0,1,Dactylis glomerata,0.0
60,16,4,0.5,920607.0,1,Dactylis glomerata,0.0
61,8,5,0.5,920607.0,1,Dactylis glomerata,0.0
62,2,4,0.5,920607.0,1,Dactylis glomerata,0.0
63,1,1,1.0,920607.0,1,Dactylis glomerata,0.0
63,2,2,1.0,920607.0,1,Dactylis glomerata,0.0
63,3,1,1.0,920607.0,1,Dactylis glomerata,0.0
63,5,1,1.0,920607.0,1,Dactylis glomerata,0.0
63,12,4,1.0,920607.0,1,Dactylis glomerata,0.0
63,16,1,1.0,920607.0,1,Dactylis glomerata,0.0
