Site,Plot,Yr,Amalgams,cover
1,1,1,9201728.0,50.0
1,2,1,9201728.0,30.0
1,3,1,9201728.0,5.0
1,3,2,9201728.0,5.0
1,4,1,9201728.0,5.0
1,4,2,9201023.0,0.5
1,4,2,9201728.0,0.5
1,5,1,9201728.0,10.0
1,5,2,9201023.0,0.5
1,5,2,9201728.0,5.0
1,6,1,9201728.0,5.0
1,6,2,9201023.0,0.5
1,6,2,9201728.0,1.0
1,7,1,9201023.0,0.5
1,7,1,9201728.0,10.0
1,7,2,9201023.0,0.5
1,7,2,9201728.0,0.5
1,8,1,9201728.0,5.0
1,8,2,9201728.0,80.0
1,9,1,9201728.0,5.0
1,9,2,9201728.0,1.0
1,10,1,9201728.0,15.0
1,10,2,9201728.0,15.0
1,11,1,9201728.0,10.0
1,11,2,9201728.0,0.5
1,12,1,9201728.0,5.0
1,13,1,9201728.0,10.0
1,13,2,9201728.0,5.0
1,14,1,9201728.0,1.0
1,14,2,9201728.0,0.5
1,15,1,9201728.0,40.0
1,15,2,9201023.0,0.5
1,15,2,9201728.0,0.5
1,16,1,9201728.0,15.0
2,1,1,9201023.0,0.5
2,1,1,9201728.0,5.0
2,1,2,9201023.0,0.5
2,1,2,9201728.0,10.0
2,2,1,9201023.0,0.5
2,2,1,9201728.0,15.0
2,2,2,9201023.0,0.5
2,2,2,9201728.0,10.0
2,3,1,9201023.0,0.5
2,3,1,9201728.0,15.0
2,3,2,9201023.0,1.0
2,3,2,9201728.0,1.0
2,4,1,9201728.0,30.0
2,4,2,9201023.0,0.5
2,4,2,9201728.0,20.0
2,5,1,9201023.0,1.0
2,5,1,9201728.0,20.0
2,5,2,9201023.0,1.0
2,6,1,9201728.0,5.0
2,6,2,9201023.0,1.0
2,6,2,9201728.0,15.0
2,7,1,9201728.0,25.0
2,7,2,9201023.0,0.5
2,7,2,9201728.0,0.5
2,8,1,9201023.0,0.5
2,8,1,9201728.0,5.0
2,8,2,9201023.0,0.5
2,9,1,9201728.0,1.0
2,9,2,9201023.0,1.0
2,9,2,9201728.0,0.5
2,10,1,9201728.0,5.0
2,10,2,9201023.0,0.5
2,10,2,9201728.0,0.5
2,11,1,9201023.0,0.5
2,11,1,9201728.0,60.0
2,11,2,9201023.0,0.5
2,11,2,9201728.0,0.5
2,11,2,9201815.0,1.0
2,12,1,9201023.0,0.5
2,12,1,9201728.0,30.0
2,12,2,9201023.0,0.5
2,12,2,9201728.0,0.5
2,12,2,9201815.0,1.0
2,13,1,9201023.0,0.5
2,13,2,9201728.0,1.0
2,14,1,9201023.0,0.5
2,14,1,9201728.0,10.0
2,14,2,9201023.0,0.5
2,14,2,9201728.0,0.5
2,14,2,9201815.0,0.5
2,15,1,9201023.0,0.5
2,15,1,9201728.0,5.0
2,15,2,9201023.0,0.5
2,15,2,9201728.0,0.5
2,16,1,9201728.0,1.0
2,16,2,9201023.0,1.0
2,16,2,9201687.0,0.5
2,16,2,9201728.0,40.0
3,1,1,9201728.0,10.0
3,1,1,9201815.0,0.5
3,2,1,9201728.0,70.0
3,2,2,9201023.0,0.5
3,3,1,9201728.0,1.0
3,3,2,9201687.0,0.5
3,3,2,9201728.0,5.0
3,4,1,9201687.0,0.5
3,4,1,9201728.0,1.0
3,4,2,9201728.0,5.0
3,5,1,9201728.0,50.0
3,5,1,9201815.0,0.5
3,5,2,9201728.0,5.0
3,6,1,9201687.0,1.0
3,6,1,9201728.0,1.0
3,6,2,9201728.0,5.0
3,7,1,9201687.0,0.5
3,7,1,9201728.0,5.0
3,7,2,9201728.0,1.0
3,8,1,9201728.0,5.0
3,8,2,9201728.0,1.0
3,9,1,9201728.0,25.0
3,9,2,9201728.0,1.0
3,10,1,9201687.0,0.5
3,10,1,9201728.0,1.0
3,10,2,9201023.0,0.5
3,10,2,9201728.0,5.0
3,11,1,9201728.0,40.0
3,11,2,9201728.0,1.0
3,12,1,9201728.0,5.0
3,12,2,9201023.0,0.5
3,12,2,9201728.0,1.0
3,13,1,9201687.0,0.5
3,13,1,9201728.0,0.5
3,13,2,9201728.0,10.0
3,14,1,9201687.0,0.5
3,14,1,9201728.0,1.0
3,15,1,9201728.0,5.0
3,15,2,9201728.0,5.0
3,16,1,9201728.0,1.0
3,16,2,9201023.0,0.5
3,16,2,9201728.0,5.0
4,1,1,9201023.0,0.5
4,1,1,9201728.0,0.5
4,1,2,9201728.0,5.0
4,2,1,9201728.0,1.0
4,2,2,9201728.0,10.0
4,3,1,9201728.0,1.0
4,4,1,9201728.0,1.0
4,4,2,9201728.0,30.0
4,5,1,9201728.0,1.0
4,5,2,9201728.0,5.0
4,6,1,9201728.0,1.0
4,6,2,9201728.0,5.0
4,7,2,9201728.0,10.0
4,8,1,9201728.0,0.5
4,8,2,9201728.0,10.0
4,9,1,9201728.0,1.0
4,10,1,9201023.0,0.5
4,10,1,9201728.0,1.0
4,10,2,9201728.0,50.0
4,11,1,9201728.0,1.0
4,12,1,9201023.0,0.5
4,12,1,9201728.0,15.0
4,13,1,9201728.0,15.0
4,13,2,9201728.0,10.0
4,14,1,9201023.0,0.5
4,14,1,9201728.0,5.0
4,14,2,9201728.0,5.0
4,15,1,9201023.0,0.5
4,15,1,9201728.0,10.0
4,16,1,9201023.0,0.5
4,16,1,9201728.0,15.0
4,16,2,9201728.0,10.0
5,1,1,9201728.0,1.0
5,2,1,9201728.0,1.0
5,2,2,9201728.0,1.0
5,3,1,9201728.0,1.0
5,3,2,9201023.0,0.5
5,3,2,9201728.0,20.0
5,4,1,9201728.0,10.0
5,4,2,9201728.0,45.0
5,5,1,9201728.0,40.0
5,5,2,9201728.0,30.0
5,6,1,9201728.0,30.0
5,6,2,9201728.0,5.0
5,7,1,9201728.0,1.0
5,7,2,9201728.0,5.0
5,8,1,9201728.0,75.0
5,8,2,9201728.0,0.5
5,9,1,9201728.0,0.5
5,10,1,9201728.0,0.5
5,11,1,9201728.0,0.5
5,12,1,9201728.0,1.0
5,13,1,9201728.0,0.5
5,14,1,9201728.0,0.5
5,15,1,9201728.0,1.0
5,15,2,9201728.0,0.5
5,16,1,9201728.0,1.0
5,16,2,9201023.0,0.5
5,16,2,9201728.0,25.0
6,1,1,9201023.0,0.5
6,1,1,9201728.0,60.0
6,1,2,9201023.0,1.0
6,1,2,9201728.0,0.5
6,2,1,9201023.0,0.5
6,2,1,9201615.0,0.5
6,2,1,9201728.0,5.0
6,2,2,9201728.0,5.0
6,3,1,9201023.0,0.5
6,3,1,9201728.0,5.0
