Unnamed: 0,Site,Plot,Yr,Amalgams_x,species_x,cover_x,Amalgams_y,species_y,cover_y,alpha_x,percentamtree_x,percentinvtree_x,herbcover_x,percentamshrub_x,percentinvshrub_x,percentinvherb_x,lba_x,som_x,pH_x,shortcodes_x,alpha_y,percentamtree_y,percentinvtree_y,herbcover_y,percentamshrub_y,percentinvshrub_y,percentinvherb_y,lba_y,som_y,pH_y,shortcodes_y
0,1,1,1,9101619.0,Pteridium aquilinum,90.0,9201728.0,Rubus fruticosus agg.,50.0,8.0,,,112.5,0.9824561403508772,0.8771929824561403,0.8,0.500691329,8.582,4.4,W10,8.0,,,112.5,0.9824561403508771,0.8771929824561403,0.8,0.500691329,8.582,4.4,W10
1,1,1,2,9101619.0,Pteridium aquilinum,8.0,,,,12.0,,,81.0,0.14285714285714285,,0.09876543209876544,0.539961237,17.2,3.8,W10,12.0,,,81.0,0.14285714285714285,,0.09876543209876543,0.539961237,17.2,3.8,W10
2,1,2,1,9101619.0,Pteridium aquilinum,65.0,9201728.0,Rubus fruticosus agg.,30.0,12.0,,,139.5,0.9861111111111112,0.8333333333333334,0.4659498207885305,0.502654825,9.622,4.3,W10,12.0,,,139.5,0.9861111111111112,0.8333333333333334,0.4659498207885305,0.502654825,9.622,4.3,W10
3,1,2,2,9101619.0,Pteridium aquilinum,0.5,,,,12.0,,,119.5,0.3333333333333333,,0.0041841004184100415,4.80663676,17.4,3.9,W10,12.0,,,119.5,0.3333333333333333,,0.0041841004184100415,4.80663676,17.4,3.9,W10
4,1,3,1,9101619.0,Pteridium aquilinum,95.0,9201728.0,Rubus fruticosus agg.,5.0,4.0,,,180.5,1.0,0.5,0.5263157894736842,0.467311907,9.544,4.2,W25,4.0,,,180.5,1.0,0.5,0.5263157894736842,0.467311907,9.544,4.2,W25
5,1,4,1,9101619.0,Pteridium aquilinum,5.0,9201728.0,Rubus fruticosus agg.,5.0,13.0,,,116.0,0.9545454545454546,0.4545454545454545,0.04310344827586207,0.512472302,7.415,4.3,W10,13.0,,,116.0,0.9545454545454546,0.45454545454545453,0.04310344827586207,0.512472302,7.415,4.3,W10
6,1,4,2,9101619.0,Pteridium aquilinum,15.0,9201023.0,Ilex aquifolium,0.5,8.0,,,19.0,1.0,0.6666666666666666,0.7894736842105263,1.083849465,19.5,3.9,W10,8.0,,,19.0,1.0,0.6666666666666666,0.7894736842105263,1.083849465,19.5,3.9,W10
7,1,4,2,9101619.0,Pteridium aquilinum,15.0,9201728.0,Rubus fruticosus agg.,0.5,8.0,,,19.0,1.0,0.6666666666666666,0.7894736842105263,1.083849465,19.5,3.9,W10,8.0,,,19.0,1.0,0.6666666666666666,0.7894736842105263,1.083849465,19.5,3.9,W10
8,1,5,1,9101619.0,Pteridium aquilinum,25.0,9201728.0,Rubus fruticosus agg.,10.0,11.0,,,81.0,0.967741935483871,0.6451612903225806,0.308641975308642,0.834485549,11.294,3.9,W10,11.0,,,81.0,0.967741935483871,0.6451612903225806,0.30864197530864196,0.834485549,11.294,3.9,W10
9,1,5,2,9101619.0,Pteridium aquilinum,0.5,9201023.0,Ilex aquifolium,0.5,16.0,0.6901408450704225,,98.0,1.0,0.7857142857142857,0.005102040816326529,1.462804079,8.4,4.5,W10,16.0,0.6901408450704225,,98.0,1.0,0.7857142857142857,0.00510204081632653,1.462804079,8.4,4.5,W10
