Species,Status
Sambucus ebulus,u
Sambucus nigra,u
Sambucus racemosa,am
Ilex aquifolium,u
Alnus glutinosa,d
Alnus incana,d
Betula nana,em
Betula pendula,em
Betula  pubescens,em
Carpinus betulus,em
Corylus avellana,em
Corylus maxima,em
Euonymus europaeus,am
Chamaecyparis lawsoniana,am
Cupressus macrocarpa,am
Juniperus communis,am
Sequoia sempervirens,am
Sequoiadendron gigantum,am
Thuja plicata,am
Rhododendron luteum,er
Rhododendrom ponticum,er
Acacia melanoxylon,d
Acacia retinodes,d
Laburnum anagyroides,u
Robinia pseudoacacia,am
Castanea sativa,em
Fagus sylvatica,em
Quercus ilex,em
Quercus palustris,em
Quercus  petrea,em
Quercus robur,em
Juglans  regia,am
Laurus nobilis,am
Tilia cordata,em
Tilia platyphyllos,em
Nothofagus nervosa,em
Fraxinus excelsior,am
Abies alba,em
Abies grandis,em
Abies procera,em
Larix  decidua,em
Larix kaempferi,em
Larix x eurolepis,em
Picea abies,em
Picea stichensis,em
Pinus contorta,em
Pinus  nigra,em
Pinus pinaster,em
Pinus radiata,em
Pinus sylvestris,em
Pseudotsuga menziesii,em
Tsuga heterophylla,em
Platanus X hispanica,u
Sinarundinaria anceps,u
Rhamnus cathartica,u
Crataegus laevigataxmonogyna,u
Crataegus laevigata,u
Crataegus monogyna,u
Malus domestica,am
Malus sylvestris,am
Prunus avium,am
Prunus cerasifera,am
Prunus cerasus,am
Prunus domestica,am
Prunus laurocerasus, u
Prunus padus,am
Prunus spinosa,am
Pyrus  communis,am
Pyrus cordata,am
Sorbus anglica,am
Sorbus aria,am
Sorbus arrenensis,am
Sorbus aucuparia,am
Sorbus bristolensis,am
Sorbus devoniensis,am
Sorbus domestica,am
Sorbus eminens,am
Sorbus hibernica,am
Sorbus intermedia,am
Sorbus lancastriensis,am
Sorbus leptophylla,am
Sorbus leyana,am
Sorbus minima,am
Sorbus porrigentiformis,am
Sorbus pseudofennica,am
Sorbus rupicola,am
Sorbus subcuneata,am
Sorbus torminalis,am
Sorbus vexans,am
Populus alba,d
Populus canescens,d
Populus candicans,d
Populus nigra,d
Populus tremuloides,d
Salix alba,em
Salix arbuscula, u
Salix atrocinera,d
Salix aurita,em
Salix caprea,em
Salix cinerea,d
Salix fragilis,em
Salix herbacea,d
Salix lantana,d
Salix lapponum,em
Salix mysinifolia,u
Salix myrsinites,d
Salix pentandra,em
Salix phylicifolia,d
Salix purpurea,am
Salix repens,em
Salix reticulata,em
Salix tiandra,em
Salix viminalis,d
Acer campestre,am
Acer platanoides,am
Acer pseudoplanatus,am
Aesculus hippocastanum,am
Tamarix gallica,u
Taxus  baccata,u
Cryptomeria japonica,am
Ulmus minor,u
Ulmus glabra,u
Ulmus plotii,u
Ulmus procera,u
