,BRC,species,preneation,life form,woodiness,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S,ms,flag
335,9202397,Abies procera,p,Ph,wt,,,,,,,,,,em,0
537,9204658,Abies sp.,p,Ph,wt,,,,,,,,,,em,0
147,9203,Acer campestre,p,Ph,wt,3.6,15.7,839,"1, 3",5,5,7,6,0,am,0
331,9204,Acer platanoides,p,Ph,wt,3.4,15.2,903,"1, 3, 17",4,5,7,7,0,am,0
4,9205,Acer pseudoplatanus,p,Ph,wt,3.6,14.6,1083,"1, 3, 17",4,5,6,6,0,am,2
160,9207,Achillea millefolium,p,Ch,h,3.5,14.5,1103,"5, 6",7,5,6,4,1,,0
285,92014,Aconitum napellus,p,Gn,h,4,15.8,964,"1, 3, 14, 17",5,7,7,6,0,,0
266,92016,Actaea spicata,p,Gn,h,2.5,14.3,1054,16,3,5,8,6,0,,0
172,92019,Adoxa moschatellina,p,Gn,h,3.3,14.9,1005,1,4,5,6,5,0,,0
593,92020,Aegopodium podagraria,p,hc,h,3.6,14.6,1064,"3, 17",6,5,6,7,0,,0
267,9202241,Aesculus hippocastanum,p,Ph,wt,3.6,14.8,1014,"3, 17",5,5,7,7,0,am,0
271,92022,Agrimonia eupatoria,p,hc,h,3.8,15.1,953,6,7,4,7,4,0,,0
16,92035,Agrostis canina sens.lat.,p,hc,h,3.4,14.3,1145,"8, 11",7,6,3,3,0,,2
20,92040,Agrostis capillaris,p,hc,h,3.5,14.5,1104,8,6,5,4,4,0,,2
741,92038,Agrostis curtisii,p,hc,h,4.9,15.8,1082,"8, 10",7,6,2,1,0,,0
117,92036,Agrostis gigantea,p,hc,h,3.6,15.3,889,"3, 4",7,6,6,7,0,,0
726,9204579,Agrostis sp.,p,hc,h,,,,,,,,,,,0
33,92039,Agrostis stolonifera,p,hc,h,3.6,14.5,1101,"4, 5, 6",7,6,7,6,1,,2
340,92042,Aira praecox,a,Th,h,3.5,14.3,1149,"8, 16",8,2,4,2,0,,0
13,92046,Ajuga reptans,p,hc,h,3.4,14.6,1095,1,5,7,5,5,0,,0
584,92088,Alcea rosea,p,hc,h,,,,,,,,,,,0
346,92051,Alchemilla glabra,p,hc,h,2.6,13.4,1338,"6, 15, 16",7,6,6,4,0,,0
590,9202255,Alchemilla mollis,p,hc,h,3.5,15,1009,"3, 17",6,5,7,6,0,,0
611,9204679,Alchemilla sp.,p,hc,h,,,,,,,,,,,0
434,92063,Alisma plantago-aquatica,p,Hy,h,3.8,15.2,950,"11, 13",7,10,7,7,0,,0
259,92064,Alliaria petiolata,b,hc,h,3.6,15.1,935,3,5,6,7,8,0,,0
549,9208283,Allium ampeloprasum,p,Gb,h,5.5,15.5,1068,3,8,4,6,5,0,,0
743,9209184,Allium cepa,p,Gb,h,3.9,15.8,823,4,7,4,7,8,0,,0
586,92069,Allium paradoxum,p,Gb,h,3.2,15.1,810,"1, 3",6,5,5,7,1,,0
714,92070,Allium roseum,p,Gb,h,4.9,16.1,878,"3, 16",7,4,6,5,0,,0
142,92075,Allium ursinum,p,Gb,h,3.5,14.8,1065,1,4,6,7,7,0,,2
244,92077,Alnus glutinosa,p,Ph,wt,3.5,14.5,1100,"1, 14",5,8,6,6,0,d,2
559,92081,Alopecurus bulbosus,p,hc,h,4.6,16.4,826,6,8,7,7,5,3,,0
570,92082,Alopecurus geniculatus,p,hc,h,3.5,14.5,1087,6,8,7,6,6,1,,0
538,92084,Alopecurus myosuroides,a,Th,h,3.7,15.9,765,4,6,5,7,6,0,,0
199,92085,Alopecurus pratensis,p,hc,h,3.5,14.7,1032,6,7,5,6,7,0,,0
720,92087,Althaea officinalis,p,hc,h,4.4,16.4,774,"13, 21",7,7,8,4,2,,0
784,92098,Anacamptis pyramidalis,p,Gn,h,4.1,15.5,861,7,8,4,8,3,0,,0
517,92099,Anagallis arvensis,a,Th,h,4,15.2,962,4,7,4,6,5,0,,0
664,920456,Anagallis minima,a,Th,h,4.2,14.8,1155,3,8,7,5,3,0,,0
100,920100,Anagallis tenella,p,hc,h,4,14.6,1139,11,8,8,5,3,0,,0
713,920101,Anaphalis margaritacea,p,hc,h,3.6,14.8,1167,"1, 3",8,5,6,3,0,,0
770,9201218,Anchusa arvensis,a,Th,h,3.7,15,874,4,7,4,6,5,0,,0
141,920105,Anemone nemorosa,p,Gn,h,3.3,14.5,1113,"1, 16",5,6,5,4,0,,0
575,920108,Angelica archangelica,b,hc,h,,,,,,,,,,,0
45,920109,Angelica sylvestris,p,hc,h,3.5,14.4,1109,"11, 16",7,8,6,5,0,,0
527,920113,Anisantha sterilis,a,Th,h,3.8,15.3,893,"3, 4, 17",7,5,8,7,0,,0
520,920122,Anthoxanthum aristatum,a,Th,h,3.9,16,775,"4, 17",7,4,4,5,0,,0
134,920121,Anthoxanthum odoratum,p,hc,h,3.5,14.4,1106,6,7,6,4,3,0,,0
215,920125,Anthriscus sylvestris,p,hc,h,3.6,14.6,1039,3,6,5,7,7,0,,2
679,920131,Aphanes arvensis agg.,a,Th,h,3.6,14.7,1038,"4, 8, 16",7,4,6,4,0,,0
719,920133,Aphanes inexspectata,a,Th,h,3.5,14.6,1070,"8, 16",7,4,5,4,0,,0
643,920134,Apium graveolens,b,hc,h,4.3,15.8,849,13,8,8,7,7,2,,0
328,920137,Apium nodiflorum,p,Hy,h,4,15.2,961,14,7,10,7,7,0,,0
721,920141,Aquilegia vulgaris,p,hc,h,3.6,15,986,"1, 3, 16",6,4,6,5,0,,0
360,920142,Arabidopsis thaliana,a,Th,h,3.5,14.8,1034,"16, 17",8,3,6,2,0,,0
415,920146,Arabis hirsuta,b,hc,h,3.3,14.6,1104,"7, 16",7,5,8,3,0,,0
