,Site,Plot,Yr,species,cover,alpha
0,1,1,1,Acer pseudoplatanus,100.0,8.0
1,1,1,1,Betula seedling/sp,50.0,8.0
2,1,1,1,Castanea sativa,50.0,8.0
3,1,1,1,Lonicera periclymenum,5.0,8.0
4,1,1,1,Rubus fruticosus agg.,50.0,8.0
5,1,1,2,Castanea sativa,2.0,12.0
6,1,1,2,Fagus sylvatica,50.0,12.0
7,1,1,2,Prunus avium,50.0,12.0
8,1,1,2,Quercus seedling/sp,50.0,12.0
9,1,2,1,Betula seedling/sp,50.0,12.0
10,1,2,1,Lonicera periclymenum,5.0,12.0
11,1,2,1,Rosa seedling/sp,50.0,12.0
12,1,2,1,Rubus fruticosus agg.,30.0,12.0
13,1,2,2,Corylus avellana,50.0,12.0
14,1,2,2,Tilia cordata,50.0,12.0
15,1,2,2,Ulmus procera,50.0,12.0
16,1,3,1,Lonicera periclymenum,5.0,4.0
17,1,3,1,Rubus fruticosus agg.,5.0,4.0
18,1,3,2,Acer pseudoplatanus,50.0,13.0
19,1,3,2,Fagus sylvatica,50.0,13.0
20,1,3,2,Lonicera periclymenum,50.0,13.0
21,1,3,2,Rubus fruticosus agg.,5.0,13.0
22,1,4,1,Lonicera periclymenum,5.0,13.0
23,1,4,1,Quercus seedling/sp,50.0,13.0
24,1,4,1,Rubus fruticosus agg.,5.0,13.0
25,1,4,1,Viburnum opulus,50.0,13.0
26,1,4,2,Ilex aquifolium,50.0,8.0
27,1,4,2,Lonicera periclymenum,50.0,8.0
28,1,4,2,Rubus fruticosus agg.,50.0,8.0
29,1,5,1,Crataegus monogyna,50.0,11.0
30,1,5,1,Lonicera periclymenum,5.0,11.0
31,1,5,1,Rubus fruticosus agg.,10.0,11.0
32,1,5,2,Acer pseudoplatanus,50.0,16.0
33,1,5,2,Fraxinus excelsior (c),50.0,16.0
34,1,5,2,Ilex aquifolium,50.0,16.0
35,1,5,2,Lonicera periclymenum,50.0,16.0
36,1,5,2,Rubus fruticosus agg.,5.0,16.0
37,1,6,1,Crataegus monogyna,50.0,15.0
38,1,6,1,Fraxinus excelsior (c),50.0,15.0
39,1,6,1,Lonicera periclymenum,10.0,15.0
40,1,6,1,Quercus seedling/sp,50.0,15.0
41,1,6,1,Rubus fruticosus agg.,5.0,15.0
42,1,6,2,Castanea sativa,50.0,19.0
43,1,6,2,Ilex aquifolium,50.0,19.0
44,1,6,2,Lonicera periclymenum,50.0,19.0
45,1,6,2,Prunus avium,50.0,19.0
46,1,6,2,Rubus fruticosus agg.,100.0,19.0
47,1,7,1,Crataegus monogyna,50.0,10.0
48,1,7,1,Ilex aquifolium,50.0,10.0
49,1,7,1,Lonicera periclymenum,10.0,10.0
50,1,7,1,Rubus fruticosus agg.,10.0,10.0
51,1,7,2,Castanea sativa,5.0,25.0
52,1,7,2,Ilex aquifolium,50.0,25.0
53,1,7,2,Lonicera periclymenum,50.0,25.0
54,1,7,2,Rubus fruticosus agg.,50.0,25.0
55,1,8,1,Lonicera periclymenum,5.0,6.0
56,1,8,1,Rubus fruticosus agg.,5.0,6.0
57,1,8,2,Castanea sativa,50.0,16.0
58,1,8,2,Fraxinus excelsior (c),50.0,16.0
59,1,8,2,Lonicera periclymenum,100.0,16.0
60,1,8,2,Rubus fruticosus agg.,80.0,16.0
61,1,9,1,Fraxinus excelsior (c),50.0,15.0
62,1,9,1,Lonicera periclymenum,100.0,15.0
63,1,9,1,Rubus fruticosus agg.,5.0,15.0
64,1,9,2,Acer pseudoplatanus,50.0,29.0
65,1,9,2,Castanea sativa,50.0,29.0
66,1,9,2,Crataegus monogyna,50.0,29.0
67,1,9,2,Fraxinus excelsior (c),5.0,29.0
68,1,9,2,Lonicera periclymenum,50.0,29.0
69,1,9,2,Quercus seedling/sp,50.0,29.0
70,1,9,2,Rosa seedling/sp,50.0,29.0
71,1,9,2,Rubus fruticosus agg.,100.0,29.0
72,1,10,1,Crataegus monogyna,50.0,16.0
73,1,10,1,Lonicera periclymenum,5.0,16.0
74,1,10,1,Rubus fruticosus agg.,15.0,16.0
75,1,10,2,Acer pseudoplatanus,50.0,17.0
76,1,10,2,Castanea sativa,50.0,17.0
77,1,10,2,Corylus avellana,50.0,17.0
78,1,10,2,Crataegus monogyna,50.0,17.0
79,1,10,2,Fraxinus excelsior (c),50.0,17.0
80,1,10,2,Lonicera periclymenum,100.0,17.0
81,1,10,2,Populus tremula,100.0,17.0
82,1,10,2,Rosa seedling/sp,50.0,17.0
83,1,10,2,Rubus fruticosus agg.,15.0,17.0
84,1,11,1,Lonicera periclymenum,100.0,9.0
85,1,11,1,Rubus fruticosus agg.,10.0,9.0
86,1,11,2,Acer pseudoplatanus,50.0,18.0
87,1,11,2,Betula seedling/sp,50.0,18.0
88,1,11,2,Lonicera periclymenum,100.0,18.0
89,1,11,2,Quercus seedling/sp,50.0,18.0
90,1,11,2,Rubus fruticosus agg.,50.0,18.0
91,1,12,1,Lonicera periclymenum,100.0,12.0
92,1,12,1,Prunus spinosa,50.0,12.0
93,1,12,1,Quercus seedling/sp,50.0,12.0
94,1,12,1,Rubus fruticosus agg.,5.0,12.0
95,1,12,2,Castanea sativa,50.0,21.0
96,1,12,2,Crataegus monogyna,50.0,21.0
97,1,12,2,Fraxinus excelsior (c),50.0,21.0
98,1,12,2,Lonicera periclymenum,50.0,21.0
99,1,12,2,Solanum dulcamara,50.0,21.0
100,1,13,1,Lonicera periclymenum,100.0,10.0
101,1,13,1,Rubus fruticosus agg.,10.0,10.0
102,1,13,2,Acer pseudoplatanus,50.0,15.0
103,1,13,2,Castanea sativa,150.0,15.0
104,1,13,2,Rubus fruticosus agg.,5.0,15.0
105,1,13,2,Sorbus aucuparia,50.0,15.0
106,1,14,1,Crataegus monogyna,50.0,18.0
107,1,14,1,Lonicera periclymenum,100.0,18.0
108,1,14,1,Rubus fruticosus agg.,100.0,18.0
109,1,14,2,Castanea sativa,100.0,14.0
110,1,14,2,Corylus avellana,50.0,14.0
111,1,14,2,Cytisus scoparius,50.0,14.0
112,1,14,2,Lonicera periclymenum,100.0,14.0
113,1,14,2,Rubus fruticosus agg.,50.0,14.0
114,1,15,1,Lonicera periclymenum,100.0,15.0
115,1,15,1,Rubus fruticosus agg.,40.0,15.0
116,1,15,2,Crataegus monogyna,50.0,13.0
117,1,15,2,Fagus sylvatica,50.0,13.0
118,1,15,2,Ilex aquifolium,50.0,13.0
119,1,15,2,Lonicera periclymenum,100.0,13.0
120,1,15,2,Rubus fruticosus agg.,50.0,13.0
121,1,16,1,Lonicera periclymenum,50.0,12.0
122,1,16,1,Rubus fruticosus agg.,15.0,12.0
123,1,16,2,Lonicera periclymenum,50.0,9.0
124,1,16,2,Prunus spinosa,100.0,9.0
125,2,1,1,Fraxinus excelsior (c),50.0,14.0
126,2,1,1,Hedera helix,100.0,14.0
127,2,1,1,Ilex aquifolium,50.0,14.0
128,2,1,1,Lonicera periclymenum,100.0,14.0
129,2,1,1,Rosa seedling/sp,100.0,14.0
130,2,1,1,Rubus fruticosus agg.,5.0,14.0
131,2,1,2,Betula seedling/sp,50.0,20.0
132,2,1,2,Crataegus monogyna,50.0,20.0
133,2,1,2,Fraxinus excelsior (c),100.0,20.0
134,2,1,2,Hedera helix,50.0,20.0
135,2,1,2,Ilex aquifolium,50.0,20.0
136,2,1,2,Lonicera periclymenum,100.0,20.0
137,2,1,2,Rubus fruticosus agg.,10.0,20.0
138,2,2,1,Fagus sylvatica,50.0,10.0
139,2,2,1,Fraxinus excelsior (c),100.0,10.0
140,2,2,1,Hedera helix,100.0,10.0
141,2,2,1,Ilex aquifolium,50.0,10.0
142,2,2,1,Lonicera periclymenum,100.0,10.0
143,2,2,1,Ribes nigrum,50.0,10.0
144,2,2,1,Ribes rubrum,50.0,10.0
145,2,2,1,Rubus fruticosus agg.,15.0,10.0
146,2,2,2,Fagus sylvatica,50.0,8.0
147,2,2,2,Fraxinus excelsior (c),50.0,8.0
148,2,2,2,Hedera helix,100.0,8.0
149,2,2,2,Ilex aquifolium,50.0,8.0
150,2,2,2,Lonicera periclymenum,5.0,8.0
151,2,2,2,Rubus fruticosus agg.,10.0,8.0
152,2,3,1,Betula seedling/sp,50.0,8.0
153,2,3,1,Fagus sylvatica,50.0,8.0
154,2,3,1,Fraxinus excelsior (c),50.0,8.0
155,2,3,1,Hedera helix,5.0,8.0
156,2,3,1,Ilex aquifolium,50.0,8.0
157,2,3,1,Lonicera periclymenum,50.0,8.0
158,2,3,1,Rubus fruticosus agg.,15.0,8.0
159,2,3,2,Betula pubescens,50.0,13.0
160,2,3,2,Corylus avellana,50.0,13.0
161,2,3,2,Crataegus monogyna,50.0,13.0
162,2,3,2,Fraxinus excelsior (c),100.0,13.0
163,2,3,2,Ilex aquifolium,100.0,13.0
164,2,3,2,Lonicera periclymenum,100.0,13.0
165,2,3,2,Rubus fruticosus agg.,100.0,13.0
166,2,4,1,Crataegus monogyna,50.0,34.0
167,2,4,1,Fraxinus excelsior (c),50.0,34.0
168,2,4,1,Hedera helix,100.0,34.0
169,2,4,1,Lonicera periclymenum,10.0,34.0
170,2,4,1,Quercus seedling/sp,50.0,34.0
171,2,4,1,Rubus fruticosus agg.,30.0,34.0
172,2,4,2,Fagus sylvatica,50.0,12.0
173,2,4,2,Fraxinus excelsior (c),50.0,12.0
174,2,4,2,Hedera helix,50.0,12.0
175,2,4,2,Ilex aquifolium,50.0,12.0
176,2,4,2,Lonicera periclymenum,5.0,12.0
177,2,4,2,Quercus seedling/sp,50.0,12.0
178,2,4,2,Rubus fruticosus agg.,20.0,12.0
179,2,4,2,Sorbus aucuparia,50.0,12.0
180,2,5,1,Castanea sativa,50.0,3.0
181,2,5,1,Hedera helix,50.0,3.0
182,2,5,1,Ilex aquifolium,100.0,3.0
183,2,5,1,Lonicera periclymenum,100.0,3.0
184,2,5,1,Rubus fruticosus agg.,20.0,3.0
185,2,5,1,Sorbus aucuparia,50.0,3.0
186,2,5,2,Castanea sativa,50.0,2.0
187,2,5,2,Fraxinus excelsior (c),50.0,2.0
188,2,5,2,Ilex aquifolium,100.0,2.0
189,2,5,2,Vaccinium myrtillus,50.0,2.0
190,2,6,1,Fraxinus excelsior (c),50.0,11.0
191,2,6,1,Hedera helix,5.0,11.0
192,2,6,1,Lonicera periclymenum,5.0,11.0
193,2,6,1,Quercus seedling/sp,100.0,11.0
194,2,6,1,Ribes nigrum,50.0,11.0
195,2,6,1,Ribes rubrum,50.0,11.0
196,2,6,1,Rubus fruticosus agg.,5.0,11.0
197,2,6,1,Rubus idaeus,50.0,11.0
198,2,6,2,Betula seedling/sp,100.0,27.0
199,2,6,2,Fagus sylvatica,50.0,27.0
200,2,6,2,Fraxinus excelsior (c),100.0,27.0
201,2,6,2,Ilex aquifolium,100.0,27.0
202,2,6,2,Lonicera periclymenum,100.0,27.0
203,2,6,2,Rubus fruticosus agg.,15.0,27.0
204,2,6,2,Taxus baccata,50.0,27.0
205,2,7,1,Betula seedling/sp,100.0,32.0
206,2,7,1,Crataegus monogyna,50.0,32.0
207,2,7,1,Fraxinus excelsior (c),50.0,32.0
208,2,7,1,Hedera helix,100.0,32.0
209,2,7,1,Lonicera periclymenum,100.0,32.0
210,2,7,1,Rosa seedling/sp,50.0,32.0
211,2,7,1,Rubus fruticosus agg.,25.0,32.0
212,2,7,1,Solanum dulcamara,50.0,32.0
213,2,7,2,Betula seedling/sp,50.0,13.0
214,2,7,2,Fraxinus excelsior (c),100.0,13.0
215,2,7,2,Hedera helix,50.0,13.0
216,2,7,2,Ilex aquifolium,50.0,13.0
217,2,7,2,Lonicera periclymenum,50.0,13.0
218,2,7,2,Rubus fruticosus agg.,50.0,13.0
219,2,7,2,Sorbus aucuparia,50.0,13.0
220,2,8,1,Fraxinus excelsior (c),50.0,11.0
221,2,8,1,Hedera helix,25.0,11.0
222,2,8,1,Ilex aquifolium,50.0,11.0
223,2,8,1,Lonicera periclymenum,5.0,11.0
224,2,8,1,Ribes nigrum,100.0,11.0
225,2,8,1,Ribes rubrum,100.0,11.0
226,2,8,1,Rosa seedling/sp,50.0,11.0
227,2,8,1,Rubus fruticosus agg.,5.0,11.0
228,2,8,2,Ilex aquifolium,50.0,0.0
229,2,8,2,Sorbus aucuparia,50.0,0.0
230,2,9,1,Betula seedling/sp,50.0,3.0
231,2,9,1,Calluna vulgaris,100.0,3.0
232,2,9,1,Rubus fruticosus agg.,100.0,3.0
233,2,9,1,Sorbus aucuparia,50.0,3.0
234,2,9,1,Vaccinium myrtillus,50.0,3.0
235,2,9,2,Castanea sativa,50.0,1.0
236,2,9,2,Ilex aquifolium,100.0,1.0
237,2,9,2,Rubus fruticosus agg.,50.0,1.0
238,2,10,1,Betula seedling/sp,50.0,2.0
239,2,10,1,Calluna vulgaris,50.0,2.0
240,2,10,1,Castanea sativa,50.0,2.0
241,2,10,1,Lonicera periclymenum,40.0,2.0
242,2,10,1,Quercus seedling/sp,50.0,2.0
243,2,10,1,Rubus fruticosus agg.,5.0,2.0
244,2,10,2,Ilex aquifolium,50.0,3.0
245,2,10,2,Lonicera periclymenum,50.0,3.0
246,2,10,2,Rubus fruticosus agg.,50.0,3.0
