,Yr,species,cover
0,1,Abies procera,100.0
1,1,Acer campestre,4100.0
2,1,Acer platanoides,200.0
3,1,Acer pseudoplatanus,23635.0
4,1,Aesculus hippocastanum,300.0
5,1,Alnus glutinosa,650.0
6,1,Arctostaphylos uva-ursi,50.0
7,1,Azalea spp.,10.0
8,1,Betula pubescens,4300.0
9,1,Betula seedling/sp,16695.0
10,1,Calluna vulgaris,7230.0
11,1,Carpinus betulus,200.0
12,1,Castanea sativa,21165.0
13,1,Clematis vitalba,2380.0
14,1,Cornus sanguinea,2055.0
15,1,Corylus avellana,10350.0
16,1,Cotoneaster integrifolius,100.0
17,1,Crataegus laevigata,650.0
18,1,Crataegus monogyna,20050.0
19,1,Cytisus scoparius,1200.0
20,1,Daphne laureola,50.0
21,1,Daphne mezereum,100.0
22,1,Empetrum nigrum,605.0
23,1,Erica cinerea,3870.0
24,1,Erica tetralix,1295.0
25,1,Euonymus europaeus,1200.0
26,1,Fagus sylvatica,9300.0
27,1,Fraxinus excelsior (c),52570.0
28,1,Genista tinctoria,100.0
29,1,Hedera helix,36135.0
30,1,Helianthemum nummularium,300.0
31,1,Hydrangea spp.,100.0
32,1,Hypericum androsaemum,1500.0
33,1,Ilex aquifolium,17920.0
34,1,Juniperus communis,450.0
35,1,Larix sp.,500.0
36,1,Ligustrum vulgare,5530.0
37,1,Lonicera nitida,50.0
38,1,Lonicera periclymenum,46170.0
39,1,Mahonia aquifolium,135.0
40,1,Malus sylvestris,50.0
41,1,Myrica gale,20.0
42,1,Picea sp,300.0
43,1,Pinus sylvestris,1500.0
44,1,Populus tremula,400.0
45,1,Prunus avium,1600.0
46,1,Prunus laurocerasus,60.0
47,1,Prunus padus,800.0
48,1,Prunus spinosa,3800.0
49,1,Pseudotsuga spp.,400.0
50,1,Quercus ilex,150.0
51,1,Quercus seedling/sp,32865.0
52,1,Rhamnus cathartica,150.0
53,1,Rhododendron ponticum,2615.0
54,1,Ribes nigrum,3455.0
55,1,Ribes rubrum,3455.0
56,1,Ribes uva-crispa,1300.0
57,1,Robinia pseudoacacia,50.0
58,1,Rosa seedling/sp,17250.0
