SITE,PLOT,pH1971,pH resurvey
84,13,3.6,2.929
17,6,3.4,3.16
84,16,3.4,3.289
84,14,3.4,3.3
84,5,3.3,3.416
30,9,3.2,3.5
102,12,3.2,3.6
90,16,3.4,3.534
102,13,3.3,3.6
102,16,3.5,3.5
84,1,3.2,3.796
84,10,3.5,3.612
84,4,3.4,3.687
90,14,3.2,3.888
17,4,4.1,3.083
37,16,3.8,3.407
49,3,3.7,3.54
102,3,3.5,3.7
94,14,3.5,3.8
84,8,3.4,3.934
45,14,3.7,3.638
17,5,3.6,3.678
84,2,3.6,3.696
89,14,3.6,3.7
84,7,4,3.414
49,4,3.8,3.568
102,10,3.8,3.6
45,11,3.8,3.649
49,7,3.7,3.665
4,4,3.7,3.671
102,2,3.7,3.7
58,10,3.7,3.703
90,13,3.7,3.731
88,7,3.6,3.8
32,12,3.5,3.9
14,9,3.5,3.936
84,11,3.4,3.991
32,4,3.4,4
89,2,3.8,3.7
52,14,3.8,3.7
102,5,3.7,3.8
32,7,3.7,3.8
32,1,3.6,3.9
89,11,3.6,3.9
88,9,3.6,3.9
88,12,3.6,3.9
101,1,3.5,3.996
102,4,3.5,4
102,1,3.5,4
94,15,3.4,4.1
84,9,3.4,4.149
90,7,3.3,4.17
100,13,3.3,4.2
54,9,3.9,3.681
64,13,3.8,3.762
32,14,3.8,3.8
88,5,3.7,3.9
14,4,3.5,4.055
14,14,3.5,4.056
100,5,3.5,4.1
90,15,3.5,4.134
14,11,3.5,4.138
30,8,3.5,4.146
100,16,3.4,4.2
91,11,3.4,4.2
102,11,3.4,4.2
98,4,4.3,3.369
49,8,4.1,3.58
90,9,3.9,3.786
52,15,3.9,3.8
3,10,3.8,3.888
32,10,3.8,3.9
52,4,3.8,3.9
69,1,3.6,4.075
32,9,3.6,4.1
88,16,3.6,4.1
88,15,3.6,4.1
3,13,3.6,4.144
94,6,3.4,4.3
62,5,4.4,3.303
85,3,4,3.666
52,1,4,3.7
92,9,3.7,4.039
64,16,3.5,4.178
16,5,3.5,4.2
14,6,3.5,4.212
101,2,3.5,4.228
69,12,3.5,4.23
17,2,4.1,3.685
75,6,4.1,3.74
45,13,3.9,3.854
72,16,3.9,3.898
52,3,3.9,3.9
88,14,3.9,3.9
64,15,3.8,3.995
88,3,3.8,4
88,11,3.8,4
100,6,3.8,4
100,2,3.8,4
