SITE,PLOT,SOM1971,SOM resurvey,,
17,13,18.387,6.976975,,
74,11,41.763,8.57786,,
29,10,16.222,8.9,,
10,13,7.698,9.3,,
90,14,11.62,9.421426,,
92,16,62.933,9.429906,,
97,4,35.322,9.615072,,
45,10,9.295,9.958764,,
72,6,31.025,10.4,,
69,1,30.602,11.16087,,
80,8,27.885,11.8,,
20,15,12.106,12.5,,
69,9,11.237,12.96413,,
78,1,30.93,13.07123,,
60,9,81.951,14.6,,
29,14,10.749,14.7,,
37,9,15.354,14.89512,,
60,12,54.518,16.3,,
50,16,65.747,16.82526,,
89,10,31.308,19.2,,
39,16,20.808,19.7389,,
83,1,32.313,19.79811,,
89,2,30.688,21.5,,
43,7,30.693,21.57953,,
17,16,20.546,21.62367,,
39,2,73.875,21.90573,,
45,8,15.54,22.86546,,
96,12,63.495,23.88031,,
39,1,24.212,25.8207,,
39,6,50.29,26.75682,,
90,1,46.076,27.45509,,
39,11,51.975,28.42818,,
72,12,33.689,29.4,,
60,11,72.527,29.8,,
86,11,21.88,29.87387,,
58,7,40.482,31.87524,,
29,8,10.508,33.9,,
32,4,20.654,34.5,,
39,9,24.605,36.90983,,
73,16,49.856,39.4,,
90,11,83.599,40.92294,,
73,8,41.058,46.5,,
40,14,23.864,51.3,,
86,10,79.372,63.84535,,
89,14,34.938,67.5,,
89,1,90.108,69.3,,
102,7,39.122,89.8,,
74,16,51.146,,,
63,7,9.941,1.634257,,
4,11,11.315,4.317585,,
4,8,5.357,5.103715,,
82,2,6.107,5.8,,
67,5,7.541,5.907206,,
63,1,18.165,5.990622,,
26,3,14.258,6.16718,,
93,2,7.895,6.208851,,
57,1,7.744,6.210756,,
15,15,11.805,6.267421,,
5,6,9.711,6.4,,
66,8,12.109,6.41,,
36,11,13.402,6.533351,,
67,10,5.083,6.551514,,
91,9,4.179,6.6,,
16,6,9.41,6.6,,
44,4,23.713,6.623051,,
17,11,10.756,6.684134,,
45,12,13.111,6.816267,,
46,6,8.553,6.875825,,
93,1,6.326,6.876894,,
91,3,8.504,7,,
57,11,6.721,7.067977,,
69,3,7.833,7.192091,,
50,9,18.522,7.272179,,
47,2,19.515,7.284395,,
93,13,7.498,7.361182,,
16,3,5.729,7.4,,
66,9,5.524,7.43,,
45,5,8.049,7.437221,,
45,7,8.732,7.540478,,
26,7,8.368,7.547471,,
35,5,12.889,7.584098,,
3,1,11.807,7.629428,,
26,15,9.267,7.667644,,
82,10,7.891,7.7,,
15,4,9.86,7.707662,,
