BRC names,BRC number,Woody
Filamentous algae,8,
Algal mat,22,
Blue-green algae,23,
Green alga,24,
Green algae (terrestrial),25,
Grass sp.,26,
Turf fucoids,27,
Lamium/glechoma seedling,28,
Riccardia/aneura sp.,29,
Bryophyte sp.,2500,
Acaulon muticum,8201,
Calliergon cordifolium,8203,
Calliergon cuspidatum,8204,
Calliergon giganteum,8205,
Calliergon sarmentosum,8206,
Calliergon stramineum,8207,
Calliergon trifarium,8208,
Aloina aloides var.aloides,8209,
Acanthus mollis,9202,
Acer campestre,9203,w
Acer platanoides,9204,w
Acer pseudoplatanus,9205,w
Aceras anthropophorum,9206,
Achillea millefolium,9207,
Achillea ptarmica,9209,
Sphaerophorus fragilis,55093,
Sphaerophorus globosus,55094,
Sphaerophorus melanocarpus,55095,
Aloina aloides var.ambigua,82010,
Aloina brevirostris,82011,
Aloina rigida,82012,
Amblyodon dealbatus,82013,
Platydictya confervoides,82014,
Platydictya jungermannioides,82015,
Amblystegium compactum,82016,
Amblystegium humile,82018,
Amblystegium serpens,82019,
Amblystegium varium,82020,
Amphidium lapponicum,82021,
Amphidium mougeotii,82022,
Andreaea alpina,82023,
Andreaea nivalis,82024,
Anoectangium aestivum,82027,
Anomobryum filiforme var.concinnatum,82028,
Anomobryum filiforme var.filiforme,82029,
Anomodon attenuatus,82031,
Anomodon longifolius,82032,
Anomodon viticulosus,82033,
Antitrichia curtipendula,82034,
Archidium alternifolium,82035,
Arctoa fulvella,82036,
Atrichum angustatum,82037,
Atrichum crispum,82038,
Atrichum tenellum,82039,
Atrichum undulatum,82040,
Aulacomnium androgynum,82041,
Aulacomnium palustre,82042,
Aulacomnium turgidum,82043,
Barbula acuta,82044,
Barbula convoluta,82045,
Barbula convoluta var.commutata,82045.1,
Barbula cordata,82046,
Barbula cylindrica,82047,
Barbula fallax,82048,
Barbula ferruginascens,82049,
Barbula glauca,82050,
Barbula hornschuchiana,82051,
Barbula icmadophila,82052,
Barbula nicholsonii,82053,
Barbula recurvirostra,82054,
Barbula reflexa,82055,
Barbula maxima,82055.2,
Barbula revoluta,82056,
Barbula rigidula,82057,
Barbula spadicea,82059,
Barbula tophacea,82060,
Barbula trifaria,82061,
Barbula unguiculata,82062,
Barbula vinealis,82063,
Bartramia halleriana,82064,
Bartramia ithyphylla,82065,
Bartramia pomiformis,82066,
Bartramia stricta,82067,
Bartramidula wilsonii,82068,
Blindia acuta,82069,
Blindia caespiticia,82070,
Brachydontium trichodes,82071,
Brachythecium albicans,82072,
Brachythecium erythrorrhizon,82073,
Brachythecium glaciale,82074,
Brachythecium glareosum,82075,
Brachythecium mildeanum,82076,
Brachythecium plumosum,82077,
Brachythecium populeum,82078,
Brachythecium reflexum,82079,
Brachythecium rivulare,82080,
Brachythecium rutabulum,82081,
Brachythecium salebrosum,82082,
Brachythecium starkei,82083,
Brachythecium velutinum,82084,
Breutelia chrysocoma,82085,
Bryum creberrimum,82086,
Bryum alpinum,82087,
Bryum arcticum,82088,
Bryum argenteum,82089,
Bryum argenteum var.lanatum,82089.2,
Bryum bicolor sens.lat.,82090,
Bryum caespiticium,82091,
Bryum calophyllum,82092,
Bryum canariense,82093,
Bryum capillare,82094,
Bryum dixonii,82095,
Bryum donianum,82096,
Bryum gemmiparum,82098,
Bryum inclinatum,82099,
Adiantum capillus-veneris,91017,
Clinopodium acinos,92012,
Aconitum napellus,92014,
Acorus calamus,92015,
Actaea spicata,92016,
Adonis annua,92018,
Adoxa moschatellina,92019,
Aegopodium podagraria,92020,
Aethusa cynapium,92021,
