,BRC names,BRC number,Woody
0,Abies procera,9202397,
1,Acer campestre,9203,
2,Acer platanoides,9204,
3,Acer pseudoplatanus,9205,
4,Achillea millefolium,9207,
5,Aconitum napellus,92014,
6,Actaea spicata,92016,w
7,Adoxa moschatellina,92019,
8,Aesculus hippocastanum,9202241,
9,Agrimonia eupatoria,92022,
10,Agrostis canina sens.lat.,92035,
11,Agrostis canina sens.str.,92035,
12,Agrostis vinealis,92035,
13,Agrostis capillaris,92040,
14,Agrostis gigantea,92036,
15,Agrostis stolonifera,92039,
16,Aira praecox,92042,
17,Ajuga reptans,92046,
18,Alchemilla glabra,92051,
19,Alisma plantago-aquatica,92063,
20,Alliaria petiolata,92064,
21,Allium ursinum,92075,
22,Alnus glutinosa,92077,
23,Alopecurus pratensis,92085,
24,Anagallis tenella,920100,
25,Anemone nemorosa,920105,
26,Angelica sylvestris,920109,
27,Anthoxanthum odoratum,920121,
28,Anthriscus sylvestris,920125,
29,Apium nodiflorum,920137,
30,Arabidopsis thaliana,920142,
31,Arabis hirsuta,920146,
32,Arctium agg.,920150,
33,Arctostaphylos uva-ursi,920155,
34,Arrhenatherum elatius,920169,
35,Artemisia vulgaris,920175,
36,Arum maculatum,920176,
37,Asplenium adiantum-nigrum,910185,
38,Asplenium onopteris,910185,
39,Asplenium ruta-muraria,910192,
40,Asplenium trichomanes,910194,
41,Athyrium filix-femina,910211,
42,Atriplex patula,920218,
43,Atropa belladonna,920219,
44,Avena sativa,9202988,
45,Azalea spp.,200001691,
46,Bellis perennis,920231,
47,Betula pubescens,920240,
48,Betula pubescens subsp.tortuosa,920240,
49,Betula seedling/sp,9204445,
50,Blechnum spicant,910244,
51,Brachypodium sylvaticum,920250,
52,Briza media,920256,
53,Bromopsis erecta,920263,
54,Bromopsis ramosa,920272,
55,Bromus hordeaceus,920269,
56,Bryonia dioica,920276,
57,Callitriche seedling/sp,9202249,
58,Calluna vulgaris,920309,
59,Caltha palustris,920310,
60,Caltha palustris ssp.minor,920310,
61,Campanula glomerata,920315,
62,Campanula latifolia,920316,
63,Campanula rotundifolia,920322,
64,Campanula trachelium,920323,
65,Capsella bursa-pastoris,920325,
66,Cardamine flexuosa,920328,
67,Cardamine hirsuta/flexuosa,2000070,
68,Carduus crispus,920335,
69,Carex binervis,920350,
70,Carex caryophyllea,920355,
71,Carex distans,920366,
72,Carex echinata,920370,
73,Carex flacca,920376,
74,Carex laevigata,920385,
75,Carex nigra,920393,
76,Carex ovalis,920397,
77,Carex pallescens,920399,
78,Carex panicea,920400,
79,Carex paniculata,920401,
80,Carex pendula,920404,
81,Carex pilulifera,920405,
82,Carex pseudocyperus,920407,
83,Carex pulicaris,920408,
84,Carex remota,920412,
85,Carex rostrata,920414,
86,Carex strigosa,920420,
87,Carex sylvatica,920421,
88,Carex vesicaria,920424,
89,Carex viridula subsp.oedocarpa,920361,
90,Carlina vulgaris,920427,
91,Carpinus betulus,920428,
92,Carum verticillatum,920431,
93,Castanea sativa,920432,
94,Centaurea debeauxii,920444,
95,Centaurea nigra,920444,
96,Centaurium erythraea,9205486,
97,Cephalanthera longifolia,920458,
98,Cerastium fontanum,920467,
99,Cerastium glomeratum,920466,
100,Ceratocapnos claviculata,920555,
101,Ceratophyllum demersum,920471,
102,Chaerophyllum temulum,920476,
103,Chamerion angustifolium,920477,
104,Chrysosplenium alternifolium,920505,
105,Chrysosplenium oppositifolium,920506,
106,Cicuta virosa,920510,
107,Circaea lutetiana,920513,
108,Cirsium arvense,920515,
109,Cirsium heterophyllum,920518,
110,Cirsium palustre,920520,
111,Cirsium vulgare,920522,
112,Clematis vitalba,920528,
113,Conopodium majus,920541,
114,Convallaria majalis,920543,
115,Convolvulus arvensis,920544,
116,Cornus sanguinea,920548,
117,Corylus avellana,920557,
118,Cotoneaster integrifolius,920562,
119,Crataegus laevigata,920570,
120,Crataegus monogyna,920569,
121,Crepis capillaris,920572,
122,Crepis paludosa,920576,
123,Cruciata laevipes,920875,
124,Cryptogramma crispa,910586,
125,Cynoglossum officinale,920596,
126,Cynosurus cristatus,920597,
127,Cytisus scoparius,9201822,
128,Cytisus scoparius subsp.maritimus,9201822,
129,Dactylis glomerata,920607,
130,Dactylorhiza purpurella,920613,
131,Dactylorhiza sp.,9204528,
132,Danthonia decumbens,9201915,
133,Daphne laureola,920617,
134,Daphne mezereum,920618,
135,Deschampsia cespitosa,920627,
136,Deschampsia flexuosa,920628,
137,Digitalis purpurea,920640,
138,Dipsacus fullonum,920646,
139,Dipsacus sativus,920646,
140,Drosera rotundifolia,920657,
141,Dryopteris dilatata/carthusiana,200001583,
142,Dryopteris filix-mas,910665,
143,Elodea canadensis,920681,
144,Elymus caninus,9207006,
145,Elytrigia repens,92033,
146,Empetrum nigrum,920684,
147,Epilobium brunnescens,920699,
148,Epilobium hirsutum,920692,
149,Epilobium montanum,920695,
150,Epilobium palustre,920697,
151,Epilobium parviflorum,920698,
152,Epilobium tetragonum,9207292,
153,Epipactis atrorubens,920702,
154,Epipactis helleborine,920705,
155,Equisetum arvense,910712,
156,Equisetum fluviatile,910713,
157,Equisetum sylvaticum,910720,
158,Equisetum telmateia,910721,
159,Erica cinerea,920726,
160,Erica tetralix,920731,
161,Eriophorum angustifolium,920740,
162,Eriophorum vaginatum,920744,
163,Euonymus europaeus,920762,
164,Eupatorium cannabinum,920763,
165,Euphorbia agg.,20000158,
166,Euphorbia amygdaloides,920764,
167,Euphorbia peplus,920777,
168,Fagus sylvatica,920810,
169,Festuca altissima,920812,
170,Festuca arundinacea,920813,
171,Festuca gigantea,920816,
172,Festuca ovina agg.,920821,
173,Festuca rubra agg.,920824,
174,Festuca vivipara,920826,
175,Filipendula ulmaria,920833,
176,Filipendula vulgaris,920834,w
177,Fragaria vesca,920838,
178,Fraxinus excelsior (c),920841,
179,Galeopsis speciosa,920867,
180,Galeopsis tetrahit agg.,920868,
181,Galium aparine,920873,
182,Galium mollugo,920879,
183,Galium odoratum,920183,
184,Galium palustre,920882,
185,Galium palustre subsp.elongatum,920882,
186,Galium pumilum,920883,
187,Galium sterneri,920883,
188,Galium saxatile,920878,
189,Galium verum,920888,
190,Genista tinctoria,920893,
191,Geranium columbinum,920906,
192,Geranium dissectum,920907,
193,Geranium pratense,920914,
194,Geranium robertianum,920918,
195,Geranium sylvaticum,920921,
196,Geum rivale,920924,
197,Geum rivale x urbanum (G. x intermedium),920923,
198,Geum urbanum,920925,
199,Glechoma hederacea,920931,
200,Glyceria fluitans,920933,
201,Glyceria maxima,920934,
202,Gnaphalium uliginosum,920941,
203,Goodyera repens,920943,
204,Gymnadenia conopsea,920948,
205,Gymnocarpium dryopteris,9102050,
206,Hedera helix,920952,
207,Helianthemum nummularium,920955,
208,Heracleum sphondylium,920968,
209,Hieracium 'indeterminate',9202560,
210,Holcus lanatus,920983,
211,Holcus mollis,920984,
212,Hordelymus europaeus,920989,
213,Hordeum distichon sens.lat.,9204368,
214,Hyacinthoides non-scripta,920687,
215,Hydrangea spp.,200001690,
216,Hydrocotyle vulgaris,920999,
217,Hymenophyllum wilsonii,9101001,
218,Hypericum androsaemum,9201003,
219,Hypericum hirsutum,9201010,
220,Hypericum humifusum,9201011,
221,Hypericum perforatum,9201014,
222,Hypericum pulchrum,9201015,
223,Hypericum tetrapterum,9201016,
224,Hypochoeris spp.,200001584,
225,Ilex aquifolium,9201023,
226,Impatiens glandulifera,9201026,
227,Impatiens noli-tangere,9201027,
228,Inula conyzae,9201030,
229,Iris foetidissima,9201036,
230,Iris pseudacorus,9201038,
231,Jasione montana,9201048,
232,Juncus ambiguus,9201057,
233,Juncus bufonius sens.lat.,9201057,
234,Juncus bufonius sens.str.,9201057,
235,Juncus foliosus,9201057,
236,Juncus articulatus/acutiflora,20000228,
237,Juncus bulbosus,9201058,
238,Juncus bulbosus fluitans,9201058,
239,Juncus conglomeratus,9201063,
240,Juncus effusus,9201067,
241,Juncus inflexus,9201070,
242,Juncus squarrosus,9201075,
243,Juniperus communis,9201080,
244,Juniperus communis subsp.alpina,9201080,
245,Juniperus communis subsp.communis,9201080,
246,Knautia arvensis,9201084,
247,Koeleria macrantha,9201087,
248,Lamiastrum galeobdolon,920862,
249,Lamium album,9201098,
250,Lapsana communis,9201104,
251,Larix sp.,9204442,
252,Lathyrus linifolius,9201112,
253,Lathyrus pratensis,9201116,
254,Lathyrus sylvestris,9201117,
255,Lemna minor,9201126,
256,Leontodon sp.,9204539,
257,Leucanthemum vulgare,920502,
258,Ligustrum vulgare,9201144,
259,Linaria vulgaris,9201164,
260,Linum catharticum,9201169,
261,Listera cordata,9201172,
262,Listera ovata,9201173,
263,Lolium multiflorum,9201182,
264,Lolium perenne,9201183,
265,Lonicera nitida,9202613,
266,Lonicera periclymenum,9201188,
267,Lotus corniculatus,9201191,
268,Lotus pedunculatus,9201194,
269,Luzula campestris/multiflora,9205049,
270,Luzula luzuloides,9201203,
271,Luzula pilosa,9201207,
272,Luzula sylvatica,9201209,
273,Lychnis flos-cuculi,9201210,
274,Lycopus europaeus,9201219,
275,Lysimachia nemorum,9201221,
276,Lysimachia nummularia,9201222,
277,Lysimachia thyrsiflora,9201350,
278,Lysimachia vulgaris,9201225,
279,Lythrum portula,9201444,
280,Mahonia aquifolium,9201228,
281,Malus domestica,9201230,
282,Malus sylvestris,9201230,
283,Malva sylvestris,9201236,
284,Matricaria discoidea,9201242,
285,Meconopsis cambrica,9201246,
286,Medicago lupulina,9201250,
287,Melampyrum pratense,9201256,
288,Melica nutans,9201262,
289,Melica uniflora,9201263,
290,Melilotus officinalis,9201267,
291,Mentha aquatica,9201272,
292,Mentha arvensis,9201273,
293,Mercurialis perennis,9201291,
294,Milium effusum,9201296,
295,Mimulus guttatus,9204328,
296,Moehringia trinervia,9201305,
297,Molinia caerulea,9201307,
298,Mycelis muralis,9201315,
299,Myosotis scorpioides,9201322,
300,Myosotis seedling/sp,9204542,
301,Myrica gale,9201328,w
302,Myrrhis odorata,9201333,
303,Nardus stricta,9201344,
304,Narthecium ossifragum,9201345,
305,Nymphaea alba,9201358,
306,Odontites vernus,9201361,
307,Odontites vernus subsp.serotinus,9201361,w
308,Oenanthe crocata,9201363,
309,Onopordum acanthium,9201379,
310,Ophioglossum azoricum,9101381,
311,Ophioglossum vulgatum,9101381,
312,Orchis mascula,9201387,
313,Oreopteris limbosperma,9102051,
314,Origanum vulgare,9201393,
315,Orobanche sp.,200001585,
316,Oxalis acetosella,9201413,
317,Parietaria judaica,9201435,
318,Paris quadrifolia,9201436,
319,Parnassia palustris,9201437,
320,Pedicularis palustris,9201441,
321,Pedicularis sylvatica,9201442,
322,Persicaria amplexicaulis,9202246,
323,Persicaria bistorta,9201525,
324,Persicaria hydropiper,9201530,
325,Persicaria maculosa,9201537,
326,Persicaria vivipara,9201543,
327,Petasites spp.,200001696,
328,Phalaris arundinacea,9201454,
329,Phegopteris connectilis,9102053,
330,Phleum pratense sens.lat.,9202247,
331,Phyllitis scolopendrium,9101466,
332,Picea sp,9205155,
333,Picris echioides,9201471,
334,Pilosella officinarum,920976,
335,Pimpinella major,9201475,
336,Pimpinella saxifraga,9201476,
337,Pinguicula lusitanica,9201480,
338,Pinguicula vulgaris,9201481,
339,Pinus sylvestris,9201484,
340,Plantago lanceolata,9201487,
341,Plantago major,9201488,
342,Platanthera chlorantha,9201493,
343,Poa angustifolia,9201506,
344,Poa pratensis sens.lat.,9201506,
345,Poa annua,9201495,
346,Poa humilis,9201507,
347,Poa trivialis,9201507,
348,Poa nemoralis,9201504,
349,Poa nemoralis/trivialis,200001593,
350,Polygala calcarea,9201512,
351,Polygala oxyptera,9201515,
352,Polygala serpyllifolia,9201514,
353,Polygonatum multiflorum,9201516,
354,Polygonatum odoratum,9201518,
355,Polygonum aviculare agg.,9201522,
356,Polygonum lapathifolium,9201531,
357,Polypodium cambricum,9101544,
358,Polypodium interjectum,9101544,
359,Polypodium vulgare sens.lat.,9101544,
360,Polypodium vulgare sens.str.,9101544,
361,Polystichum aculeatum,9101546,
362,Polystichum setiferum,9101548,
363,Populus tremula,9201555,
364,Potamogeton polygonifolius,9201576,
365,Potentilla anserina,9201584,
366,Potentilla erecta,9201588,
367,Potentilla palustris,9201592,
368,Potentilla reptans,9201594,
369,Potentilla sterilis,9201596,
370,Primula elatior,9201600,
371,Primula veris,9201605,w
372,Primula vulgaris,9201607,
373,Prunella vulgaris,9201610,
374,Prunus avium,9201611,
375,Prunus laurocerasus,9201615,
376,Prunus padus,9201616,w
377,Prunus spinosa,9201617,
378,Pseudotsuga spp.,9205178,
379,Pteridium aquilinum,9101619,
380,Pulicaria dysenterica,9201625,
381,Pulmonaria longifolia,9201627,
382,Pyrola minor,9201631,
383,Quercus ilex,9201637,
384,Quercus seedling/sp,9204446,
385,Ranunculus acris,9201642,
386,Ranunculus flammula,9201651,
387,Ranunculus repens,9201660,
388,Rhamnus cathartica,9201675,
389,Rhinanthus sp.,9205193,
390,Rhododendron ponticum,9201687,
391,Ribes nigrum,9201694,
392,Ribes rubrum,9201696,
393,Ribes uva-crispa,9201697,
394,Robinia pseudoacacia,9201698,
395,Rorippa nasturtium-aquaticum agg.,9201348,w
396,Rosa seedling/sp,9201705,
397,Rubia peregrina,9201725,
398,Rubus fruticosus agg.,9201728,
399,Rubus idaeus,9201729,w
