,Yr,BRC names,sumdbh
0,1,Abies sp.,90
1,1,Acer campestre,3043
2,1,Acer platanoides,6
3,1,Acer pseudoplatanus,11121
4,1,Acer sp.,31
5,1,Aesculus hippocastanum,164
6,1,Alnus glutinosa,3622
7,1,Azalea spp.,6
8,1,Betula seedling/sp,18335
9,1,Carpinus betulus,725
10,1,Castanea sativa,2212
11,1,Chamaecyparis lawsoniana,46
12,1,Clematis vitalba,4
13,1,Cornus sanguinea,974
14,1,Corylus avellana,66854
15,1,Crataegus monogyna,6298
16,1,Cytisus scoparius,92
17,1,Euonymus europaeus,508
18,1,Fagus sylvatica,6199
19,1,Frangula alnus,8
20,1,Fraxinus excelsior (c),22182
21,1,Ilex aquifolium,2143
22,1,Juniperus communis,3290
23,1,Larix sp.,2458
24,1,Ligustrum vulgare,384
25,1,Malus domestica,4
26,1,Malus sylvestris,95
27,1,Picea abies,921
28,1,Picea sitchensis,359
29,1,Pinus nigra,7
30,1,Pinus sp./seedling,488
31,1,Pinus sylvestris,1342
32,1,Populus alba,4
33,1,Populus canescens,16
34,1,Populus deltoides,8
35,1,Populus nigra,7
36,1,Populus sp.,106
37,1,Populus tremula,488
38,1,Prunus avium,724
39,1,Prunus cerasus,122
40,1,Prunus domestica,2
41,1,Prunus laurocerasus,512
42,1,Prunus padus,371
43,1,Prunus sp.,20
44,1,Prunus spinosa,1800
45,1,Pseudotsuga spp.,124
46,1,Quercus cerris,13
47,1,Quercus ilex,81
48,1,Quercus seedling/sp,25121
49,1,Rhamnus cathartica,222
50,1,Rhododendron ponticum,2180
51,1,Rhododendron spp.,408
52,1,Ribes sp.,2
53,1,Ribes uva-crispa,6
54,1,Robinia pseudoacacia,47
55,1,Rosa seedling/sp,632
56,1,Salix aurita,19
57,1,Salix caprea,605
58,1,Salix cinerea,353
59,1,Salix fragilis,24
60,1,Salix herbacea,38
61,1,Salix seedling/sp,2241
62,1,Salix viminalis,118
63,1,Sambucus nigra,3110
64,1,Sorbus aria,26
65,1,Sorbus aucuparia,3625
66,1,Sorbus sp.,128
67,1,Sorbus torminalis,130
68,1,Symphoricarpos albus,112
69,1,Taxus baccata,558
70,1,Thuja spp.,30
71,1,Tilia cordata,108
72,1,Tilia sp.,373
73,1,Tilia x vulgaris,98
74,1,Tsuga heterophylla,61
75,1,Ulex sp.,10
76,1,Ulex sp./seedling,238
77,1,Ulmus glabra,965
78,1,Ulmus sp.,8978
79,1,Viburnum lantana,310
80,1,Viburnum opulus,330
81,2,Abies sp.,403
82,2,Acer campestre,1656
83,2,Acer platanoides,59
84,2,Acer pseudoplatanus,9821
85,2,Aesculus hippocastanum,391
86,2,Alnus glutinosa,3652
87,2,Betula pendula,68
88,2,Betula pubescens,111
89,2,Betula seedling/sp,12338
90,2,Buddleja davidii,4
91,2,Carpinus betulus,1184
92,2,Castanea sativa,2110
93,2,Chamaecyparis lawsoniana,4
94,2,Cornus sanguinea,48
95,2,Corylus avellana,37184
96,2,Cotoneaster sp.,4
97,2,Crataegus laevigata,148
98,2,Crataegus laevigata x monogyna (C. x macrocarpa),34
99,2,Crataegus monogyna,3220
100,2,Cytisus scoparius,54
101,2,Euonymus europaeus,241
102,2,Fagus sylvatica,4413
103,2,Frangula alnus,26
104,2,Fraxinus excelsior (c),16744
105,2,Ilex aquifolium,5336
106,2,Juglans regia,4
107,2,Juniperus communis,164
108,2,Laburnum anagyroides,5
109,2,Larix sp.,1674
110,2,Ligustrum vulgare,24
111,2,Lonicera periclymenum,12
112,2,Malus domestica,23
113,2,Malus sylvestris,152
114,2,Nothofagus nervosa,35
115,2,Picea abies,373
116,2,Picea sitchensis,429
117,2,Picea sp,300
118,2,Pinus nigra,360
119,2,Pinus sp./seedling,548
120,2,Pinus sylvestris,2187
121,2,Populus canescens,24
122,2,Populus nigra,23
123,2,Populus sp.,346
124,2,Populus tremula,117
125,2,Prunus avium,403
126,2,Prunus domestica,58
127,2,Prunus laurocerasus,1020
128,2,Prunus padus,217
129,2,Prunus sp.,46
130,2,Prunus spinosa,1114
131,2,Pseudotsuga spp.,508
132,2,Pyrus sp.,13
133,2,Quercus cerris,6
134,2,Quercus ilex,6
135,2,Quercus robur,11
136,2,Quercus seedling/sp,18124
137,2,Rhamnus cathartica,74
138,2,Rhododendron ponticum,1052
139,2,Rhododendron spp.,456
140,2,Ribes uva-crispa,2
141,2,Rosa arvensis,2
142,2,Rosa canina agg.,14
143,2,Rosa seedling/sp,58
144,2,Salix aurita,300
145,2,Salix caprea,729
146,2,Salix cinerea,217
147,2,Salix fragilis,28
148,2,Salix repens agg.,62
149,2,Salix seedling/sp,552
150,2,Sambucus nigra,1883
151,2,Sambucus racemosa,85
152,2,Sorbus aria,3
153,2,Sorbus aucuparia,2265
154,2,Sorbus lancastriensis,9
155,2,Sorbus sp.,45
156,2,Sorbus torminalis,9
157,2,Symphoricarpos albus,6
158,2,Syringa vulgaris,8
159,2,Taxus baccata,497
160,2,Thuja plicata,53
161,2,Tilia cordata,302
162,2,Tilia sp.,105
163,2,Tilia x vulgaris,17
164,2,Tsuga heterophylla,37
165,2,Ulex europaeus,18
166,2,Ulex sp.,26
167,2,Ulmus glabra,111
168,2,Ulmus minor (c),267
169,2,Ulmus procera,1178
170,2,Ulmus sp.,1574
171,2,Viburnum opulus,54
