BRC,species,,ms,flag
9202039,Taxus baccata,,am,1
9204446,Quercus seedling/sp,,em,0
920841,Fraxinus excelsior (c),,am,2
9204526,Cotoneaster sp.,,am,0
920557,Corylus avellana,,em,0
9204442,Larix sp.,,em,0
9202119,Ulmus glabra,,am,0
9201967,Sorbus lancastriensis,,am,0
9201960,Sorbus aucuparia,,am,0
920569,Crataegus monogyna,,em,2
9204445,Betula seedling/sp,,em,2
9201230,Malus sylvestris,,am,2
92077,Alnus glutinosa,,d,2
200001670,Ulex sp.,,am,0
9204558,Salix seedling/sp,,u,2
9201788,Salix caprea,,em,2
9201023,Ilex aquifolium,,am,2
9205178,Pseudotsuga spp.,,em,0
9205,Acer pseudoplatanus,,am,2
920810,Fagus sylvatica,,em,2
9201611,Prunus avium,,am,0
9201614,Prunus domestica,,am,0
9201470,Picea abies,,em,0
9204407,Nothofagus nervosa,,em,0
9204546,Pinus sp./seedling,,em,2
9201616,Prunus padus,,am,2
9201815,Sambucus nigra,,u,1
9205194,Rhododendron spp.,,er,0
920432,Castanea sativa,,em,0
9201484,Pinus sylvestris,,em,0
9202063,Tilia cordata,,em,0
9201482,Pinus nigra,,em,2
920239,Betula pendula,,em,0
920240,Betula pubescens,,em,0
9201555,Populus tremula,,d,2
9201617,Prunus spinosa,,am,2
920568,Crataegus laevigata x monogyna (C. x macrocarpa),,em,0
9203,Acer campestre,,am,0
9201635,Quercus cerris,,em,0
200001651,Populus sp.,,d,0
9201789,Salix cinerea,,d,0
920428,Carpinus betulus,,em,2
9201615,Prunus laurocerasus,,u,1
9201687,Rhododendron ponticum,,er,1
9205313,Ulex sp./seedling,,am,0
9201637,Quercus ilex,,em,0
9204552,Prunus sp.,,am,2
9201705,Rosa seedling/sp,,am,0
9204314,Ulmus sp.,,am,0
920548,Cornus sanguinea,,am,0
9202185,Viburnum opulus,,am,0
9202184,Viburnum lantana,,am,2
920762,Euonymus europaeus,,am,0
9204658,Abies sp.,,em,0
9202022,Symphoricarpos albus,,am,0
9201958,Sorbus aria,,am,0
9202401,Picea sitchensis,,em,2
9202398,Chamaecyparis lawsoniana,,am,0
9202122,Ulmus procera,,am,2
920570,Crataegus laevigata,,em,0
9201144,Ligustrum vulgare,,am,0
920839,Frangula alnus,,am,0
9201675,Rhamnus cathartica,,am,2
9204561,Sorbus sp.,,am,0
9201188,Lonicera periclymenum,,am,0
9201802,Salix repens agg.,,d,0
9201551,Populus canescens,,d,0
9202065,Tilia x vulgaris,,em,0
9202241,Aesculus hippocastanum,,am,0
9205289,Tilia sp.,,em,0
9201697,Ribes uva-crispa,,am,0
9202404,Tsuga heterophylla,,em,0
9205155,Picea sp,,em,0
9204,Acer platanoides,,am,0
9201640,Quercus robur,,em,0
200001691,Azalea spp.,,er,0
9201613,Prunus cerasus,,am,0
9201708,Rosa canina agg.,,am,0
9202112,Ulex europaeus,,am,0
9201977,Sorbus torminalis,,am,0
9202115,Ulmus minor (c),,am,2
920528,Clematis vitalba,,am,0
9201707,Rosa arvensis,,am,0
9201230.1,Malus domestica,,am,0
9204313,Populus nigra,,d,0
920277,Buddleja davidii,,am,0
9201698,Robinia pseudoacacia,,am,1
9202403,Thuja plicata,,am,1
9201822,Cytisus scoparius,,am,2
9201080,Juniperus communis,,am,2
9204550,Populus deltoides,,d,0
200001596,Ribes sp.,,am,0
9201805,Salix viminalis,,d,0
9201816,Sambucus racemosa,,u,1
9201787,Salix aurita,,em,2
9201793,Salix fragilis,,em,0
9201049,Juglans regia,,am,1
9201794,Salix herbacea,,d,0
9205288,Thuja spp.,,am,0
9201549,Populus alba,,d,0
200001601,Acer sp.,,am,0
9201091,Laburnum anagyroides,,u,0
9202029,Syringa vulgaris,,am,0
200001656,Pyrus sp.,,am,0
