Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
1,1,12,81,0,0.539961237,17.2,3.8,0,1,W10,em,t
1,2,12,119.5,0,4.80663676,17.4,3.9,0,1,W10,em,t
1,3,13,107,0,1.537416905,11.3,4.3,341.6482011,12,W10,em,t
1,4,8,19,0,1.083849465,19.5,3.9,0,2,W10,em,t
1,5,16,98,0,1.462804079,8.4,4.5,322.013247,13,W10,em,t
1,6,19,100.5,0,1.502073987,42.2,4.1,0,4,W10,em,t
1,7,25,82.5,0,1.315541924,14.7,4.2,0,2,W10,em,t
1,8,16,9,1,1.743583923,33.2,4.2,78.53981634,163,W10,em,t
1,9,29,97,3,0.960149255,16.3,5.3,282.7433388,15,W10,em,t
1,10,17,31.5,2,1.470658061,11.8,4.8,255.2544031,35,W10,em,t
1,11,18,18.5,0,0.675442421,27.1,4.2,0,4,W10,em,t
1,12,21,53.5,7,1.072068493,12.8,5.2,310.2322745,3,W8,am,t
1,13,15,97,0,1.003346154,16.4,4,0,12,W10,em,t
1,14,14,63.5,0,1.574723318,20,4.1,0,4,W10,em,t
1,15,13,76.5,0,1.623810703,35.5,4,0,3,W10,em,t
1,16,9,89,1,0.645989989,12.2,4.3,70.68583471,3,W21,am,o
2,1,20,16,0,1.280199006,6.7,5,0,25,W10,em,t
2,2,8,48,3,1.521708942,12.9,4.2,51.05088062,33,W10,em,t
2,3,13,8,0,0.567450173,7.9,4.2,0,6,W10,em,t
2,4,12,12,1,1.384264263,8.9,4.2,23.5619449,53,W10,em,t
2,5,2,16,0,0.490873852,10.4,4.3,0,1,W10,em,t
2,6,27,41,0,1.694496538,5.9,8.5,0,35,W10,em,t
2,7,13,12.5,4,3.581415625,7.3,5.5,255.2544031,6,W10,em,t
2,9,1,10,0,2.326742059,17.7,4.1,0,1,W15,em,t
2,10,3,6.5,0,0.255254403,11.2,4.4,19.63495408,3,W16,em,t
2,11,16,19.5,2,0.746128255,17.2,4.5,54.97787144,6,W10,em,t
2,12,24,59,2,2.238384766,12.6,5.3,7.853981634,3,W10,em,t
2,13,26,117,0,,6.3,4.9,,5,OV27,am,o
2,14,20,115,1,2.051852702,20.2,4.3,176.7145868,3,W10,em,t
2,15,2,5.5,2,0.206167018,7.8,4.4,0,1,W10,em,t
2,16,3,16,1,1.663080611,14.5,4.2,0,81,W16,em,t
3,1,4,2.5,4,0.885536429,7.629428,5.472,1142.754328,2,OV27,am,o
3,2,22,62.5,0,0.720602815,7.686926,5.505,620.4645491,2,OV27,am,o
3,3,11,87.5,1,1.307687942,10.09634,4.439,98.17477042,12,W10,em,t
3,4,12,42,0,1.093666943,7.927597,4.611,0,11,W10,em,t
3,5,19,67,1,1.178097245,10.67299,5.397,687.223393,20,OV27,am,o
3,6,16,93.5,0,0.750055246,10.21175,4.861,0,14,W10,em,t
3,7,15,44.5,0,0.056941367,16.32373,4.678,7.853981634,14,W10,em,t
3,8,8,14.5,0,0.404480054,13.05068,4.053,94.24777961,4,W10,em,t
3,9,7,4.5,1,1.3685563,8.425762,4.877,168.8606051,5,OV27,am,o
3,10,3,80.5,0,0.331830724,10.08697,3.888,0,11,W10,em,t
3,11,8,6.5,0,2.915790682,10.65224,5.517,270.9623664,14,W10,em,t
3,12,12,17.5,0,2.446515279,8.378712,5.41,117.8097245,8,W10,em,t
3,13,4,121.5,0,0.891426915,11.09014,4.144,0,32,W16,em,t
3,14,1,100,1,0,,,0,0,W10,em,t
3,15,9,94,1,1.288052988,12.35835,4.72,0,15,W10,em,t
3,16,5,112.5,0,0.402516559,10.17873,4.167,0,13,W16,em,t
4,1,15,88,3,1.270381529,9.513527,6.462,172.7875959,31,W8,am,t
4,2,15,63.5,1,0.918915851,9.966352,5.646,149.225651,21,W10,em,t
4,3,14,84.5,2,0.634209017,5.518415,4.662,109.9557429,32,W10,em,t
4,4,6,46.5,0,0,21.76138,3.671,0,62,W10,em,t
4,5,12,77,1,0.343611696,13.61378,6.649,7.853981634,31,W10,em,t
4,6,10,77,7,2.059706684,14.38618,7.048,357.3561643,13,W8,am,t
4,7,6,80.5,4,0.320049752,15.20257,7.71,172.7875959,30,W8,am,t
4,8,13,108.5,3,0.214021,5.103715,5.486,125.6637061,42,W8,am,t
4,9,9,82.5,4,0.07264933,9.823525,7.193,7.853981634,1,W21,am,o
4,10,13,97.5,4,0.186532064,7.957003,6.409,66.75884389,110,W21,am,o
4,11,14,99.5,0,0,4.317585,7.375,0,1,OV21,am,o
4,12,13,118,0,2.76263804,9.226386,7.572,82.46680716,0,W21,am,o
4,13,9,66,1,1.627737694,20.66582,4.891,117.8097245,30,W10,em,t
4,14,8,116,3,0.585121632,9.157294,7.119,157.0796327,20,W8,am,t
4,15,10,121,2,1.268418034,9.231349,5.958,109.9557429,1,OV27,am,o
4,16,7,91,1,1.592394776,12.6735,6.637,62.83185307,21,W10,em,t
5,1,6,97.5,0,,10.8,8.3,,1,SD5,am,d
5,2,51,83.5,0,,8.7,8.5,,7,MG1,am,o
5,3,10,134,0,1.013163631,29.5,4,0,43,W10,em,t
5,4,3,80.5,0,0.773617191,14,4,0,92,W10,em,t
5,5,13,75.5,1,1.676825079,17.5,4,0,61,W10,em,t
5,6,47,112,0,,6.4,6.3,,13,OV27,am,o
5,7,34,87.5,0,0.720602815,10.6,4.7,0,20,W10,em,t
