sample,site,location,LAYER,pH,Mass_g_CN,N,C,Nmg,H,CN,wt_g
AW01OR,AW,1,1,4.010733333,0.135,1.8842,43.82,2.4804,6.1574,23.25655451,26.22
AW02OR,AW,2,1,4.5274,0.2423,0.4103,7.949,0.96943,1.3295,19.37362905,84.26
AW03OR,AW,3,1,4.404066667,0.1183,2.1099,45.476,2.434,6.3807,21.55362813,50.72
AW04OR,AW,4,1,4.7687,0.1788,0.0008,40.32,0.00139,0.27363,21.14,25.59
AW05OR,AW,5,1,4.4137,0.1944,3.1436,64.074,5.9592,8.4168,20.38236417,43.36
BD01OR,BD,1,1,3.5625,0.2058,1.1833,20.638,2.3746,2.937,17.44105468,37.43
BD02OR,BD,2,1,3.5,0.2317,1.0353,18.423,2.3392,2.6426,17.79484207,46.05
BD03OR,BD,3,1,3.4275,0.2076,1.3872,25.338,2.8083,3.4898,18.26557093,31.53
BD04OR,BD,4,1,3.53,0.2088,1.1929,21.54,2.4289,3.0426,18.05683628,23.35
BD05OR,BD,5,1,3.326666667,0.242,0.87578,15.342,2.0667,2.202,17.51809815,62.16
BW01OR,BW,1,1,3.89,0.1477,2.1201,41.66,3.0536,5.6558,19.65001651,22.92
BW02OR,BW,2,1,3.51,0.2334,0.662,11.806,1.5067,1.7853,17.83383686,40.93
BW03OR,BW,3,1,3.536666667,0.2538,0.92798,14.825,2.2966,2.197,15.97555982,45.49
BW04OR,BW,4,1,3.645366667,0.1953,1.6552,31.786,3.1522,4.2968,19.2037216,26.91
BW05OR,BW,5,1,3.49,0.2153,0.85799,16.412,1.8013,2.3943,19.12842807,44.23
DK01OR,DK,1,1,4.4825,0.1899,0.9862,21.315,1.8284,2.917,21.61326303,65.86
DK02OR,DK,2,1,4.673333333,0.2725,0.61396,8.7824,1.6333,1.4311,14.30451495,67.21
DK03OR,DK,3,1,3.65148,0.2079,1.5542,30.002,3.1509,3.9159,19.3038219,38.01
DK04OR,DK,4,1,4.55,0.2403,1.0046,15.843,2.3539,2.5878,15.7704559,58.7
DK05OR,DK,5,1,3.9125,0.1868,0.98579,18.17,1.7957,2.8247,18.43191755,63.47
DO01OR,DO,1,1,4.09,0.2454,0.72769,11.516,1.7413,1.8346,15.82542017,64.32
DO02OR,DO,2,1,4.455366667,0.2153,1.2132,21.153,2.5472,3.1642,17.43570722,21.81
DO03OR,DO,3,1,3.807,0.2517,0.92918,14.785,2.2806,2.3563,15.91187929,38.94
DO0OR,DO,4,1,4.396666667,0.2785,0.65349,10.51,1.7747,1.689,16.08287809,68.49
DO05OR,DO,5,1,3.970733333,0.1526,1.9998,44.327,2.9758,5.9454,22.16571657,14.61
FL01OR,FL,1,1,3.3187,0.1608,1.7578,48.582,2.7595,6.0077,27.63795654,17.94
FL02OR,FL,2,1,3.3387,0.1449,1.8213,49.107,2.5764,6.1259,26.96260913,15.43
FL03OR,FL,3,1,3.382033333,0.1912,1.8742,44.781,3.4985,5.5848,23.89339451,16.44
FL04OR,FL,4,1,3.478146667,0.217,1.9717,38.242,4.1771,4.9977,19.39544555,30.04
FL05OR,FL,5,1,3.43148,0.1678,1.5792,30.332,2.587,4.1843,19.20719352,33.75
FS01OR,FS,1,1,3.1687,0.2088,1.5258,31.165,3.1067,4.0719,20.42535064,31.22
FS02OR,FS,2,1,3.7375,0.2795,0.64723,12.27,1.764,1.6929,18.9577121,53.44
FS03OR,FS,3,1,3.916666667,0.251,0.37071,7.0758,0.90735,1.0192,19.08715708,61.47
FS04OR,FS,4,1,3.510733333,0.1847,1.9349,41.194,3.4849,5.3812,21.28998915,54.11
FS05OR,FS,5,1,3.1187,0.2686,0.76233,15.984,1.9967,2.1114,20.96729763,70.3
GD01OR,GD,1,1,4.056666667,0.2017,1.8878,37.049,3.7129,4.5545,19.62548999,40.22
GD02OR,GD,2,1,3.95,0.2255,1.3239,24.72,2.9111,3.1727,18.67210514,47.25
GD03OR,GD,3,1,4.296666667,0.1404,1.4196,25.341,1.9436,3.4881,17.85080304,53.53
GD04OR,GD,4,1,4.035,0.2158,0.90199,15.699,1.8981,2.1751,17.40484928,57.15
GD05OR,GD,5,1,4.336666667,0.2086,1.2321,22.191,2.5063,3.1768,18.01071342,35.96
GP01OR,GP,1,1,4.0125,0.216,1.635,28.37,3.4439,4.2291,17.35168196,24.97
GP020R,GP,2,1,4.056666667,0.3156,1.1291,18.289,3.4749,3.0558,16.1978567,32.39
GP03OR,GP,3,1,3.825,0.2277,1.3679,22.168,3.0372,3.4557,16.205863,25.5
GP04OR,GP,4,1,4.336666667,0.1766,2.2235,44.046,3.8291,6.5429,19.80930965,42.24
GP05OR,GP,5,1,3.986666667,0.2619,0.64294,9.0379,1.642,1.657,14.05714375,36.83
GW01OR,GW,1,1,4.4127,0.196,1.4348,28.714,2.7423,3.9923,20.0125453,27.72
GW02OR,GW,2,1,4.080733333,0.1135,1.9386,48.586,2.1456,6.6491,25.06241618,43.54
