samples,treatment,drylfwt,mildewlfwt,totalleafwt,comments
CO1,control,2.2816,,2.2816,
CO2,control, ,,,missing leaves?
CO3,control,2.5477,0.6577,3.2054,
CO4,control,1.8507,1.4458,3.2965,
CO5,control,2.6293,,2.6293,
CO6,control,1.7064,,1.7064,
CO7,control,4.1698,,4.1698,
CO8,control,3.5165,,3.5165,
CO9,control,5.2505,,5.2505,
CO10,control,3.6189,,3.6189,
CO11,control,2.4186,3.2197,5.6383,
CO12,control,2.6908,0.3567,3.0475,
CO13,control,3.8831,2.5362,6.4193,
CO14,control,1.99,1.3329,3.3229,
CO15,control,1.807,1.3131,3.1201,
CO16,control,2.5659,,2.5659,
CO17,control,1.28,0.4717,1.7517,
CO18,control,1.3489,,1.3489,
CO19,control,0.2424,,0.2424,
CO20,control,,,,
BD01,bd,0.089,,0.089,
BD02,bd,0.0629,,0.0629,
BD03,bd,0.1635,,0.1635,
BD04,bd,0.3339,,0.3339,
BD05,bd,0.054,,0.054,
BD06,bd,,,,dead no leaves
BD07,bd,0.4202,,0.4202,
BD08,bd,0.4311,,0.4311,
BD09,bd,0.3378,,,dead leaf wt
BD10,bd,,,,missing
BD11,bd,0.5173,,0.5173,
BD12,bd,0.2057,,0.2057,
BD13,bd,0.1033,,0.1033,
BD14,bd,0.1661,,0.1661,
BD15,bd,0.3809,,,dead leaf wt
BD16,bd,0.4588,,,dead leaf wt
BD17,bd,,,,dead no leaves
BD18,bd,0.7375,,0.7375,
BD19,bd,0.5794,,0.5794,
BD20,bd,1.2436,,1.2436,
MS01,ms,0.3007,,0.3007,
MS02,ms,,,,dead no leaves
MS03,ms,0.5468,,0.5468,
MS04,ms,0.626,,0.626,
MS05,ms,0.416,,0.416,
MS06,ms,0.9409,,0.9409,
MS07,ms,0.6374,,0.6374,
MS08,ms,0.4951,,0.4951,
MS09,ms,0.1403,,0.1403,
MS10,ms,0.9259,,0.9259,
MS11,ms,0.4591,,0.4591,
MS12,ms,0.4304,,0.4304,
MS13,ms,0.176,,0.176,
MS14,ms,1.2605,,1.2605,
MS15,ms,0.6168,,0.6168,
MS16,ms,1.1542,,1.1542,
MS17,ms,0.3592,,0.3592,
MS18,ms,,,,dead no leaves
MS19,ms,0.4942,,0.4942,
MS20,ms,0.7129,,0.7129,
