SITE,pH,N,C,CN,weight
WW,3.56966,2.3864,46.4328,19.5435794,90.04
YW,3.12566,1.88886,44.1136,23.25864003,108.35
TW,3.838066667,1.9487,43.8334,22.55321748,135.6
FL,3.389812,1.80084,42.2088,23.41931985,113.6
AW,4.42492,1.50976,40.32975,21.14154397,230.15
GW,4.028573333,1.876,40.2482,21.52779053,140.92
HP,3.652126667,1.9263,39.534,20.2310735,158.97
WC,4.0368,1.91588,38.659,20.22581827,154.6
WS,3.597182667,1.8332,34.1654,18.48394248,149.11
BDs,4.08334,1.73148,30.7584,17.59696107,
GD,4.135,1.353078,25,18.31279217,234.11
GP,4.0435,1.399688,24.38218,16.72437101,129.54
BW,3.614406667,1.244654,23.2978,18.35831257,180.48
FS,3.49046,1.048194,21.53776,20.14550132,216.43
DO,4.143953333,1.104672,20.4582,17.48432027,208.17
BD,3.469333333,1.134896,20.2562,17.81528042,246.57
DK,4.253962667,1.02895,18.82248,17.88479467,293.25
LW,4.560333333,0.742392,10.3031,13.83780389,361.31
SP,4.274666667,0.562016,8.4623,14.80667468,431.21
MS,5.121169872,0.458547,7.47543,15.98746054,343.78
LL,5.710309524,0.450372,6.8836,12.56578007,350.27
