Site,normalised_wt
GD,0.307069782
GD,0.360742098
GD,0.408688349
GD,0.436326157
GD,0.274545732
LW,0.603374561
LW,0.486257444
LW,0.495419148
LW,0.678118797
LW,0.4953428
BD,0.28576882
BD,0.351580394
BD,0.351580394
BD,0.240723775
BD,0.178271492
BD,0.474576271
FL,0.136967476
FL,0.117804245
FL,0.125515346
FL,0.229347992
FL,0.257672927
BW,0.174988548
BW,0.312490457
BW,0.347304932
BW,0.205451214
BW,0.337685143
GP,0.190639792
GP,0.194686212
GP,0.322491984
GP,0.281187968
AW,0.200183234
AW,0.643304321
AW,0.387234692
AW,0.195373339
AW,0.331042907
GW,0.211635364
GW,0.332417163
GW,0.161169644
GW,0.182317911
GW,0.188349366
TW,0.344861811
TW,0.101007787
TW,0.106123072
TW,0.359520537
TW,0.123759353
WC,0.228202779
WC,0.21239884
WC,0.251641472
WC,0.311879676
WC,0.176210108
YW,0.162314857
YW,0.199038021
YW,0.160787907
YW,0.162162162
YW,0.142922584
DO,0.491067339
DO,0.166513972
DO,0.297297297
DO,0.52290426
DO,0.111543747
SP,0.570468774
SP,0.642617193
SP,0.703847916
SP,0.797373645
SP,0.577874485
LL,0.67926401
LL,0.518934188
LL,0.777905024
LL,0.515956635
LL,0.182165216
WS,0.226294091
WS,0.360513055
WS,0.207665292
WS,0.203924263
WS,0.140021377
FS,0.238357001
FS,0.408001222
FS,0.469308291
FS,0.536723164
WW,0.131088716
WW,0.107268285
WW,0.189112842
WW,0.127805772
WW,0.132157581
DK,0.502824859
DK,0.513131776
DK,0.290196977
DK,0.448160024
DK,0.484577798
HP,0.248434876
HP,0.155443579
HP,0.148572301
HP,0.507023973
HP,0.154222019
MS,1
MS,0.818521912
MS,0.806153611
