"","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree density","plot_richness","ShortNVC"
"1",49,1,90,"W10c",4.477,16.2556,5,0.323976742,15.83,0.32,11,"W10"
"2",49,2,45,"OV27d",3.911,25.11224,5,0.561559687,17.66,0.485,8,"OV27"
"3",49,3,135,"W10a",3.54,32.89272,5,1.494220006,22.5,0.34,9,"W10"
"4",49,4,45,"W10a",3.568,22.76719,5,1.291979979,9.9,0.54,10,"W10"
"5",49,5,90,"OV27d",4.37,58.80009,5,0.074612826,7.82,0.33,12,"OV27"
"6",49,6,45,"OV27d",3.955,20.28111,5,1.73180295,12.84,0.455,12,"OV27"
"7",49,7,90,"OV27d",3.665,28.88469,5,1.668971097,11,0.425,15,"OV27"
"8",49,8,90,"W10d",3.58,23.34495,3,0.323976742,14.32,0.13,12,"W10"
"9",49,9,90,"W10c",3.89,29.94608,3,1.975276381,14.32,0.26,17,"W10"
"10",49,10,90,"OV27d",3.772,27.34154,5,0.261144889,8.42,0.225,12,"OV27"
"11",49,11,NA,"W21",4.224,18.75939,3,0.536034247,8.07,0.685,12,"W21"
"12",49,12,90,"W21",4.474,49.81292,5,0.589048623,9.31,0.395,15,"W21"
"13",49,13,NA,"W6",3.769,27.16504,5,1.600248758,9.86,0.265,19,"W6"
"14",49,14,0,"W6",6.282,14.25429,8,0.249363917,9.22,0.215,15,"W6"
"15",49,15,90,"W21",6.382,33.80174,5,0.02552544,7.69,0.14,12,"W21"
"16",49,16,NA,"W6",6.569,53.89515,5,1.050470044,15.92,0.255,12,"W6"
"17",50,1,NA,"OV27d",4.7,12.93345,5,2.051852702,14.34,0.225,18,"OV27"
"18",50,2,NA,"W10",5.195,6.198223,5,1.786780822,8.9,0.64,37,"W10"
"19",50,3,NA,"W10",5.032,15.04786,5,3.139629158,10.31,1.015,24,"W10"
"20",50,4,NA,"W10c",4.829,10.94644,5,0.909098374,9.4,0.49,28,"W10"
"21",50,5,NA,"MG1b",5.78,10.86776,5,NA,NA,NA,39,"MG1"
"22",50,6,NA,"MG7A",6.007,10.51018,5,NA,NA,NA,11,"MG7A"
"23",50,7,NA,"OV21",5.812,12.29325,5,NA,NA,NA,21,"OV21"
"24",50,8,NA,"W10c",6.064,13.51375,5,0.237582944,10.97,0.525,23,"W10"
"25",50,9,NA,"W15a",4.991,7.272179,3,7.033240553,59.17,0.34,12,"W15"
"26",50,10,NA,"W10a",4.485,13.46611,5,3.133738672,51.25,0.195,13,"W10"
"27",50,11,NA,"W10a",4.763,12.50895,5,1.773036354,28.06,0.23,16,"W10"
"28",50,12,NA,"W6",6.083,16.19554,5,1.486366024,22.5,0.2,42,"W6"
"29",50,13,NA,"W10",4.458,14.77493,5,1.68075207,18.65,0.21,44,"W10"
"30",50,14,NA,"W10",4.912,15.71377,5,2.839214361,29.72,0.245,34,"W10"
"31",50,15,NA,"W10",5.973,11.36071,5,4.031056074,12.63,0.395,31,"W10"
"32",50,16,NA,"W10d",4.627,16.82526,3,2.142173491,24.72,0.2,22,"W10"
"33",51,1,NA,"W15a",4.033,25.8,5,1.386227758,19.1,0.83,11,"W15"
"34",51,2,NA,"W21",4.97,11.9,5,0.979784209,12.21,1.32,12,"W21"
"35",51,3,NA,"W21",4.667,19.6,5,1.168279768,12.76,0.8,13,"W21"
"36",51,4,NA,"W21",4.599,13.8,5,1.456913593,15.16,0.81,11,"W21"
"37",51,5,NA,"OV27d",4.838,17.5,5,1.774999849,13.62,1.29,12,"OV27"
"38",51,6,NA,"W21",4.405,18.3,3,1.178097245,13.71,0.74,19,"W21"
"39",51,7,NA,"OV27d",4.617,16.3,5,2.020436775,17.22,1.06,10,"OV27"
"40",51,8,NA,"OV27d",4.702,15.8,5,1.333213382,14.35,1.09,11,"OV27"
"41",51,9,NA,"W21",3.978,15.9,5,1.374446786,13.1,0.89,11,"W21"
"42",51,10,NA,"W21",4.834,16.2,5,2.220713307,20.16,1.13,13,"W21"
"43",51,11,NA,"OV27d",4.718,14.6,5,1.843722189,17,1.16,10,"OV27"
"44",51,12,NA,"OV27d",4.707,13.1,5,1.541343896,17.24,1.12,18,"OV27"
"45",51,13,NA,"W8e",4.495,11,3,1.358738823,10.98,1.34,15,"W8"
"46",51,14,NA,"W21",3.912,29,5,2.038108234,16.57,0.83,12,"W21"
"47",51,15,NA,"OV27d",4.162,19,3,3.310453259,18.31,1.17,11,"OV27"
"48",51,16,NA,"W21",4.065,23.9,3,1.755364895,12.98,1.09,12,"W21"
"49",52,1,NA,"W16b",3.7,20.9,5,1.036725576,13.17,0.64,13,"W16"
"50",52,2,NA,"W16b",3.9,17,6,1.582577299,16.05,0.515,23,"W16"
"51",52,3,NA,"W16b",3.9,28.3,5,0.944441291,18.18,0.345,8,"W16"
"52",52,4,NA,"W16b",3.9,30,5,0.606720081,10.12,0.61,7,"W16"
"53",52,5,NA,"W16b",4,22.7,5,0.526216769,12.33,0.845,12,"W16"
"54",52,6,NA,"W16b",3.9,15.3,5,0.561559687,18.46,0.415,13,"W16"
"55",52,7,NA,"W10",3.8,21.6,8,2.6939157,14.84,0.395,28,"W10"
"56",52,8,NA,"W16b",3.9,13.8,5,0.594939109,10.83,0.25,19,"W16"
"57",52,9,NA,"W10d",4.6,15.4,5,0.91106187,11.58,0.545,19,"W10"
"58",52,10,NA,"W16b",3.8,17.2,5,2.228567289,33,0.305,16,"W16"
"59",52,11,NA,"W16b",4.2,13.7,5,0.563523182,15.83,0.28,13,"W16"
"60",52,12,NA,"W10c",4,14.3,5,0.541924733,26.91,0.415,13,"W10"
