"","site","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1",35,54.275519,-2.8676335,1,95.48456536,70,71,0.15,0.65,"Whitbarrow Wood"
"2",36,54.095611,-2.5978165,1,12.78587112,100,79,0.16,0.2,"Pike Gill Wood"
"3",37,54.320155,-2.9085452,1,20.40030257,94.25,63,0.09,0.44,"Birks Brow"
"4",44,53.916175,-2.5297826,1,39.71151479,153.5625,98,0.06,0.28,"New Laund and High Wood"
"5",54,54.40531,-2.9381575,0,7.970669264,103.4375,49,0.18,0.55,"Newclose Wood"
"6",62,54.329141,-2.9087433,1,20.01703033,112.125,94,0.19,0.52,"Winster Wood"
"7",64,54.295544,-2.5085235,1,14.32123374,184.125,77,0.16,0.54,"Rottenbutts Wood"
"8",72,54.28795,-3.0030808,0,14.50761869,94.375,69,0.12,0.33,"Hall Brow"
"9",73,54.317422,-3.0253202,1,16.80375741,118.5625,66,0.15,0.67,"Great Knott"
"10",84,53.985991,-2.5916698,0,19.72809155,122.0625,42,0.19,0.83,"Wellington Wood"
