site,w10,w16,long,lat,aw,Area,Alt,Richness,PHINorm,connectivity,name,Permission,phoneemail
1,w10,NA,52.335942,-1.4804158,0,65.80376473,81.5625,93,0.09,0.25,Waverley Wood,y,
2,w10,w16,51.019137,0.14150077,0,18.40945887,102.125,101,0.11,0.4,Pickreed Wood,,y
3,w10,w16,51.2207,-3.4977338,0,22.20204377,156.8125,64,0.1,0.25,Greenaleigh Plantation,y,y
4,w10,NA,54.257539,-1.1311401,1,12.03048588,151.1875,66,0.09,0.45,Reins Wood,,
5,w10,NA,51.459818,-1.607008,1,44.8554907,183.0625,131,0.08,0.21,Love's Copse,y,y
6,w10,NA,51.187636,-2.3018608,0,88.98900349,101,106,0.21,0.33,Longleat Woods,y,
7,w10,NA,51.31022,-2.6656383,1,24.90943787,198.1875,60,0.07,0.12,Compton Wood,y,
8,w10,NA,52.085128,-0.94480826,1,30.44571183,123.3125,113,0.05,0.31,Say's Copse & Smalladine Copse,y,y
11,w10,NA,52.828352,-0.50091106,1,25.43497616,81.5,68,0.14,0.21,Old Park Wood,y,y
13,w10,NA,52.262205,-1.7523386,1,84.91371374,96.25,102,0.06,0.25,Austy Wood,y,
14,w10,w16,51.479296,-2.1194683,0,23.45172422,89.8125,59,0.1,0.17,Birds Marsh,y,
15,w10,w16,54.408609,-0.73352276,0,4.207443166,84.75,44,0.06,0.51,Beck Hole Scar,,
16,w10,NA,51.470981,-1.1634782,0,61.21988139,99,86,0.11,0.41,Ashampstead Common,y,y
17,w10,w16,54.258415,-1.1280515,1,32.70605592,117.75,65,0.08,0.44,Ashberry Wood,,
18,w10,w16,52.543602,-3.2444912,1,10.64283215,134.8125,95,0.07,0.39,Fridd Wood,y,y
19,w10,NA,51.587558,-2.3737886,1,48.06352947,68,63,0.14,0.3,Lower Wetmoor,y,
21,w10,NA,52.893592,-0.47041698,1,12.51788812,73.5,59,0.12,0.14,Sapperton South Wood & Pickworth Wood,y,y
23,w10,NA,51.952364,-2.4408396,1,7.912139656,69.625,104,1,0.31,Betty Daw's Wood,,
25,w10,NA,52.249142,-0.11033538,0,9.052129629,45,69,NA,0.07,Papworth Wood,y,y
26,NA,w16,51.258987,-2.4771637,1,9.688680598,135.9375,81,0.14,0.11,Loocombe Wood,y,y
29,w10,NA,51.553582,-0.83310686,0,26.33209824,55.75,76,0.14,0.36,Medmenham wood,y,y
30,w10,w16,50.916094,-2.2929866,1,70.65017076,90.125,66,0.13,0.14,Piddles Wood,y,y
31,w10,NA,52.121907,0.31814202,1,34.79787233,107.0625,90,0.11,0.09,Balsham,y,y
32,w10,w16,51.75885,-0.04103527,0,63.29192078,59.625,55,0.18,0.45,Hoddesdonpark Wood,y,y
33,w10,NA,52.730363,-0.50131237,1,9.806348871,54.8125,44,0.07,0.24,Docksight Wood,y,y
35,w10,w16,54.275519,-2.8676335,1,95.48456536,70,71,0.15,0.65,Whitbarrow Wood,y,y
36,w10,w16,54.095611,-2.5978165,1,12.78587112,100,79,0.16,0.2,Pike Gill Wood,y,y
37,w10,w16,54.320155,-2.9085452,1,20.40030257,94.25,63,0.09,0.44,Birks Brow,y,y
38,w10,w16,56.625608,-3.3413272,1,38.23508484,119.8125,102,0.12,0.4,Craighall Gorge,,
39,w10,w16,54.313764,-3.1328323,0,21.90465444,107.6875,107,0.2,0.41,Haverigg Holme,y,y
40,w10,w16,57.540429,-2.9120331,1,12.11916689,138.4375,135,0.13,0.39,Mill wood,,
41,w10,NA,53.058023,-4.0173122,1,16.66209356,154.4375,81,0.06,0.87,Coed Y Wenault,y,y
42,w10,w16,57.412698,-3.416593,1,25.93542076,188.6875,92,0.18,0.79,Calleder,,
43,w10,w16,54.507476,-3.1767981,1,68.40071514,164.9375,106,0.22,0.9,Seatoller Wood,y,
44,w10,NA,53.916175,-2.5297826,1,39.71151479,153.5625,98,0.06,0.28,New Laund and High Wood,y,y
45,w10,w16,54.906601,-1.7707076,0,12.8303422,59.5,75,0.06,0.58,Sliding Braes,,
46,w10,w16,54.556755,-0.90212632,1,15.05026529,43.25,89,0.06,0.2,White Cliff Wood,,
47,w10,w16,57.755677,-5.018414,1,40.15502983,89.25,144,0.13,1,Corrieshalloch Gorge,,
48,w10,w16,51.512744,-3.3675061,0,15.75518878,42.8125,73,0.07,0.26,Hensol Wood,y,
49,w10,NA,51.962306,-5.0813662,1,18.67706992,42.5625,45,0.03,0.15,Pen-yr-alt Wood,y,
50,w10,NA,55.114221,-4.2043145,1,13.56158267,124,116,0.16,0.62,Garroch Wood,,
52,w10,w16,52.048153,-3.9729594,1,16.18931772,191.5625,48,0.09,0.13,Allt Penarth Wood,y,y
54,w10,NA,54.40531,-2.9381575,0,7.970669264,103.4375,49,0.18,0.55,Newclose Wood,y,y
55,w10,NA,51.826675,-4.0416295,1,22.31570572,226.0625,57,0.01,0.23,Carmel Wood,y,
56,w10,w16,56.623798,-3.2565105,1,21.71435794,149.5625,72,0.06,0.17,Den of Alyth Wood,,
57,w10,NA,54.518216,-0.9139741,0,53.08094992,143.1875,76,0.07,0.29,Pinkney Bank Wood,,
58,w10,w16,51.587452,-3.3610878,1,17.20038523,156.8125,91,0.05,0.32,Coed Gelli-draws,y,y
59,w10,NA,56.073504,-4.5175001,0,52.46149046,9.25,112,0.1,0.77,Gartfairn Wood,,
60,w10,w16,54.17881,-2.8165786,1,16.27987583,48.125,85,0.16,0.57,Eaves wood,,
61,w10,w16,54.89855,-1.7910241,0,20.61640971,105.6875,82,0.06,0.59,Longclose Wood,,
62,w10,w16,54.329141,-2.9087433,1,20.01703033,112.125,94,0.19,0.52,Winster Wood,y,y
63,w10,NA,54.945456,-1.9812361,0,5.371254194,47.6875,91,0.07,0.44,Riding Mill Wood,,
64,w10,NA,54.295544,-2.5085235,1,14.32123374,184.125,77,0.16,0.54,Rottenbutts Wood,y,y
65,w10,w16,51.181271,-3.1702461,0,10.00272477,53.125,43,0.11,0.15,Great Plantation,y,
66,w10,NA,51.778417,-4.3163442,0,14.86101432,80.3125,118,0.19,0.08,Glan Morlies,,
67,w10,w16,54.775174,-2.7368281,0,45.41089719,83.125,64,0.24,0.23,Eden Gorge Wood,y,y
68,w10,NA,56.035444,-4.3978285,0,4.836788476,17.6875,79,0.08,0.42,Blane Wood,,
69,w10,w16,54.423742,-0.63749294,0,20.04104907,99.75,64,0.08,0.56,Newton House Wood,,
70,w10,NA,54.514235,-0.6931837,0,14.70348755,95.375,55,0.06,0.16,Over Dale Wood,y,
72,w10,w16,54.28795,-3.0030808,0,14.50761869,94.375,69,0.12,0.33,Hall Brow,,
73,w10,w16,54.317422,-3.0253202,1,16.80375741,118.5625,66,0.15,0.67,Great Knott,,
74,w10,w16,56.896814,-5.7651685,1,311.6379448,71.1875,97,0.12,0.66,Glen Beasedale Wood,,
75,w10,w16,53.197206,-3.8621559,1,16.98959892,180.5,88,0.01,0.57,Ceunant Dulyn,y,
76,NA,w16,56.415393,-4.7135416,1,97.71073069,258.5,57,0.21,0.99,Coille Coire Chuilc,,
77,w10,w16,57.515932,-3.7127614,0,108.3968643,186.8125,84,0.11,0.84,Dounduff Wood,,
78,NA,w16,52.078696,-3.9203095,1,14.20407786,296.625,19,0.01,0.47,Allt-yr-Hebog,y,
79,w10,w16,51.050463,-0.2251687,1,104.8382896,106.875,88,0.11,0.49,Warren Wood,,
80,w10,w16,50.944331,0.33736471,1,47.84037887,97.625,78,0.09,0.43,Hoad's Wood,,
81,w10,NA,51.895709,-4.0534791,0,12.20450345,88.9375,101,0.11,0.2,Wern-fawr Wood,y,y
82,w10,NA,51.775916,-2.497093,1,29.04845103,108.375,66,0.09,0.63,Blakeneyhill Wood,,
