"","site","w10","w16","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1","47","w10","w16",57.755677,-5.018414,1,40.15502983,89.25,144,0.13,1,"Corrieshalloch Gorge"
"2","74","w10","w16",56.896814,-5.7651685,1,311.6379448,71.1875,97,0.12,0.66,"Glen Beasedale Wood"
"3","38","w10","w16",56.625608,-3.3413272,1,38.23508484,119.8125,102,0.12,0.4,"Craighall Gorge"
"4","40","w10","w16",57.540429,-2.9120331,1,12.11916689,138.4375,135,0.13,0.39,"Mill wood"
"5","42","w10","w16",57.412698,-3.416593,1,25.93542076,188.6875,92,0.18,0.79,"Calleder"
"6","56","w10","w16",56.623798,-3.2565105,1,21.71435794,149.5625,72,0.06,0.17,"Den of Alyth Wood"
"7","77","w10","w16",57.515932,-3.7127614,0,108.3968643,186.8125,84,0.11,0.84,"Dounduff Wood"
"8","35","w10","w16",54.275519,-2.8676335,1,95.48456536,70,71,0.15,0.65,"Whitbarrow Wood"
"9","36","w10","w16",54.095611,-2.5978165,1,12.78587112,100,79,0.16,0.2,"Pike Gill Wood"
"10","37","w10","w16",54.320155,-2.9085452,1,20.40030257,94.25,63,0.09,0.44,"Birks Brow"
"11","39","w10","w16",54.313764,-3.1328323,0,21.90465444,107.6875,107,0.2,0.41,"Haverigg Holme"
"12","43","w10","w16",54.507476,-3.1767981,1,68.40071514,164.9375,106,0.22,0.9,"Seatoller Wood"
"13","60","w10","w16",54.17881,-2.8165786,1,16.27987583,48.125,85,0.16,0.57,"Eaves wood"
"14","62","w10","w16",54.329141,-2.9087433,1,20.01703033,112.125,94,0.19,0.52,"Winster Wood"
"15","67","w10","w16",54.775174,-2.7368281,0,45.41089719,83.125,64,0.24,0.23,"Eden Gorge Wood"
"16","72","w10","w16",54.28795,-3.0030808,0,14.50761869,94.375,69,0.12,0.33,"Hall Brow"
"17","73","w10","w16",54.317422,-3.0253202,1,16.80375741,118.5625,66,0.15,0.67,"Great Knott"
