"","Site","Plot","Nest","Cover","BRC","Year","species"
"1",11,1,NA,NA,9203,2,"Acer campestre"
"2",11,1,2,0.5,9203,2,"Acer campestre"
"3",11,1,2,1,920250,2,"Brachypodium sylvaticum"
"4",11,1,3,0.5,920412,2,"Carex remota"
"5",11,1,4,0.5,920421,2,"Carex sylvatica"
"6",11,1,2,0.5,920513,2,"Circaea lutetiana"
"7",11,1,NA,NA,920557,2,"Corylus avellana"
"8",11,1,3,0.5,920627,2,"Deschampsia cespitosa"
"9",11,1,1,10,920833,2,"Filipendula ulmaria"
"10",11,1,NA,NA,920841,2,"Fraxinus excelsior (c)"
"11",11,1,1,0.5,920841,2,"Fraxinus excelsior (c)"
"12",11,1,1,0.5,920918,2,"Geranium robertianum"
"13",11,1,5,0.5,920952,2,"Hedera helix"
"14",11,1,5,0.5,9201058,2,"Juncus bulbosus"
"15",11,1,4,10,9201291,2,"Mercurialis perennis"
"16",11,1,3,0.5,200001593,2,"Poa nemoralis/trivialis"
"17",11,1,1,40,9201728,2,"Rubus fruticosus agg."
"18",11,1,5,0.5,9201753,2,"Rumex sanguineus"
"19",11,1,5,0.5,9202034,2,"Taraxacum agg."
"20",11,1,NA,NA,9204446,2,"Quercus seedling/sp"
"21",11,1,5,0.5,200001595,2,"Viola riviniana/reichenbiana"
"22",11,2,2,0.5,910665,2,"Dryopteris filix-mas"
"23",11,2,3,0.5,9204445,2,"Betula seedling/sp"
"24",11,2,1,1,920250,2,"Brachypodium sylvaticum"
"25",11,2,1,0.5,920412,2,"Carex remota"
"26",11,2,NA,NA,920557,2,"Corylus avellana"
"27",11,2,1,0.5,920569,2,"Crataegus monogyna"
"28",11,2,2,1,920627,2,"Deschampsia cespitosa"
"29",11,2,1,1,920833,2,"Filipendula ulmaria"
"30",11,2,NA,NA,920841,2,"Fraxinus excelsior (c)"
"31",11,2,1,0.5,920841,2,"Fraxinus excelsior (c)"
"32",11,2,1,50,9201291,2,"Mercurialis perennis"
"33",11,2,1,10,200001593,2,"Poa nemoralis/trivialis"
"34",11,2,NA,NA,9201617,2,"Prunus spinosa"
"35",11,2,4,0.5,9201649,2,"Ranunculus ficaria"
"36",11,2,1,10,9201728,2,"Rubus fruticosus agg."
"37",11,2,3,0.5,9201753,2,"Rumex sanguineus"
"38",11,2,2,0.5,9201905,2,"Senecio vulgaris"
"39",11,2,3,0.5,9202032,2,"Tamus communis"
"40",11,2,1,0.5,9202034,2,"Taraxacum agg."
"41",11,2,4,0.5,9202126,2,"Urtica dioica"
"42",11,2,5,0.5,9202168,2,"Veronica chamaedrys"
"43",11,2,4,0.5,9204530,2,"Epilobium sp."
"44",11,2,5,0.5,200001583,2,"Dryopteris dilatata/carthusiana"
"45",11,2,1,0.5,200001595,2,"Viola riviniana/reichenbiana"
"46",11,3,NA,NA,9203,2,"Acer campestre"
"47",11,3,2,1,910665,2,"Dryopteris filix-mas"
"48",11,3,4,0.5,920250,2,"Brachypodium sylvaticum"
"49",11,3,5,0.5,920412,2,"Carex remota"
"50",11,3,1,0.5,920569,2,"Crataegus monogyna"
"51",11,3,NA,NA,920841,2,"Fraxinus excelsior (c)"
"52",11,3,2,0.5,920841,2,"Fraxinus excelsior (c)"
"53",11,3,4,0.5,920918,2,"Geranium robertianum"
"54",11,3,3,0.5,920931,2,"Glechoma hederacea"
"55",11,3,1,30,9201291,2,"Mercurialis perennis"
"56",11,3,1,25,200001593,2,"Poa nemoralis/trivialis"
"57",11,3,NA,NA,9201617,2,"Prunus spinosa"
