"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",1377,32,1,90,"W10a",3.9,16.7,5,1.835868207,16.39,0.25,13,"W10"
"2",1378,32,2,80,"W10a",4.2,15,5,0.461421421,20.83,0.11,10,"W10"
"3",1379,32,3,62,"W10a",4.1,14.5,5,1.788744317,19.83,0.26,11,"W10"
"4",1380,32,4,350,"W16b",4,34.5,3,1.032798585,10.49,0.535,4,"W16"
"5",1382,32,6,290,"W10c",4.2,12.8,5,1.111338401,9.52,0.59,9,"W10"
"6",1383,32,7,90,"W10a",3.8,19.2,5,0.545851724,11.35,0.23,17,"W10"
"7",1384,32,8,46,"W10a",4.1,9.3,5,1.03476208,9.68,0.28,8,"W10"
"8",1385,32,9,270,"W10a",4.1,31.7,5,1.708241005,13.98,0.31,9,"W10"
"9",1387,32,11,88,"W10c",4.7,11.9,5,0.164933614,12.5,0.14,17,"W10"
"10",1388,32,12,260,"W10d",3.9,33.1,5,1.504037483,18.75,0.195,10,"W10"
"11",1389,32,13,270,"W10a",4.3,10.2,7,1.914408023,13.75,0.45,7,"W10"
"12",1390,32,14,260,"W10a",3.8,11.3,5,1.205586181,15.26,0.37,8,"W10"
"13",1391,32,15,NA,"W10a",4.1,14.1,7,3.919136835,10.97,0.61,11,"W10"
"14",1392,32,16,180,"W10a",4.1,12.3,5,1.602212253,9.71,0.505,11,"W10"
