"","site","long","lat","aw","Area","Alt","Richness","PHINorm","connectivity","name"
"1",18,52.543602,-3.2444912,1,10.64283215,134.8125,95,0.07,0.39,"Fridd Wood"
"2",19,51.587558,-2.3737886,1,48.06352947,68,63,0.14,0.3,"Lower Wetmoor"
"3",23,51.952364,-2.4408396,1,7.912139656,69.625,104,1,0.31,"Betty Daw's Wood"
"4",41,53.058023,-4.0173122,1,16.66209356,154.4375,81,0.06,0.87,"Coed Y Wenault"
"5",49,51.962306,-5.0813662,1,18.67706992,42.5625,45,0.03,0.15,"Pen-yr-alt Wood"
"6",51,51.86258,-4.6329521,1,9.42501258,109.5,33,0.04,0.27,"Cil-Hen-Ros"
"7",58,51.587452,-3.3610878,1,17.20038523,156.8125,91,0.05,0.32,"Coed Gelli-draws"
"8",66,51.778417,-4.3163442,0,14.86101432,80.3125,118,0.19,0.08,"Glan Morlies"
"9",75,53.197206,-3.8621559,1,16.98959892,180.5,88,0.01,0.57,"Ceunant Dulyn"
"10",78,52.078696,-3.9203095,1,14.20407786,296.625,19,0.01,0.47,"Allt-yr-Hebog"
"11",81,51.895709,-4.0534791,0,12.20450345,88.9375,101,0.11,0.2,"Wern-fawr Wood"
"12",82,51.775916,-2.497093,1,29.04845103,108.375,66,0.09,0.63,"Blakeneyhill Wood"
"13",85,52.558319,-3.8969359,1,38.28882441,94.375,73,0.06,0.76,"Allt-ddu and Dol-y-garnedd wood"
"14",87,53.210572,-3.6246284,1,32.00468203,198.5625,56,0.04,0.57,"Coedcochion Wood"
