Column3,Column4,Column5
[lng]) VALUES ('AB10','57.13514','-2.11731')
[lng]) VALUES ('AB11','57.13875','-2.09089')
[lng]) VALUES ('AB12','57.10100','-2.11060')
[lng]) VALUES ('AB13','57.10801','-2.23776')
[lng]) VALUES ('AB14','57.10076','-2.27073')
[lng]) VALUES ('AB15','57.13868','-2.16525')
[lng]) VALUES ('AB16','57.16115','-2.15543')
[lng]) VALUES ('AB21','57.20960','-2.20033')
[lng]) VALUES ('AB22','57.18724','-2.11913')
[lng]) VALUES ('AB23','57.21242','-2.08776')
[lng]) VALUES ('AB24','57.16284','-2.11228')
[lng]) VALUES ('AB25','57.15311','-2.11241')
[lng]) VALUES ('AB30','56.84678','-2.47712')
[lng]) VALUES ('AB31','57.07479','-2.52623')
[lng]) VALUES ('AB32','57.15545','-2.31742')
[lng]) VALUES ('AB33','57.22464','-2.74203')
[lng]) VALUES ('AB34','57.09393','-2.81204')
[lng]) VALUES ('AB35','57.03829','-3.14869')
[lng]) VALUES ('AB36','57.19715','-3.06589')
[lng]) VALUES ('AB37','57.33098','-3.35051')
,,
[lng]) VALUES ('AB38','57.48589','-3.22610')
[lng]) VALUES ('AB39','56.97778','-2.21718')
[lng]) VALUES ('AB41','57.37592','-2.10478')
[lng]) VALUES ('AB42','57.50079','-1.88819')
[lng]) VALUES ('AB43','57.65714','-2.04358')
[lng]) VALUES ('AB44','57.66877','-2.49122')
[lng]) VALUES ('AB45','57.65139','-2.56639')
[lng]) VALUES ('AB51','57.28907','-2.40485')
[lng]) VALUES ('AB52','57.34396','-2.60651')
[lng]) VALUES ('AB53','57.52537','-2.39410')
[lng]) VALUES ('AB54','57.45361','-2.76333')
[lng]) VALUES ('AB55','57.52390','-2.99024')
[lng]) VALUES ('AB56','57.67442','-2.92559')
[lng]) VALUES ('AL1','51.74836','-0.32237')
[lng]) VALUES ('AL10','51.75958','-0.22920')
[lng]) VALUES ('AL2','51.72064','-0.33353')
[lng]) VALUES ('AL3','51.77781','-0.37057')
[lng]) VALUES ('AL4','51.77133','-0.29398')
[lng]) VALUES ('AL5','51.81622','-0.35177')
[lng]) VALUES ('AL6','51.83104','-0.19737')
,,
[lng]) VALUES ('AL7','51.79669','-0.18569')
[lng]) VALUES ('AL8','51.80334','-0.20863')
[lng]) VALUES ('AL9','51.74472','-0.19791')
[lng]) VALUES ('B1','52.47872','-1.90723')
[lng]) VALUES ('B10','52.46967','-1.85130')
[lng]) VALUES ('B11','52.45440','-1.85871')
[lng]) VALUES ('B12','52.45982','-1.88225')
[lng]) VALUES ('B13','52.43644','-1.87790')
[lng]) VALUES ('B14','52.41757','-1.88824')
[lng]) VALUES ('B15','52.46615','-1.92345')
[lng]) VALUES ('B16','52.47604','-1.93374')
[lng]) VALUES ('B17','52.46077','-1.96026')
[lng]) VALUES ('B18','52.49132','-1.92341')
[lng]) VALUES ('B19','52.49670','-1.90425')
[lng]) VALUES ('B2','52.47871','-1.89692')
[lng]) VALUES ('B20','52.51379','-1.91747')
[lng]) VALUES ('B21','52.50661','-1.93959')
[lng]) VALUES ('B23','52.52812','-1.85405')
[lng]) VALUES ('B24','52.51909','-1.82755')
[lng]) VALUES ('B25','52.46513','-1.82040')
,,
[lng]) VALUES ('B26','52.46059','-1.78951')
[lng]) VALUES ('B27','52.44446','-1.82196')
[lng]) VALUES ('B28','52.42650','-1.84115')
[lng]) VALUES ('B29','52.43739','-1.94704')
[lng]) VALUES ('B3','52.48051','-1.90134')
[lng]) VALUES ('B30','52.42209','-1.92794')
[lng]) VALUES ('B31','52.40772','-1.97207')
[lng]) VALUES ('B32','52.44819','-1.99264')
[lng]) VALUES ('B33','52.48036','-1.78647')
[lng]) VALUES ('B34','52.49564','-1.78051')
[lng]) VALUES ('B35','52.51903','-1.78776')
[lng]) VALUES ('B36','52.50373','-1.77899')
[lng]) VALUES ('B37','52.47847','-1.74083')
[lng]) VALUES ('B38','52.39962','-1.93385')
[lng]) VALUES ('B4','52.48231','-1.89397')
[lng]) VALUES ('B40','52.45865','-1.72181')
[lng]) VALUES ('B42','52.53357','-1.91154')
[lng]) VALUES ('B43','52.54797','-1.92921')
[lng]) VALUES ('B44','52.54523','-1.88349')
[lng]) VALUES ('B45','52.38795','-2.00882')
,,
[lng]) VALUES ('B46','52.50803','-1.69351')
[lng]) VALUES ('B47','52.38699','-1.87950')
[lng]) VALUES ('B48','52.35557','-1.94860')
[lng]) VALUES ('B49','52.21704','-1.86679')
[lng]) VALUES ('B5','52.46972','-1.89547')
[lng]) VALUES ('B50','52.16847','-1.85377')
[lng]) VALUES ('B6','52.50388','-1.88508')
[lng]) VALUES ('B60','52.32590','-2.04989')
[lng]) VALUES ('B61','52.34477','-2.06753')
[lng]) VALUES ('B62','52.45628','-2.03238')
[lng]) VALUES ('B63','52.45177','-2.06622')
[lng]) VALUES ('B64','52.47244','-2.06773')
[lng]) VALUES ('B65','52.48325','-2.04271')
[lng]) VALUES ('B66','52.49314','-1.96465')
[lng]) VALUES ('B67','52.48595','-1.97644')
[lng]) VALUES ('B68','52.47876','-2.00000')
[lng]) VALUES ('B69','52.50213','-2.02799')
[lng]) VALUES ('B7','52.49307','-1.87185')
[lng]) VALUES ('B70','52.52012','-2.00295')
[lng]) VALUES ('B71','52.53540','-1.98968')
,,
[lng]) VALUES ('B72','52.55145','-1.82153')
[lng]) VALUES ('B73','52.55238','-1.84217')
[lng]) VALUES ('B74','52.58297','-1.85830')
[lng]) VALUES ('B75','52.57840','-1.80813')
[lng]) VALUES ('B76','52.54510','-1.78616')
[lng]) VALUES ('B77','52.61855','-1.66762')
[lng]) VALUES ('B78','52.60598','-1.67362')
[lng]) VALUES ('B79','52.65005','-1.68069')
[lng]) VALUES ('B8','52.49034','-1.84092')
[lng]) VALUES ('B80','52.27641','-1.89593')
[lng]) VALUES ('B9','52.47776','-1.84833')
[lng]) VALUES ('B90','52.40040','-1.82361')
[lng]) VALUES ('B91','52.41382','-1.78238')
[lng]) VALUES ('B92','52.43628','-1.77345')
[lng]) VALUES ('B93','52.38048','-1.74288')
[lng]) VALUES ('B94','52.35090','-1.79150')
[lng]) VALUES ('B95','52.28524','-1.78008')
[lng]) VALUES ('B96','52.25217','-1.96044')
[lng]) VALUES ('B97','52.29893','-1.95454')
[lng]) VALUES ('B98','52.30340','-1.91346')
,,
[lng]) VALUES ('BA1','51.39109','-2.35934')
