"","X","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree.density","plot_richness","ShortNVC"
"1",1425,35,1,260,"OV27d",5.278,7.730561,5,0.005890486,7.5,0.33,9,"OV27"
"2",1426,35,2,260,"W21",6.766,10.44301,5,0.259181394,7.89,0.41,17,"W21"
"3",1427,35,3,260,"W10",7.268,13.04456,3,0.645989989,14.72,0.44,10,"W10"
"4",1428,35,4,260,"W16b",4.268,14.77965,3,2.23642127,52.5,0.15,9,"W16"
"5",1429,35,5,260,"W10d",4.29,7.584098,3,3.233876938,45.28,0.385,10,"W10"
"6",1430,35,6,260,"W10d",4.233,11.69767,10,0.740237769,18.93,0.345,16,"W10"
"7",1431,35,7,260,"W10d",4.167,26.6458,3,0.869828466,36.94,0.31,21,"W10"
"8",1432,35,8,260,"W21",6.141,15.39965,3,0.392699082,10,0.255,17,"W21"
"9",1433,35,9,260,"W13",6.798,16.11556,3,0.512472302,14.42,0.155,13,"W13"
"10",1434,35,10,260,"W21",7.175,13.76705,3,0.846266521,14.81,0.16,16,"W21"
"11",1435,35,11,260,"W21",6.032,12.59343,3,3.443970946,23.5,0.42,19,"W21"
"12",1436,35,12,260,"W13",6.37,40.16702,3,0.402516559,16.5,0.21,8,"W13"
"13",1437,35,13,260,"W10a",6.277,18.48878,3,4.072289477,31.59,0.32,7,"W10"
"14",1438,35,14,260,"W10d",4.479,12.62817,3,0.824668072,30.23,0.305,19,"W10"
"15",1439,35,15,260,"S26d",6.302,30.89651,3,0.396626073,30.83,0.17,23,"S26"
"16",1440,35,16,300,"OV27d",5.411,12.06989,3,1.598285263,16.5,0.7,11,"OV27"
