BRC names,BRC number,Type,Sym
Abies alba,9202395,t,em
Abies grandis,9202396,t,em
Abies procera,9202397,t,em
Abies sp.,9204658,t,am
Acacia melanoxylon,9205415,t,am
Acacia retinodes,9205416,t,am
Acaena anserinifolia,9202528,h,
Acaena novae-zelandiae,9202527,h,
Acanthus mollis,9202,h,
Acer campestre,9203,t,am
Acer platanoides,9204,t,am
Acer pseudoplatanus,9205,t,am
Acer seedling/sp,9204661,t,em
Acer sp.,200001601,t,am
Aceras anthropophorum,9206,o,
Achillea millefolium,9207,h,
Achillea ptarmica,9209,h,
Aconitum napellus,92014,h,
Acorus calamus,92015,h,
Actaea spicata,92016,h,
Adiantum capillus-veneris,91017,h,
Adonis annua,92018,h,
Adoxa moschatellina,92019,h,
Aegopodium podagraria,92020,h,
Aesculus hippocastanum,9202241,t,am
Aethusa cynapium,92021,h,
Agapanthus praecox,9205417,h,
Agrimonia eupatoria,92022,h,
Agrimonia procera,92023,h,
Agrostemma githago,92034,h,
Agrostis canina sens.lat.,92035,h,
Agrostis canina sens.str.,92035.2,h,
Agrostis capillaris,92040,h,
Agrostis curtisii,92038,h,
Agrostis gigantea,92036,h,
Agrostis sp.,9204579,h,
Agrostis stolonifera,92039,h,
Agrostis stolonifera x Polypogon monspeliensis (x Agropogon littoralis),92025,h,
Agrostis vinealis,92035.1,h,
Ailanthus altissima,9204411,h,
Aira caryophyllea,92041,h,
Aira praecox,92042,h,
Aira sp.,9204676,h,
Ajuga chamaepitys,92043,h,
Ajuga pyramidalis,92045,h,
Ajuga reptans,92046,h,
Alcea rosea,92088,h,
Alchemilla acutiloba,92047,h,
Alchemilla alpina,92048,h,
Alchemilla conjuncta,92049,h,
Alchemilla filicaulis,9204480,h,
Alchemilla filicaulis subsp.filicaulis,92050,h,
Alchemilla glabra,92051,h,
Alchemilla glaucescens,92054,h,
Alchemilla glomerulans,92052,h,
Alchemilla gracilis,9202552,h,
Alchemilla minima,92053,h,
Alchemilla mollis,9202255,h,
Alchemilla monticola,92055,h,
Alchemilla sp.,9204679,h,
Alchemilla subcrenata,92056,h,
Alchemilla tytthantha,9202275,h,
Alchemilla vulgaris agg.,92058,h,
Alchemilla wichurae,92059,h,
Alchemilla xanthochlora,92060,h,
Algae,200001623,h,
Alisma gramineum,92061,h,
Alisma lanceolatum,92062,h,
Alisma plantago-aquatica,92063,h,
Alliaria petiolata,92064,h,
Allium ampeloprasum,9208283,h,
Allium ampeloprasum babingtonii,92066,h,
Allium ampeloprasum ssp ampeloprasum,92065,h,
Allium carinatum,92067,h,
Allium cepa,9209184,h,
Allium oleraceum,92068,h,
Allium paradoxum,92069,h,
Allium roseum,92070,h,
Allium schoenoprasum,92072,h,
Allium scorodoprasum,92071,h,
Allium sp.,200001675,h,
Allium sphaerocephalon,92073,h,
Allium triquetrum,92074,h,
Allium ursinum,92075,h,
Allium vineale,92076,h,
Alnus glutinosa,92077,t,amem
Alnus incana,92078,t,amem
Alnus sp.,200001602,t,amem
Alopecurus aequalis,92079,h,
Alopecurus borealis,92080,h,
Alopecurus bulbosus,92081,h,
Alopecurus geniculatus,92082,h,
Alopecurus myosuroides,92084,h,
Alopecurus pratensis,92085,h,
Alopecurus sp.,9204682,h,
Althaea officinalis,92087,h,
Amaranthus albus,92090,h,
Amaranthus blitoides,9204421,h,
Amaranthus retroflexus,92092,h,
Amaranthus sp.,200001604,h,
Amelanchier lamarckii,92094,s,
Ammophila arenaria,92097,h,
Ammophila arenaria x Calamagrostis epigejos (x Calammophila baltica),92096,h,
Amsinckia lycopsoides,9204337,h,
Amsinckia micrantha,9202616,h,
Amsinckia sp.,200001605,h,
Anacamptis pyramidalis,92098,h,
Anagallis arvensis,92099,h,
Anagallis arvensis subsp.caerulea,92099.2,h,
Anagallis minima,920456,h,
Anagallis sp.,200001580,h,
Anagallis tenella,920100,h,
Anaphalis margaritacea,920101,h,
