"","df_ID","Easting","Northing","NO2_NO3","NH3_NH4","SO2_SO4_NM","long","lat","X.","i.long"
"1",1468,282500,72500,0.63,1.55,0.36,-3.65954177361239,50.54004,"gp",-3.806303
"2",593,252500,77500,0.71,1.52,0.39,-4.08462219556288,50.578403,"ww",-3.961638
"3",9415,457500,77500,0.51,0.61,0.23,-1.18899752749376,50.594241,"yw",-3.723182
"4",4604,597500,147500,0.76,1.14,0.29,0.825106312708728,51.1929,"ll",-2.2387
"5",555,562500,147500,0.61,1.16,0.26,0.324699314099041,51.203116,"fs",-0.386363
"6",8418,402500,167500,0.59,1.83,0.23,-1.96544677233873,51.409,"sw",-0.645
"7",6543,402500,187500,0.58,1.69,0.23,-1.96531158393312,51.587452,"gd",-3.3610878
"8",6543,402500,187500,0.58,1.69,0.23,-1.96531158393312,51.5876,"lw",-2.37378
"9",5408,492500,207500,0.86,1.3,0.33,-0.66120693949231,51.75885,"hp",-0.04103527
"10",10131,577500,317500,0.67,2.03,0.31,0.627017858777804,52.725648,"bd",-1.168255
"11",4132,332500,337500,0.53,2.3,0.36,-3.00562784915627,52.93063,"fl",-4.000966
"12",7568,167500,492500,0.33,1.35,0.17,-5.57265190545764,54.275,"ws",-2.8676
"13",9851,497500,492500,0.64,1.23,0.41,-0.502593603337172,54.318563,"bw",-1.12553
"14",288,197500,572500,0.33,0.86,0.18,-5.1680625574892,55.005352,"wc",-4.5330089
"15",2085,347500,667500,0.38,1.13,0.23,-2.84112533757913,55.897833,"dk",-3.0849615
"16",8573,282500,682500,0.43,1.17,0.36,-3.88665657348055,56.020742,"tw",-5.630064
"17",3340,267500,742500,0.65,0.77,0.4,-4.15726753369581,56.555509,"gw",-5.283222
"18",10582,212500,762500,0.48,0.55,0.37,-5.0653691183915,56.716279,"aw",-5.553739
"19",6427,282500,797500,0.33,0.28,0.18,-3.93873016182345,57.052962,"do",-2.8678608
