"","df_ID","Easting","Northing","Value","long","lat","X.","i.long"
"1",7947,282500,72500,13.17,-3.65954177361239,50.54004,"gp",-3.806303
"2",717,252500,77500,15.22,-4.08462219556288,50.578403,"ww",-3.961638
"3",9433,457500,77500,9.61,-1.18899752749376,50.594241,"yw",-3.723182
"4",3131,597500,147500,11.48,0.825106312708728,51.1929,"ll",-2.2387
"5",1765,562500,147500,8.78,0.324699314099041,51.203116,"fs",-0.386363
"6",10720,402500,167500,11.75,-1.96544677233873,51.409,"sw",-0.645
"7",6667,402500,187500,13.97,-1.96531158393312,51.587452,"gd",-3.3610878
"8",6667,402500,187500,13.97,-1.96531158393312,51.5876,"lw",-2.37378
"9",7247,492500,207500,16.15,-0.66120693949231,51.75885,"hp",-0.04103527
"10",9631,577500,317500,14.42,0.627017858777804,52.725648,"bd",-1.168255
"11",4062,332500,337500,16.6,-3.00562784915627,52.93063,"fl",-4.000966
"12",9872,167500,492500,6.24,-5.57265190545764,54.275,"ws",-2.8676
"13",2832,497500,492500,15.75,-0.502593603337172,54.318563,"bw",-1.12553
"14",6822,197500,572500,10.48,-5.1680625574892,55.005352,"wc",-4.5330089
"15",1827,347500,667500,7.74,-2.84112533757913,55.897833,"dk",-3.0849615
"16",5435,282500,682500,11.72,-3.88665657348055,56.020742,"tw",-5.630064
"17",9150,267500,742500,15.73,-4.15726753369581,56.555509,"gw",-5.283222
"18",6183,212500,762500,13.48,-5.0653691183915,56.716279,"aw",-5.553739
"19",10747,282500,797500,7.79,-3.93873016182345,57.052962,"do",-2.8678608
