Site,num,sample,total_wt,bag_wt,soil_wt,site_total,normalised_wt,type,soil
GD,1,1,45.12,4.9,40.22,234.11,0.39,A,umbrisol
GD,1,2,52.15,4.9,47.25,,0.45,A,umbrisol
GD,1,3,58.43,4.9,53.53,,0.51,A,umbrisol
GD,1,4,62.05,4.9,57.15,,0.55,A,umbrisol
GD,1,5,40.86,4.9,35.96,,0.34,A,umbrisol
LW,2,1,89.97,10.94,79.03,361.31,0.76,A,stagnosol
LW,2,2,74.63,10.94,63.69,,0.61,A,stagnosol
LW,2,3,75.83,10.94,64.89,,0.62,A,stagnosol
LW,2,4,99.76,10.94,88.82,,0.85,A,stagnosol
LW,2,5,75.82,10.94,64.88,,0.62,A,stagnosol
BD,3,1,47.96,10.53,37.43,246.57,0.36,A,stagnosol
BD,3,2a,56.58,10.53,46.05,,0.44,A,stagnosol
BD,3,2b,56.58,10.53,46.05,,0.44,A,stagnosol
BD,3,3,42.06,10.53,31.53,,0.3,A,stagnosol
BD,3,4,33.88,10.53,23.35,,0.22,A,stagnosol
BD,3,5,72.69,10.53,62.16,,0.6,A,stagnosol
FL,4,1,20.96,3.02,17.94,113.6,0.17,A,umbrisol
FL,4,2,18.45,3.02,15.43,,0.15,A,umbrisol
FL,4,3,19.46,3.02,16.44,,0.16,A,umbrisol
FL,4,4,33.06,3.02,30.04,,0.29,A,umbrisol
FL,4,5,36.77,3.02,33.75,,0.32,A,umbrisol
BW,5,1,26.84,3.92,22.92,180.48,0.22,A,stagnosol
BW,5,2,44.85,3.92,40.93,,0.39,A,stagnosol
BW,5,3,49.41,3.92,45.49,,0.44,A,stagnosol
BW,5,4,30.83,3.92,26.91,,0.26,A,stagnosol
BW,5,5,48.15,3.92,44.23,,0.42,A,stagnosol
GP,6,1,29.83,4.86,24.97,129.54,0.24,N,umbrisol
GP,6,2,na,na,na,,0.33,N,umbrisol
GP,6,3,28.99,3.49,25.5,,0.24,N,umbrisol
GP,6,4,45.73,3.49,42.24,,0.4,N,umbrisol
GP,6,5,40.32,3.49,36.83,,0.35,N,umbrisol
AW,7,1,29.71,3.49,26.22,230.15,0.25,A,podzol
AW,7,2,87.75,3.49,84.26,,0.81,A,podzol
AW,7,3,54.21,3.49,50.72,,0.49,A,podzol
AW,7,4,29.08,3.49,25.59,,0.25,A,podzol
AW,7,5,46.85,3.49,43.36,,0.42,A,podzol
GW,8,1,31.21,3.49,27.72,140.92,0.27,A,umbrisol
GW,8,2,47.03,3.49,43.54,,0.42,A,umbrisol
GW,8,3,24.6,3.49,21.11,,0.2,A,umbrisol
GW,8,4,27.37,3.49,23.88,,0.23,A,umbrisol
GW,8,5,28.16,3.49,24.67,,0.24,A,umbrisol
TW,9,1,48.66,3.49,45.17,135.6,0.43,A,umbrisol
TW,9,2,16.72,3.49,13.23,,0.13,A,umbrisol
TW,9,3,17.39,3.49,13.9,,0.13,A,umbrisol
TW,9,4,50.58,3.49,47.09,,0.45,A,umbrisol
