,site,date,grazed,species,type,continuity,max annual temp,min annual temp,rainfall1,elevation,max daily temp,min daily temp,ave rainfall,rainfall in sampling month,rainfall month previous to sampling,woodland size,connectivity,type2,rootidknown,lat,long,os,x,y,name,numsamp,exemp,mean_ls,meanrate,meancg,morphs,mean_lsOR,meanrateOR,meancgOR,morphsOR,propoccOR,mean_lsA,meanrateA,meancgA,morphsA,propoccA,occ_cg,NdepTotal
0,aw,14/09/2019,n,qp,podzol,400,11,3.9,1809.4,93,13.12,6.8,149.25,153.8,246.8,,,s ,h,-5.553739,56.716279,NM8262663930,182626,763930,"Ariundle,Ardnamurchan",25,1,9.157313149,1454.720964,0.209230169,5.08,8.668992514,1577.816571,0.216162791,4.571428571,0.93,9.778812138,1441.491697,0.210977657,6.272727273,0.67,,13.48
1,bd,11/07/2019,y,qp,stagnosols,400,13.5,6.3,614.6,92,14.92,6.86,52.73,83.8,126.2,,,s ,h,-1.168255,52.725648,SK5627014547,456270,314547,"Buddon Wood,Leicester",,,,,,,,,,,,,,,,,,14.42
2,bw,05/08/2019,y,qspp,stagnosols,400,12,5.3,751.1,203,13.89,6.87,53.26,35.6,36,,,m ,l,-1.12553,54.318563,SE5698191794,456981,491794,"Birch Wood, Yorkshire Moors",24,2,1.065714322,2273.877272,0.058518519,2.740740741,1.225827952,3712.519673,0.108571429,3.714285714,0.93,1.161269537,941.941092,0.006,2.2,0.67,,15.75
3,dk,21/09/2019,y,qr,cambisol,400,12.7,5.9,704.2,45,13.14,5.6,57.94,48.6,131,,,m ,h,-3.0849615,55.897833,NT3225367722,332253,667722,"Dalkeith Country Park,Edinburgh",28,7,9.679075108,611.7106203,0.163486074,5,16.7326108,952.7130996,0.046666667,5.866666667,1,1.668745084,236.4334062,0.323134172,4.333333333,0.8,,7.74
4,do,16/09/2019,y,qr,umbrisol,400,12.2,3.5,780,174,11.39,3.22,79.42,54.2,100.2,,,s ,h,-2.8678608,57.052962,NO4745296101,347452,796101,"Dinnet Oak Wood,Aberdeenshire",25,3,14.97479242,428.3584636,0.157479739,4.72,17.02098779,630.9643009,0.158666667,5.333333333,1,11.90549937,187.5461376,0.155699346,3.8,0.67,,7.79
5,fl,29/07/2019,y,qp,umbrisol,400,13.5,6.9,1121,174,13.3,8.01,80.14,21.6,138.2,,,s ,h,-4.000966,52.93063,SH6560038900,265600,338900,"Coed Felinrhyd and Llennyrch, Snowdonia",29,3,0.550661351,3725.950236,0.393811609,3.965517241,0.634482741,3666.649012,0.38,4.2,1,0.46085272,3789.487262,0.408609762,3.714285714,0.93,,16.6
6,fs,15/07/2019,y,qp,podzol,100,15,6.5,656.6,195,16.46,8.31,51.65,50.8,81.8,,,m ,h,-0.386363,51.203116,TQ1283046115,512830,146115,"Friday Street, Surrey Hills",23,3,6.257469277,3083.596576,0.152700922,5.173913043,9.330953616,3949.888105,0.176,5.266666667,1,0.49468614,1459.29996,0.109015152,5,1,,8.78
7,gd,18/07/2019,y,qp,umbrisol,400,13.7,7.5,998.9,201,15.44,7.65,100.85,83.6,84.6,,,m ,l,-3.3610878,51.587452,ST0580088500,305800,188500,"Coed Gelli-draws,Pontypridd",19,0,13.00415166,284.5727426,0.133432192,4,12.44651988,432.1676213,0.076914601,4.454545455,0.92,4.645895365,81.6297844,0.211143879,3.375,0.67,,13.97
8,gp,24/07/2019,y,qp,umbrisol,200,13.7,6.7,1384.6,285,15.16,8.39,77.02,39.8,102.4,,,m ,h,-3.806303,50.54004,SX7210072700,272100,72700,"Grey Park, Newton Abbot, Devon",26,2,5.998167254,586.1555081,0.216928076,5.269230769,9.404902469,910.428412,0.166,5.133333333,1,1.352619233,143.9651847,0.286375451,5.454545455,0.73,,13.17
9,gw,11/09/2019,n,qp,umbrisol,400,11,3.9,1809.4,183,13.12,6.8,149.25,153.8,246.8,,,m,h,-5.283222,56.555509,NM9831645219,198316,745219,"Glasdrum,Argyll",27,4,2.89133847,740.6837228,0.319541446,4,4.496139385,1183.118484,0.295333333,4.53,1,0.885337326,343.4801734,0.349801587,3.33,0.8,,15.73
10,hp,28/09/2019,n,qp,stagnosols,400,13.8,6.1,613,79,15.5,7,45.42,70.6,35.8,,,m,l,-0.04103527,51.75885,TL3530008500,535300,208500,"Hoddesdon Park Wood, Hertfodshire",19,0,14.04732302,975.150766,0.26368929,4.526315789,15.60912206,1285.970287,0.266947211,4.928571429,0.93,9.674285714,104.856107,0.254567114,3.4,0.33,,16.15
11,ll,17/06/2019,y,qr,cambisol,400,14.6,6.2,708.5,249,15.55,6.93,57.83,69.2,17.6,,,s,h,-2.2387,51.1929,ST83416 43769,383416,143769,Long Leat,24,7,,,,,,,,,0.6,,,,,0.4,,11.48
12,lw,26/06/2019,y,qp,stagnosols,400,13.6,6.2,745.2,102,15.37,7.13,62.84,140,43.4,,,m,l,-2.37378,51.5876,ST7420187705,374201,187705,"Lower Whitmore,Gloucestershire",,,,,,,,,,,0.73,,,,,0.6,,13.97
13,sp,11/06/2019,y,qr,luvisol,10,15,6.5,656.6,67,16.46,8.31,51.65,81.8,36,,,m,h,-0.645,51.409,SU9433968646,494339,168646,"Silwood Park, Ascot",26,6,2.203520234,2011.789076,6.465411177,3.5,3.520636725,3161.663849,0.222,3.8,1,0.407452291,443.778022,14.97915369,3.090909091,0.73,,
14,tw,09/09/2019,n,qp,umbrisol,400,12.4,6.4,1226.2,90,13.12,6.8,149.25,153.8,246.8,,,m,h,-5.630064,56.020742,NR7387186816,173871,686816,"Taynish, Argyll and Bute",23,2,8.326526382,1373.958703,0.234061501,4.565217391,9.504152767,2108.440937,0.201428571,5,0.93,6.494663117,394.6490564,0.284823835,3.888888889,0.6,,11.72
15,wc,07/09/2019,y,qp,histosol,400,11.7,6.3,1142.5,164,13.4,6.39,102.9,113.4,204.5,,,s,h,-4.5330089,55.005352,NX3810070800,238100,570800,"Wood of Cree, Dumfries and Galloway",21,0,18.50497751,226.1702995,0.373766285,4.130434783,23.55590249,265.3698767,0.250769231,4.307692308,0.87,2.154194498,30.17241379,0.592958285,4.111111111,0.6,,10.48
16,ws,07/08/2019,n,qp,cambisol,50,10.5,4.3,1550,54,12.99,5.31,89.87,159.4,116,,,s,h,-2.8676,54.275,SD4360186942,343601,486942,"Witherslack, Cumbria",23,10,18.07291865,2364.882745,0.078974772,3.391304348,27.53193932,3433.257792,0.042,3,1,0.337254897,361.6795322,0.148302469,4.125,0.53,,6.24
17,ww,29/08/2019,y,qr,umbrisol,400,13.7,6.7,1384.6,392,15.16,8.39,77.02,39.8,102.4,,,s,h,-3.961638,50.578403,SX6120677245,261206,77245,"Wistans Wood, Dartmoor",12,2,51.09674252,4631.499151,0.08894525,2,61.27300442,5512.144497,0.042,1.8,1,0.215433019,228.2724252,0.323671498,3,0.2,,15.22
18,yw,28/08/2019,y,qp,podzol,400,13.7,6.7,1384.6,164,15.16,8.39,77.02,39.8,102.4,,,s,h,-3.723182,50.594241,SX7813078586,278130,78586,"Yarner Wood, East Dartmoor",20,1,10.5913814,963.7662044,0.356866404,3.85,14.13383538,1319.945849,0.354844758,3.928571429,0.93,2.32565545,132.6803675,0.361583578,3.666666667,0.4,,9.61
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
