date,time,high,residual
2015-01-01,00:00:00,0.753,-0.203
2015-01-01,00:15:00,0.801,-0.22
2015-01-01,00:30:00,0.886,-0.215
2015-01-01,00:45:00,0.995,-0.196
2015-01-01,01:00:00,1.087,-0.197
2015-01-01,01:15:00,1.187,-0.189
2015-01-01,01:30:00,1.286,-0.173
2015-01-01,01:45:00,1.324,-0.208
2015-01-01,02:00:00,1.405,-0.188
2015-01-01,02:15:00,1.442,-0.2
2015-01-01,02:30:00,1.483,-0.196
2015-01-01,02:45:00,1.527,-0.175
2015-01-01,03:00:00,1.567,-0.145
2015-01-01,03:15:00,1.569,-0.139
2015-01-01,03:30:00,1.523,-0.167
2015-01-01,03:45:00,1.48,-0.182
2015-01-01,04:00:00,1.459,-0.168
2015-01-01,04:15:00,1.445,-0.145
2015-01-01,04:30:00,1.453,-0.098
2015-01-01,04:45:00,1.43,-0.079
2015-01-01,05:00:00,1.35,-0.113
2015-01-01,05:15:00,1.279,-0.132
2015-01-01,05:30:00,1.204,-0.147
2015-01-01,05:45:00,1.176,-0.111
2015-01-01,06:00:00,1.145,-0.076
2015-01-01,06:15:00,1.074,-0.085
2015-01-01,06:30:00,1.003,-0.1
2015-01-01,06:45:00,0.966,-0.089
2015-01-01,07:00:00,0.91,-0.105
2015-01-01,07:15:00,0.834,-0.146
2015-01-01,07:30:00,0.763,-0.187
2015-01-01,07:45:00,0.778,-0.149
2015-01-01,08:00:00,0.781,-0.134
2015-01-01,08:15:00,0.813,-0.103
2015-01-01,08:30:00,0.828,-0.103
2015-01-01,08:45:00,0.834,-0.123
2015-01-01,09:00:00,0.85,-0.138
2015-01-01,09:15:00,0.899,-0.118
2015-01-01,09:30:00,0.893,-0.141
2015-01-01,09:45:00,0.874,-0.163
2015-01-01,10:00:00,0.886,-0.139
2015-01-01,10:15:00,0.905,-0.096
2015-01-01,10:30:00,0.866,-0.105
2015-01-01,10:45:00,0.833,-0.107
2015-01-01,11:00:00,0.779,-0.133
2015-01-01,11:15:00,0.756,-0.134
2015-01-01,11:30:00,0.756,-0.118
2015-01-01,11:45:00,0.729,-0.138
2015-01-01,12:00:00,0.74,-0.131
2015-01-01,12:15:00,0.761,-0.13
2015-01-01,12:30:00,0.814,-0.117
2015-01-01,12:45:00,0.878,-0.112
2015-01-01,13:00:00,0.936,-0.131
2015-01-01,13:15:00,0.997,-0.159
2015-01-01,13:30:00,1.122,-0.129
2015-01-01,13:45:00,1.233,-0.11
2015-01-01,14:00:00,1.308,-0.121
2015-01-01,14:15:00,1.419,-0.087
2015-01-01,14:30:00,1.482,-0.089
2015-01-01,14:45:00,1.534,-0.091
2015-01-01,15:00:00,1.55,-0.116
2015-01-01,15:15:00,1.562,-0.13
2015-01-01,15:30:00,1.611,-0.092
2015-01-01,15:45:00,1.594,-0.103
2015-01-01,16:00:00,1.597,-0.081
2015-01-01,16:15:00,1.577,-0.072
2015-01-01,16:30:00,1.522,-0.093
2015-01-01,16:45:00,1.502,-0.075
2015-01-01,17:00:00,1.467,-0.07
2015-01-01,17:15:00,1.42,-0.072
2015-01-01,17:30:00,1.36,-0.08
2015-01-01,17:45:00,1.315,-0.063
2015-01-01,18:00:00,1.264,-0.043
2015-01-01,18:15:00,1.204,-0.026
2015-01-01,18:30:00,1.137,-0.013
2015-01-01,18:45:00,1.05,-0.023
2015-01-01,19:00:00,0.999,-0.002
2015-01-01,19:15:00,0.926,-0.008
2015-01-01,19:30:00,0.855,-0.015
2015-01-01,19:45:00,0.774,-0.037
2015-01-01,20:00:00,0.696,-0.062
2015-01-01,20:15:00,0.646,-0.07
2015-01-01,20:30:00,0.643,-0.047
2015-01-01,20:45:00,0.619,-0.065
2015-01-01,21:00:00,0.594,-0.106
2015-01-01,21:15:00,0.625,-0.106
