isolate,replicate,nitrogen source,Radial growth at harvest (mm),Days of growth,Radial GR mm/d,radial - plug,rad-plug/d
AK,1,G,24,18,1.33,20,1.08
AK,2,G,35,18,1.94,31,1.69
AK,3,G,32,18,1.78,28,1.53
AK,4,G,31,18,1.72,27,1.47
AK,5,G,35,18,1.94,31,1.69
AK,1,N,23,18,1.28,19,1.03
AK,2,N,22,18,1.22,18,0.97
AK,3,N,27,18,1.50,23,1.25
AK,4,N,25,18,1.39,21,1.14
AK,5,N,23,18,1.28,19,1.03
C,1,G,11,26,0.42,7,0.25
C,2,G,21,26,0.81,17,0.63
C,3,G,21,26,0.81,17,0.63
C,4,G,23,26,0.88,19,0.71
C,5,G,27,26,1.04,23,0.87
C,1,N,12,26,0.46,8,0.29
C,2,N,18,26,0.69,14,0.52
C,3,N,22,26,0.85,18,0.67
C,4,N,20,26,0.77,16,0.60
C,5,N,20,26,0.77,16,0.60
D,1,G,15,55,0.27,11,0.19
D,2,G,18,55,0.33,14,0.25
D,3,G,18,55,0.33,14,0.25
D,4,G,34,55,0.62,30,0.54
D,5,G,25,55,0.45,21,0.37
D,1,N,15,55,0.27,11,0.19
D,2,N,10,55,0.18,6,0.10
D,3,N,13,55,0.24,9,0.15
D,4,N,11,55,0.20,7,0.12
D,5,N,9,55,0.16,5,0.08
E,1,G,21,55,0.38,17,0.30
E,2,G,19,55,0.35,15,0.26
E,3,G,19,55,0.35,15,0.26
E,4,G,22,55,0.40,18,0.32
E,5,G,22,55,0.40,18,0.32
E,1,N,12,55,0.22,8,0.14
E,2,N,4,55,0.07,0,0.00
E,3,N,4,55,0.07,0,0.00
E,4,N,8,55,0.15,4,0.06
E,5,N,9,55,0.16,5,0.08
F,1,G,23,38,0.61,19,0.49
F,2,G,24,38,0.63,20,0.51
F,3,G,27,38,0.71,23,0.59
F,4,G,23,38,0.61,19,0.49
F,5,G,22,38,0.58,18,0.46
F,1,N,9,38,0.24,5,0.12
F,2,N,8,38,0.21,4,0.09
F,3,N,7,38,0.18,3,0.07
F,4,N,9,38,0.24,5,0.12
F,5,N,8,38,0.21,4,0.09
J,1,G,12,53,0.23,8,0.14
J,2,G,14,53,0.26,10,0.18
J,3,G,15,53,0.28,11,0.20
J,4,G,14,53,0.26,10,0.18
J,5,G,13,53,0.25,9,0.16
J,1,N,17,53,0.32,13,0.24
J,2,N,20,53,0.38,16,0.29
J,3,N,18,53,0.34,14,0.25
J,4,N,16,53,0.30,12,0.22
J,5,N,17,53,0.32,13,0.24
K,1,G,13,28,0.46,9,0.30
K,2,G,25,28,0.89,21,0.73
K,3,G,14,28,0.50,10,0.34
K,4,G,21,28,0.75,17,0.59
K,5,G,6,28,0.21,2,0.05
K,1,N,13,28,0.46,9,0.30
K,2,N,11,28,0.39,7,0.23
K,3,N,11,28,0.39,7,0.23
K,4,N,10,28,0.36,6,0.20
K,5,N,12,28,0.43,8,0.27
L,1,G,29,38,0.76,25,0.64
L,2,G,23,38,0.61,19,0.49
L,3,G,24,38,0.63,20,0.51
L,4,G,26,38,0.68,22,0.57
L,5,G,25,38,0.66,21,0.54
L,1,N,16,38,0.42,12,0.30
L,2,N,11,38,0.29,7,0.17
L,3,N,13,38,0.34,9,0.22
L,4,N,12,38,0.32,8,0.20
L,5,N,13,38,0.34,9,0.22
O,,G,18,53,0.34,14,0.25
O,2,G,17,53,0.32,13,0.24
O,3,G,17,53,0.32,13,0.24
O,4,G,18,53,0.34,14,0.25
O,5,G,15,53,0.28,11,0.20
O,1,N,4,53,0.08,-1,-0.01
O,2,N,9,53,0.17,5,0.08
O,3,N,4,53,0.08,-1,-0.01
O,4,N,8,53,0.15,4,0.07
O,5,N,9,53,0.17,5,0.08
V,1,G,35,28,1.25,31,1.09
V,2,G,40,28,1.43,36,1.27
V,3,G,33,28,1.18,29,1.02
V,4,G,34,28,1.21,30,1.05
V,5,G,43,28,1.54,39,1.38
V,1,N,20,28,0.71,16,0.55
V,2,N,23,28,0.82,19,0.66
V,3,N,23,28,0.82,19,0.66
V,4,N,28,28,1.00,24,0.84
V,5,N,18,28,0.64,14,0.48
W,1,G,27,53,0.51,23,0.42
W,2,G,24,53,0.45,20,0.37
W,3,G,22,53,0.42,18,0.33
W,4,G,30,53,0.57,26,0.48
W,5,G,23,53,0.43,19,0.35
W,1,N,12,53,0.23,8,0.14
W,2,N,13,53,0.25,9,0.16
W,3,N,22,53,0.42,18,0.33
W,4,N,13,53,0.25,9,0.16
W,5,N,23,53,0.43,19,0.35
X,1,G,40,37,,,
X,2,G,33,37,,,
X,3,G,26,37,,,
X,4,G,39,37,,,
X,5,G,33,37,,,
X,1,N,10,37,,,
X,2,N,12,37,,,
X,3,N,12,37,,,
X,4,N,9,37,,,
X,5,N,10,37,,,
